Country Name,countryName,EFConsPerCap,HDI,Population
Armenia,Armenia,1.8,0.76,2930450
Afghanistan,Afghanistan,0.66,0.49,35530104
Albania,Albania,2.05,0.79,2930190
Algeria,Algeria,2.3,0.76,41318104
Angola,Angola,0.92,0.58,29784200
Antigua and Barbuda,Antigua and Barbuda,4.27,0.77,102012
Argentina,Argentina,3.3,0.83,44271000
Australia,Australia,7.27,0.94,24450600
Austria,Austria,6.02,0.91,8735450
Bahamas,Bahamas,3.63,0.8,395361
Bahrain,Bahrain,8.66,0.84,1492580
Barbados,Barbados,3.73,0.81,285719
Bangladesh,Bangladesh,0.83,0.61,164670000
Bhutan,Bhutan,4.37,0.62,807610
Bolivia,Bolivia,3.08,0.7,11051600
Botswana,Botswana,2.74,0.72,2291660
Brazil,Brazil,2.81,0.76,209288000
Belize,Belize,5.99,0.72,374681
Solomon Islands,Solomon Islands,1.88,0.56,611343
Brunei Darussalam,Brunei Darussalam,6,0.84,428697
Bulgaria,Bulgaria,3.64,0.81,7084570
Myanmar,Myanmar,1.71,0.58,53370600
Burundi,Burundi,0.63,0.42,10864200
Cameroon,Cameroon,1.26,0.56,24053700
Canada,Canada,8.08,0.92,36624200
Cabo Verde,Cabo Verde,1.72,0.65,546388
Central African Republic,Central African Republic,1.17,0.38,4659080
Sri Lanka,Sri Lanka,1.49,0.78,20876900
Chad,Chad,1.67,0.4,14900000
Chile,Chile,4.28,0.85,18054700
Colombia,Colombia,1.91,0.76,49065600
Comoros,Comoros,1.14,0.54,813912
Congo,Congo,1.07,0.61,5260750
Costa Rica,Costa Rica,2.57,0.79,4905770
Cuba,Cuba,1.82,0.78,11484600
Cyprus,Cyprus,3.88,0.87,1179550
Azerbaijan,Azerbaijan,1.97,0.75,9827590
Benin,Benin,1.41,0.51,11175700
Denmark,Denmark,6.93,0.93,5733550
Dominica,Dominica,2.29,0.72,73925
Dominican Republic,Dominican Republic,1.75,0.74,10767000
Belarus,Belarus,4.2,0.81,9468340
Ecuador,Ecuador,1.71,0.76,16624900
Egypt,Egypt,1.78,0.7,97553104
El Salvador,El Salvador,1.99,0.67,6377850
Equatorial Guinea,Equatorial Guinea,1.8,0.59,1267690
Estonia,Estonia,7.16,0.88,1309630
Fiji,Fiji,2.81,0.72,905502
Finland,Finland,5.84,0.92,5523230
France,France,4.6,0.89,65018200
Djibouti,Djibouti,2.25,0.49,956985
Georgia,Georgia,2.18,0.78,3912060
Gabon,Gabon,2.17,0.7,2025140
Gambia,Gambia,0.93,0.46,2100570
Germany,Germany,4.7,0.94,82114200
Bosnia and Herzegovina,Bosnia and Herzegovina,3.49,0.77,3507020
Ghana,Ghana,2.04,0.59,28833600
Greece,Greece,4.12,0.87,11159800
Grenada,Grenada,2.76,0.76,107825
Guatemala,Guatemala,1.78,0.65,16913500
Guinea,Guinea,1.68,0.46,12717200
Guyana,Guyana,3.07,0.67,777859
Haiti,Haiti,0.64,0.5,10981200
Honduras,Honduras,1.54,0.62,9265070
Hungary,Hungary,3.67,0.84,9721560
Croatia,Croatia,3.72,0.83,4189350
India,India,1.19,0.64,1339180032
Indonesia,Indonesia,1.66,0.7,263991008
Iran, Islamic Republic of,Iran, Islamic Republic of,3.22,0.8,81162800
Iraq,Iraq,1.8,0.68,38274600
Ireland,Ireland,5.01,0.94,4761660
Israel,Israel,5.55,0.9,8321570
Italy,Italy,4.41,0.88,59394104
Côte d'Ivoire,Côte d'Ivoire,1.42,0.51,24294800
Kazakhstan,Kazakhstan,5.99,0.81,18204500
Jamaica,Jamaica,1.81,0.73,2890300
Japan,Japan,4.65,0.91,127484000
Jordan,Jordan,1.93,0.72,9702350
Kyrgyzstan,Kyrgyzstan,1.55,0.67,6045120
Kenya,Kenya,0.99,0.57,49699896
Cambodia,Cambodia,1.33,0.58,16005400
Korea, Republic of,Korea, Republic of,6.18,0.9,50982200
Kuwait,Kuwait,8.03,0.81,4136530
Latvia,Latvia,6.13,0.85,1949670
Lao People's Democratic Republic,Lao People's Democratic Republic,2,0.6,6858160
Lebanon,Lebanon,3.33,0.73,6082360
Lesotho,Lesotho,1.47,0.51,2233340
Liberia,Liberia,1.11,0.47,4731910
Libyan Arab Jamahiriya,Libyan Arab Jamahiriya,3.46,0.7,6374620
Lithuania,Lithuania,5.86,0.87,2890300
Madagascar,Madagascar,0.92,0.52,25570900
Malawi,Malawi,0.9,0.48,18622100
Malaysia,Malaysia,3.91,0.8,31624300
Mali,Mali,1.44,0.43,18542000
Malta,Malta,5.68,0.88,430835
Mauritania,Mauritania,2.31,0.52,4420180
Mauritius,Mauritius,3.06,0.79,1265140
Mexico,Mexico,2.62,0.76,129163000
Mongolia,Mongolia,8.05,0.73,3075650
Morocco,Morocco,1.77,0.68,35739600
Mozambique,Mozambique,0.8,0.44,29668800
Republic of Moldova,Republic of Moldova,1.87,0.71,4051210
Namibia,Namibia,2.1,0.64,2533790
Nepal,Nepal,1.09,0.57,29305000
Netherlands,Netherlands,5.02,0.93,17035900
Republic of North Macedonia,Republic of North Macedonia,3.06,0.76,2083160
New Zealand,New Zealand,4.32,0.92,4705820
Nicaragua,Nicaragua,1.74,0.65,6217580
Niger,Niger,1.56,0.37,21477300
Nigeria,Nigeria,1.02,0.53,190886000
Norway,Norway,5.78,0.95,5305380
Pakistan,Pakistan,0.86,0.56,197016000
Panama,Panama,2.27,0.79,4098590
Czech Republic,Czech Republic,5.47,0.89,10618300
Papua New Guinea,Papua New Guinea,1.82,0.54,8251160
Paraguay,Paraguay,3.09,0.72,6811300
Peru,Peru,2.15,0.76,32165500
Philippines,Philippines,1.34,0.71,104918000
Poland,Poland,4.71,0.87,38170700
Portugal,Portugal,4.4,0.85,10329500
