id,latitude,longitude,level,name,status
aari1239,5.95034,36.5721,language,Aari,safe
aasa1238,-4.00679,36.8648,language,Aasax,extinct
abad1241,-9.03389,146.992,language,Abadi,safe
abag1245,-6.12028,145.665,language,Abaga,critically endangered
abai1240,5.55394,118.306,language,Abai Sungai,definitely endangered
aban1242,6.30619,8.63055,language,Abanyom,safe
abar1238,6.5805,10.2267,language,Mungbam,safe
abau1245,-3.97222,141.324,language,Abau,safe
abaz1241,41.1214,42.7273,language,Abaza,definitely endangered
abee1242,5.59682,-4.38497,language,Abé,safe
aben1249,15.4131,120.2,language,Abenlen Ayta,safe
abid1235,5.65656,-4.58421,language,Abidji,safe
abin1243,-2.92281,138.891,language,Abinomn,safe
abip1241,-29,-61,language,Abipon,extinct
abis1238,-0.69386,-75.2183,language,Aewa,extinct
abkh1244,43.056218,41.159115,language,Abkhazian,vulnerable
abom1238,-8.42448,142.842,language,Abom,safe
abon1238,6.90621,10.8769,language,Abon,safe
abro1238,7.72094,-2.50289,language,Abron,safe
abua1244,4.83057,6.61492,language,Abua,safe
abui1241,-8.31058,124.588,language,Abui,safe
abun1252,-0.57073,132.416,language,Abun,safe
abur1243,5.21534,-3.64123,language,Abure,safe
abur1244,4.62301,6.50634,language,Abureni,safe
abuu1241,-4.24027,144.474,language,Abu,safe
acat1239,17.1034,-99.0602,language,Acatepec Me'phaa,safe
acha1249,24.3479,97.7438,language,Longchuan Achang,safe
acha1250,4.38649,-72.2005,language,Achagua,severely endangered
ache1244,24.152,102.446,language,Ache,safe
ache1245,10.8827,30.3187,language,Acheron,severely endangered
ache1246,-25.5865,-56.4697,language,Aché,definitely endangered
achi1256,15.073,-90.3513,language,Achi,vulnerable
achi1257,3.90757,96.6032,language,Achinese,safe
acht1238,52.021,6.47521,language,Achterhoeks,vulnerable
achu1247,41.0979,-121.191,language,Achumawi,critically endangered
achu1248,-2.82646,-77.2641,language,Achuar-Shiwiar,definitely endangered
acol1236,3.57738,32.5147,language,Acoli,safe
acro1239,-12.594,-40.21445,language,Acroá,extinct
adab1235,-8.22674,125.576,language,Adabe,vulnerable
adai1235,31.6314,-92.0059,language,Adai,extinct
adam1238,5.834,-0.151,language,Adamorobe Sign Language,safe
adam1253,8.140326,13.077338,language,Adamawa Fulfulde,safe
adan1247,5.9437,0.13243,language,Adangme,safe
adan1248,6.50546,0.727155,language,Adangbe,safe
adan1251,-8.18958,124.448,language,Adang,safe
adap1234,27.141,90.3369,language,Adap,safe
adas1235,17.8187,120.905,language,Adasen,safe
adel1244,8.16975,0.619185,language,Adele,safe
adho1243,0.73235,34.0341,language,Adhola,safe
adio1239,5.38228,-4.52522,language,Adioukrou,safe
adiv1239,18.1046,82.8487,language,Kotia-Adivasi Oriya-Desiya,safe
adiw1235,24.0712,73.1426,language,Adiwasi Garasia,safe
adny1235,-30.1451,138.671,language,Adnyamathanha,definitely endangered
adon1237,-8.32027,123.159,language,Adonara,safe
adug1238,7.64567,6.13085,language,Aduge,safe
adyg1241,44,39.33,language,Adyghe,vulnerable
adze1240,-6.39394,146.294,language,Adzera,safe
aeka1244,-8.79019,148.09,language,Aeka,safe
aeky1238,-5.88478,141.532,language,Aekyom,safe
aerr1238,25.254,69.029,language,Aer,safe
afad1236,12.0551,14.6343,language,Afade,safe
afar1241,12.2281,41.8083,language,Afar,safe
afit1238,12.446,30.7611,language,Afitti,severely endangered
afri1274,-22,30,language,Afrikaans,safe
afro1254,31.7843,-99.2934,language,Afro-Seminole Creole,safe
agar1251,24.5024,82.297,language,Agariya,safe
agar1252,-6.20604,145.917,language,Agarabi,safe
agat1236,7.97915,7.71639,language,Agatu,safe
agav1236,-13.29849,-53.43936,language,Agavotaguerra,extinct
aghe1239,6.38956,10.0807,language,Aghem,safe
aghu1253,41.9242,47.5843,language,Aghul,definitely endangered
aghu1254,-13.735,142.426,language,Aghu Tharnggalu,extinct
aghu1255,-6.34674,140.043,language,Aghu,safe
aghw1237,40.374444,47.126667,language,Aghwan,extinct
agii1245,-3.49104,142.387,language,Agi,safe
agob1244,-9.08521,142.532,language,Agob-Ende-Kawam,safe
agoi1246,5.87953,8.21629,language,Agoi,safe
agua1251,-5.25,-75.8333,language,Aguano,extinct
agua1252,15.3307,-91.3153,language,Aguacateco,safe
agua1253,-5.30044,-77.9218,language,Aguaruna,vulnerable
agun1238,7.49256,1.74452,language,Aguna,safe
agus1235,8.62731,125.742,language,Agusan Manobo,safe
agut1237,10.5328,119.655,language,Agutaynen,safe
agwa1247,5.81055,8.03166,language,Agwagwune,safe
ahan1243,4.85147,-1.94657,language,Ahanta,safe
ahan1244,7.44139,6.00896,language,Àhàn,safe
aheu1239,17.7655,104.229,language,Thavung,definitely endangered
ahin1234,16.321,120.90003,language,Ahin-Kayapa Kalanguya,safe
ahir1243,21.552,73.685,language,Ahirani,safe
ahom1240,27.2778,88.464,language,Ahom,extinct
ahte1237,61.7068,-144.889,language,Ahtena,critically endangered
ahwa1235,9.17635,8.56205,language,Ndunic,safe
aich1238,25.4908,107.844,language,Ai-Cham,safe
aigh1235,-5.99488,150.272,language,Aighon,safe
aika1237,-12.6695,-60.5353,language,Aikanã,definitely endangered
aikl1237,-6.23575,149.571,language,Aiklep,safe
aima1241,35.283,59.1756,language,Aimaq,safe
