"x","y"
55.8,12
51.3,10.8
50.85,18
42.3,24.3243243243243
38.7,23.2258064516129
39.6,24.0340909090909
40.95,26.4
36,25.0386398763524
24.75,26.3772048846676
22.95,26.3772048846676
14.85,22.8201811125485
10.8,23.3290978398984
0.900000000000006,22.5
-7.65000000000001,20.4287515762926
-9.89999999999999,18.5468956406869
-10.8,18.5468956406869
-14.4,18.5468956406869
-20.25,19.1744340878828
-22.5,18.9986468200271
-22.95,18.9473684210526
-23.85,19.1803278688525
-21.6,25.0568181818182
-19.35,26.0802069857697
-11.7,28.5057471264368
-11.7,33.1034482758621
-8.99999999999999,33.6758893280632
-6.29999999999998,36.4556962025316
-6.74999999999999,37.7749683944374
-5.84999999999999,34.3718592964824
-4.95,34.2
-3.15000000000001,40
-0.899999999999991,40.5
3.15000000000001,41.5037593984962
8.55000000000001,42.8035043804756
17.1,43.8794233289646
22.95,43.4735413839892
26.1,44.7486033519553
30.15,44.7398843930636
29.25,43.4756995581738
25.2,39.5658073270014
25.65,39.2370572207085
35.55,35.7692307692308
36.9,32.8267477203647
43.2,23.9182282793867
45,22.2614840989399
48.6,16.2352941176471
49.5,15.8108108108108
49.95,13.0212765957447
50.85,10.9090909090909
51.75,10.9090909090909
