Country,type,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Countries,23.30952,23.69048,20.98462,18.26027,19.90541,19.90526,17.62805,16.96818,,,12.11382,11.55814,14.84326,,17.20433,19.47308,11.96146,,,,,,,,,,,,,,,,,7.22769,,,,,,,,,,,,,,,
Åland Islands,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Countries,,19.3187,19.43494,,,,,,,,21.58619,22.22249,21.84876,22.125,22.3913,22.60677,22.80474,22.74525,22.87314,22.8345,23.03529,22.95321,20.01636,15.96477,17.56116,18.15357,19.14312,18.8734,19.21831,19.9741,21.04087,20.9017,21.98123,21.67022,21.17837,20.52241,20.26414,20.08508,19.64409,19.10484,18.0777,18.87546,18.50724,18.20031,18.2537,18.34831,17.70366,17.48363,
Algeria,Countries,,,,,,,,,,,,,,,,,,,,,,,,20.26871,22.30187,21.60703,25.76494,25.13353,,28.15536,26.86972,28.08063,,27.90808,26.27948,28.91075,24.21049,26.79915,25.19973,23.80581,25.80431,25.36019,,,,,,,
American Samoa,Countries,,,,,,,,,,,,,,,18.45,19.66,20.41837,21.91176,25.53846,27.98058,27.90291,27.96117,21.90244,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,Countries,,,,,,,,,,,,,,12.74834,,,,,,,,,,,,,,,,,,,14.52381,14.83146,14.68539,13.90052,12.44762,12.79,13.33511,13.08696,12.89305,13.29609,13.67978,14.08721,13.70391,13.40884,13.68421,13.88344,
Angola,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.06511,31.54112,,,,,,,
Anguilla,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,14.85185,,16.03846,,17.61538,13.69697,13.93939,13,12.34211,13.13158,10.41463,11.41463,10.81579,10.46512,10.7381,10.09091,14,,,,,,,
Antigua and Barbuda,Countries,,,,,,28.33333,22.90698,31.53846,26.35,,,,,,,,,,,,,,,,,,,,,,6.19697,,,,,,,12.87778,11.27273,,9.40824,8.52448,,,,7.68333,,,
Argentina,Countries,19.18129,18.94324,18.94918,20.09487,19.75833,19.43457,19.51832,19.53382,,19.77802,19.5464,20.73927,20.77486,20.34754,19.96782,19.10489,18.06957,18.38805,17.90407,,,,,,15.3651,,,15.99262,21.43752,23.79198,,23.86941,23.71277,21.65935,19.62456,19.29073,18.53316,17.65757,19.92434,,,,,,,,,,
Armenia,Countries,,,,,,,,,,,11.63107,,,,,,,,,11.09904,10.07843,,,,,,,,,7.27091,7.62922,7.25404,7.95262,8.32081,8.67364,9.25901,9.46229,9.49101,9.78508,10.06521,9.83875,9.47919,9.39831,8.6052,8.9872,8.7287,8.55367,8.39484,
Aruba,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.82857,26.5,25.59821,23.72951,21.52593,20.11348,19.59028,20.58621,20.66667,19.16084,18.66897,19.50694,18.92517,19.55102,,,,,,
Australia,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Countries,,27.21207,27.12961,30.79548,30.18892,29.16014,27.66547,26.09417,25.18208,24.42726,23.70444,23.42778,22.65294,22.43253,21.65977,21.64476,22.25542,22.23204,21.99806,21.70653,21.33414,20.88423,20.46772,20.26791,18.18161,16.78911,17.07066,16.75732,16.63873,15.96409,,,15.8013,15.12515,14.82778,14.20749,13.63871,13.53305,13.39389,12.77952,12.41306,12.0153,11.91715,11.67849,11.73775,11.41381,11.14827,11.54012,
Azerbaijan,Countries,,,,,,,,,,,,8.05114,,,,,8.1949,,,7.07288,7.66493,7.14722,6.71,6.39556,6.17532,7.36675,7.14587,7.39032,7.32678,7.39572,8.32657,8.5632,8.70669,8.75217,8.68532,8.63661,8.7904,8.75156,8.72499,8.72905,9.26314,9.27525,9.02033,9.95126,11.1466,11.47795,10.77326,15.15701,
Bahamas,Countries,,,,,,,,,,,,,,,,,,,,,,,,16.76596,,,,14.39474,,9.20513,9.3561,,11.18047,,,,,,,,,,,,,,22.67081,,
