Name,Start,End,Political Faction
Abdullatif Al-Ghanim,1962,1963,Independent
Abdulaziz Al-Saqr,1963,1965,Chamber of Commerce
Saud Al-Abdulrazzaq,1965,1967,Independent
Ahmed Al-Serhan,1967,1970,Independent
Khalid Al-Ghunaim,1971,1981,Independent
Mohammad Al-Adasani,1981,1985,Muslim Brotherhood
Ahmed Al-Sadoun,1985,1999,Independent
Jassem Al-Kharafi,1999,2012,Independent
Ahmed Al-Sadoun,2011,2012,Populist bloc
Ali Al-Rashid,2012,2013,Independent
Marzouq Al-Ghanim,2013,2021,Independent
