"Country","ISO","Percent","UN_CENTROID_LAT","UN_CENTROID_LONG","UN_REGION_NAME","UN_SUB_REGION_NAME"
"Kiribati","KIR",36.1,1.3487965845337728,-102.00398978911764,"Oceania","Micronesia"
"Greece","GRC",8,39.078526447413225,22.96190682409477,"Europe","Southern Europe"
"Guatemala","GTM",8.9,15.701274170810015,-90.36522251806396,"Americas","Latin America and the Caribbean"
"Haiti","HTI",13.9,18.933918314555868,-72.67021944272223,"Americas","Latin America and the Caribbean"
"Honduras","HND",11,14.827001931664824,-86.60898451689032,"Americas","Latin America and the Caribbean"
"Hungary","HUN",8,47.16240518356652,19.414632771252347,"Europe","Eastern Europe"
"India","IND",22,22.317467869043213,79.3991612258939,"Asia","Southern Asia"
"Ireland","IRL",4,53.181144129403755,-8.12839260254981,"Europe","Northern Europe"
"Italy","ITA",7,42.7934542583713,12.07365334769088,"Europe","Southern Europe"
"Côte d'Ivoire","CIV",22,7.622217123818581,-5.55501905265748,"Africa","Sub-Saharan Africa"
"Jamaica","JAM",8.52,18.163949119207324,-77.3184454642775,"Americas","Latin America and the Caribbean"
"Jordan","JOR",14.1,31.248229884406587,36.78889434023012,"Asia","Western Asia"
"Kenya","KEN",25.5,0.5288607575844738,37.86044351559988,"Africa","Sub-Saharan Africa"
"Kyrgyzstan","KGZ",17.1,41.46010718878463,74.54456707112305,"Asia","Central Asia"
"Laos","LAO",6.4,18.508972976688202,103.77038651040985,"Asia","South-eastern Asia"
"Latvia","LVA",7,56.858735082536654,24.921681115976686,"Europe","Northern Europe"
"Liberia","LBR",35,6.44342676212122,-9.315312641800881,"Africa","Sub-Saharan Africa"
"Lithuania","LTU",6,55.33615521439731,23.902567557204932,"Europe","Northern Europe"
"Luxembourg","LUX",3,49.78131084685118,6.100315333260119,"Europe","Western Europe"
"Malawi","MWI",24.3,-13.229112642524768,34.31495891581667,"Africa","Sub-Saharan Africa"
"Maldives","MDV",6.4,3.209732241846853,73.19487565910617,"Asia","Southern Asia"
"Mali","MLI",21.5,17.3459050712885,-3.521931049537349,"Africa","Sub-Saharan Africa"
"Malta","MLT",5,35.928204846703935,14.397423473748152,"Europe","Southern Europe"
"Mexico","MEX",9.5,23.932275593715257,-102.52769975629725,"Americas","Latin America and the Caribbean"
"Mongolia","MNG",14.7,46.83935303976436,103.06900547270797,"Asia","Eastern Asia"
"Republic of Moldova","MDA",14.6,47.218592593389985,28.474747856031307,"Europe","Eastern Europe"
"Mozambique","MOZ",15.5,-17.262806288317595,35.55296243299936,"Africa","Sub-Saharan Africa"
"Namibia","NAM",20.2,-22.143025683722907,17.22359996278068,"Africa","Sub-Saharan Africa"
"Nepal","NPL",11.2,28.26617492923744,83.92220296036497,"Asia","Southern Asia"
"Netherlands","NLD",7,52.277641247064096,5.683579244056515,"Europe","Western Europe"
"Vanuatu","VUT",44,-16.222324454326454,167.6913856253755,"Oceania","Melanesia"
"Nicaragua","NIC",7.5,12.838989865616549,-85.02940030225224,"Americas","Latin America and the Caribbean"
"Nigeria","NGA",11,9.583310040736366,8.08994915296452,"Africa","Sub-Saharan Africa"
"Micronesia","FSM",26,7.097017534447772,155.4518936471202,"Oceania","Micronesia"
