country,consumption,unit,data1980,data1981,data1982,data1983,data1984,data1985,data1986,data1987,data1988,data1989,data1990,data1991,data1992,data1993,data1994,data1995,data1996,data1997,data1998,data1999,data2000,data2001,data2002,data2003,data2004,data2005,data2006,data2007,data2008,data2009,data2010,data2011,data2012,data2013,data2014,data2015,data2016
Afghanistan,Consumption,Quad Btu,0.027532367,0.03002712,0.031902847,0.038359799,0.03853995,0.038336064,0.039774399,0.063253551,0.111760517,0.108905077,0.108776771,0.047322108,0.031224794,0.030951037,0.02990791,0.026038963,0.024612379,0.023716991,0.022678811,0.022645875,0.019832212,0.016341947,0.015231802,0.018818609,0.017827098,0.022734251,0.02806417,0.035038279,0.058146175,0.096181993,0.11938371,0.160654318,0.147714237,0.123743791,0.113764752,0.125947426,0.13716179
Albania,Consumption,Quad Btu,0.162006203,0.161111796,0.163452164,0.167262148,0.169799657,0.169093007,0.166582804,0.166435467,0.169201171,0.16141803,0.11519273,0.095872003,0.084195553,0.073201611,0.069959976,0.077954384,0.084697976,0.078515101,0.084725217,0.0772072,0.098019517,0.093606599,0.101638329,0.114120632,0.121429611,0.120507246,0.111925114,0.097932646,0.10642438,0.115987938,0.128290933,0.106119661,0.105394281,0.12833692,0.11639143,0.116566021,0.123830648
Algeria,Consumption,Quad Btu,0.785435786,0.667751229,0.976265482,1.074399584,1.148359305,1.050719371,1.073800371,1.14933362,1.223927158,1.179857321,1.212615108,1.354111973,1.303266737,1.197692449,1.235214049,1.289116384,1.257701479,1.204442667,1.250090841,1.246501921,1.270023807,1.275945001,1.318907588,1.329435813,1.302261792,1.498570765,1.572292615,1.558859587,1.686018342,1.783483519,1.794157563,1.939508361,2.11305401,2.039024774,2.294537986,2.33834847,2.355316377
American Samoa,Consumption,Quad Btu,0.006,0.007,0.01,0.006,0.007,0.007,0.006716584,0.006973009,0.006778814,0.007806191,0.008421077,0.008421077,0.008891037,0.008432392,0.008007167,0.007790971,0.007811607,0.008007167,0.008007167,0.008007187,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008926963,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.004924966,0.004911509,0.004911509,0.004911509,0.004986388
Angola,Consumption,Quad Btu,0.057770442,0.057967291,0.062212403,0.065440011,0.059392,0.0724902,0.072812152,0.074394417,0.077176658,0.075008753,0.079748632,0.083420484,0.084731941,0.083164093,0.081063735,0.086801047,0.083752001,0.093988461,0.085358706,0.093647556,0.111223229,0.12004112,0.127710989,0.141897632,0.157084259,0.133746805,0.169384488,0.193559427,0.227171969,0.25855403,0.279244663,0.294645721,0.328756792,0.347379502,0.372059583,0.383570718,0.360949782
Antarctica,Consumption,Quad Btu,0.002,0.002,0.002,0.002,0.003,0.003,0.002763963,0.002763963,0.00298473,0.002763963,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003378375,0.00339585,0.003378375,0.003378375,0.003378375,0.003344357,0.003518175,0.003518175,0.003518175,0.003605084,0.003625082,0.003624922,0.003711761,0.000316526,0.000420878,0.000420862,0.000420702,0.00038764,0.000386609,0.000386593,0.000391157,0.00041534
Antigua and Barbuda,Consumption,Quad Btu,0.006,0.005,0.007,0.004,0.005,0.005,0.004624394,0.005755917,0.005771311,0.005755917,0.00596853,0.005947652,0.005963571,0.005947652,0.006734439,0.006788429,0.006806652,0.006995384,0.006995384,0.006995404,0.007578604,0.007578604,0.007814668,0.00842755,0.008519161,0.00864945,0.008914564,0.009684796,0.009556925,0.01002601,0.009679626,0.009649499,0.009916654,0.009916654,0.010284605,0.010720353,0.01089419
Argentina,Consumption,Quad Btu,1.645385335,1.602393746,1.680638888,1.70204673,1.841857974,1.751492931,1.904688989,1.952975732,1.965886439,1.942857044,1.884408753,1.972029549,2.046859718,2.211118116,2.2375658,2.306502209,2.391515259,2.457241286,2.568074566,2.557803744,2.765446935,2.714656564,2.553975302,2.769136902,2.976640601,3.128964796,3.326176996,3.38582107,3.517413329,3.433714746,3.57310424,3.652854525,3.718580301,3.772710673,3.787929171,3.816773288,3.693696135
Armenia,Consumption,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.195854668,0.149475119,0.134903351,0.132223625,0.167870829,0.14227253,0.150657367,0.092630041,0.100544563,0.098187072,0.094847898,0.103363108,0.108257302,0.124341223,0.124130526,0.139936707,0.135689802,0.120790152,0.13464519,0.141017576,0.149094907,0.146793588,0.149895081,0.136669984,0.138131107
Aruba,Consumption,Quad Btu,0,0,0,0,0,0,0.001907736,0.001907736,0.005570153,0.007808999,0.007820675,0.008531306,0.009742027,0.009521171,0.010893174,0.01182344,0.007792578,0.01260235,0.01260235,0.012602367,0.015145382,0.015595912,0.01624324,0.017952978,0.018721994,0.020435936,0.0203589,0.020794461,0.019534151,0.019657036,0.018528444,0.014985658,0.018159582,0.017833915,0.018294196,0.018218254,0.018426324
