"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
Aalto-1 ,NR (10/17),Finland,University of Aalto,Civil,Technology Development,,LEO,,0,497,517,0.001454122,97.45,94.7,5,,4.5,2017-06-23T00:00,2 yrs.,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,174
AAUSat-4,NR (12/16),Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,0.017665297,98.2,95.9,1,,,2016-04-25T00:00,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,116
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35778,35793,1.78E-04,0.08,1436.03,"6,330",,"16,000",2014-02-06T00:00,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",37
ABS-2A,NR (12/16),Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75,35700,35700,0,0,1436.1,"1,800",,,2016-06-15T00:00,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,167
"ABS-3 (Agila 2, Mabuhay 1)",Philippines,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,146.06,35769,35802,3.91E-04,0.05,1436.07,"3,775","1,800","9,000",1997-08-19T00:00,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.",231
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3,35788,35803,1.78E-04,0.1,1436,"2,000",,,2015-03-02T00:00,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,61
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35780,35793,1.54E-04,0.01,1436.1,"4,143","1,700","7,400",2004-03-13T00:00,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,73
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159,35777,35794,2.02E-04,0.01,1436.08,"2,894","1,730","6,800 (EOL)",1999-09-26T00:00,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",269
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,35780,35791,1.30E-04,0.01,1436.06,"3,500","1,800","4,800",1999-09-04T00:00,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",247
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26,35560,36013,0.005372837,7.72,1436.14,"4,500",,,1998-05-09T00:00,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,129
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.4,35589,35984,0.004684924,3.2,1436.1,"4,500",,,2003-09-09T00:00,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,252
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44,35714,35937,0.002642462,2.89,1438.8,"5,000",,,2009-01-18T00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,18
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,100.9,35500,35500,0,0,1436,"5,000",,,2010-11-21T00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.,325
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60,35771,35805,4.03E-04,0,1436.1,"5,000",,,2012-06-29T00:00,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.,181
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",NR (12/16),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,35613,35903,0.003441891,7.51,1437.19,"5,000",,,2016-06-11T00:00,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.,163
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,,GEO,,-120,35772,35801,3.44E-04,2.34,1436.1,"6,169",,,2012-05-03T00:00,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.,124
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,,GEO,,,35700,35803,0.001222654,4.2,1436.1,"6,169",,,2013-09-18T00:00,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.,261
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0,480,790,0.022127052,0.02,97.4,3,,,2012-09-13T00:00,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonsration program to track cargo containers worldwide.,257
Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,495,791,0.021103665,64.6,97.5,5,,,2012-09-13T00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767,,257
Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,499,792,0.020882332,64.6,97.6,5,,,2012-09-13T00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768,,257
Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,443,886,0.031487668,120.3,98,5,,,2013-12-06T00:00,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,340
Aerocube 5B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,443,886,0.031487668,120.3,98,5,,,2013-12-06T00:00,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,340
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,0.021506908,64.78,97.74,2,,,2015-10-08T00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication.",281
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,0.006119254,97.98,97.88,5,,,2014-06-19T00:00,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,170
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,0.006119254,97.98,97.88,5,,,2014-06-19T00:00,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,170
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,0.021506908,64.6,97.4,2,,,2015-10-08T00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,281
