"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,0.024934764,55,95.19,5,,,2015-05-20T00:00,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,140
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,0.024934764,55,95.19,5,,,2015-05-20T00:00,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,140
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,573,585,8.63E-04,98,96.23,2,,,2016-11-11T00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067D,41851,,316
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,572,584,8.64E-04,98,96.23,2,,,2016-11-11T00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,316
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,,GEO,,48,35764,35808,5.22E-04,0.12,1436.08,"3,460","1,555","7,000",2008-12-20T00:00,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,355
Afristar ,USA,USA,1Worldspace,Commercial,Communications,,GEO,,20.97,35770,35802,3.80E-04,0.03,1436.09,"2,704","1,530","5,500",1998-10-28T00:00,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.",301
AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,5.78E-04,97.9,96.2,215,197,216,2007-04-25T00:00,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,115
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,0.001210568,98.25,97.76,14,,,2014-06-30T00:00,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.,181
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,0.001215414,98,97.2,6,,,2010-07-12T00:00,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,193
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,4.29E-04,98.4,97.27,6,,,2014-07-08T00:00,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.,189
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,Polar,0,599,626,0.001933405,82.4,96.9,,,,2013-12-28T00:00,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,362
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,Non-Polar Inclined,0,558,582,0.001729107,64.88,96.06,53,,,2013-04-19T00:00,3 yrs.,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,109
AIST-2D,Russia,Russia,Samara State Aerospace University,Civil,Technology Development,,LEO,Sun-Synchronous,0,471,486,0.00109513,97.28,94.18,531,,,2016-04-27T00:00,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.",118
Al-Farabi-1,NR (9/17),Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0,497,497,0,97.5,94.5,2,,,2017-02-15T00:00,,Al-Farabi Kazakh National University,Kazakhstan,Satish Dhawan Space Centre,PSLV XL,2017-008BW,42016,Built by students as an educational project.,46
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0,443,886,0.031487668,120.3,98,5,,,2013-12-06T00:00,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,340
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom,United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,,GEO,,25,35786,35787,1.19E-05,0.02,1436.09,"6,650","3,370","12,000",2013-07-25T00:00,15 yrs.,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215,Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.,206
Alsat 2B,NR (12/16),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,646,660,9.97E-04,98.2,97.7,117,,,2016-09-26T00:00,5 yrs.,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.,270
Alsat-1B,NR (12/16),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,704,0.003048564,98.2,98.4,103,,,2016-09-26T00:00,5 yrs.,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,",270
AlSat-1N,NR (12/16),Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0,661,698,0.0026243,98.2,98.3,10,,,2016-09-26T00:00,,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.,270
Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.1,98.2,130,,,2010-07-12T00:00,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",193
Altair-1 (Altair Pathfinder),NR (10/17),USA,Millennium Space Systems,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.6,10,,,2017-05-18T00:00,.25 yrs.,Millennium Space Systems,USA,International Space Station,Nanorack Deployer,1998-067LS,42711,,138
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35767,35805,4.51E-04,0.03,1436.08,"5,465",,"15,300",2009-10-01T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.",274
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35781,35791,1.19E-04,0.03,1436.05,"6,265","2,778","14,000",2013-02-07T00:00,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,,38
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35784,35795,1.30E-04,0.08,1436.24,"2,938",,,2014-03-22T00:00,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.,81
"AMC-1 (Americom 1, GE-1)",USA,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,-103.02,35772,35800,3.32E-04,0.03,1436.1,"2,783","1,600","6,500 (EOL)",1996-09-08T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",252
"AMC-10 (Americom-10, GE 10)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-134.97,35775,35797,2.61E-04,0.01,1436.09,"2,315",907,"6,500 (EOL)",2004-02-05T00:00,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,36
"AMC-11 (Americom-11, GE 11)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-130.93,35774,35797,2.73E-04,0.04,1436.07,"2,340","2,316 (BOL)","6,500 (EOL)",2004-05-19T00:00,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,140
AMC-15 (Americom-15),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-105.04,35777,35795,2.13E-04,0.04,1436.08,"4,200",,,2004-10-14T00:00,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",288
AMC-16 (Americom-16),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-84.98,35780,35793,1.54E-04,0.02,1436.1,"4,312",,,2004-12-17T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",352
AMC-18 (Americom 18),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-104.97,35773,35800,3.20E-04,0.06,1436.1,"2,081",918,,2006-12-08T00:00,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,342
"AMC-2 (Americom 2, GE-2)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-100.98,35774,35798,2.85E-04,0.05,1436.1,"2,648","1,600","6,500 (EOL)",1997-01-30T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",30
AMC-21 (Americom 21),United Kingdom,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-124.86,35778,35793,1.78E-04,3,1436.1,"2,500",,"5,000",2008-08-14T00:00,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.",227
"AMC-3 (Americom 3, GE-3)",USA,USA,SES World Skies/Global Eagle Entertainment,Commercial,Communications,,GEO,,-86.96,35777,35795,2.13E-04,0.02,1436.08,"2,845","1,600","6,500 (EOL)",1997-09-04T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",247
"AMC-4 (Americom-4, GE-4)",USA,USA,SES World Skies/Gogo,Commercial,Communications,,GEO,,-100.99,35781,35791,1.19E-04,0.01,1436.1,"3,909","2,500",,1999-11-13T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",317
"AMC-6 (Americom-6, GE-6)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-71.98,35778,35795,2.02E-04,0.05,1436.12,"3,901","2,500",,2000-10-22T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",296
"AMC-7 (Americom-7, GE-7)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-136.94,35773,35798,2.97E-04,0.01,1436.08,"1,935",912,"6,500 (EOL)",2000-09-14T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",258
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-139,35773,35798,2.97E-04,0.03,1436.07,"2,015",919,"3,300",2000-12-19T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",354
Amos 3,NR,Israel,Space-Communication Ltd,Military/Commercial,Communications,,GEO,,-3.99,35783,35789,7.12E-05,0.04,1436.1,,,,2008-04-28T00:00,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",119
Amos 4,NR,Israel,Space-Communication Ltd,Military/Commercial,Communications,,GEO,,65,35633,35796,0.00193658,0.01,1432,,,,2013-08-31T00:00,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",243
Amsat-Oscar 7 (AO-7),USA,USA,Amsat-NA,Civil,Communications,,LEO,Polar,0,1440,1459,0.001214911,101.4,114.9,29,,,1974-11-15T00:00,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,319
Anik F1 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,35778,35793,1.78E-04,0.02,1436.08,"4,710","2,950","15,500 (EOL)",2000-11-21T00:00,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",326
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35777,35795,2.13E-04,0.02,1436.1,"4,500",,"10,000",2005-09-09T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.",252
Anik F2 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,35781,35790,1.07E-04,0.01,1436.08,"5,910","3,805","16,000",2004-07-18T00:00,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",200
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,35778,35794,1.90E-04,0.01,1436.1,"4,715",,"17,500",2007-04-09T00:00,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",99
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35773,35799,3.08E-04,0.01,1436.08,"4,905",,"17,500",2013-04-15T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,105
AntelSat,NR,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Civil,Technology Development,,LEO,Sun-Synchronous,0,612,696,0.005979499,97.96,96.99,2,,,2014-06-19T00:00,,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034,"Developmental communications systems operating at VHF,UHF and S-band, and an Earth-imaging system with detectors in the near infrared and visible bands. Released from Unisat 6 June 20 at 21:07:00 from the same deployer as Aerocube 6.",170
AOBA-Velox 3 ,NR (10/17),Singapore/Japan,Nanyang Technological University/Kyushu Institute of Technology,Civil,Technology Development,,LEO,Non-Polar Inclined,0,398,407,6.64E-04,51.64,92.61,2,,,2016-12-09T00:00,.5 yrs.,Nanyang Technological University/Kyushu Institute of Technology,Singapore/Japan,International Space Station,Nanorack Deployer,1998-067KX,41936,Micropropulsion development.,344
AprizeSat 1 (LatinSat-C),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,696,764,0.004788732,98,99.4,12,12,,2004-06-29T00:00,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,Messaging services.,181
