"Month","Count","Date"
"April",196,"4-14-2020"
"April",269,"4-15-2020"
"April",218,"4-16-2020"
"April",195,"4-17-2020"
"April",177,"4-18-2020"
"April",163,"4-19-2020"
"April",212,"4-20-2020"
"April",190,"4-21-2020"
"April",182,"4-22-2020"
"April",180,"4-23-2020"
"April",177,"4-24-2020"
"April",163,"4-25-2020"
"April",176,"4-26-2020"
"April",174,"4-27-2020"
"April",143,"4-28-2020"
"April",175,"4-29-2020"
"April",152,"4-30-2020"
"May",265,"5-1-2020"
"May",141,"5-2-2020"
"May",170,"5-3-2020"
"May",153,"5-4-2020"
"May",210,"5-5-2020"
"May",159,"5-6-2020"
"May",155,"5-7-2020"
"May",178,"5-8-2020"
"May",141,"5-9-2020"
"May",185,"5-10-2020"
"May",153,"5-11-2020"
"May",154,"5-12-2020"
"May",148,"5-13-2020"
"May",156,"5-14-2020"
"May",291,"5-15-2020"
"May",131,"5-16-2020"
"May",177,"5-17-2020"
"May",174,"5-18-2020"
"May",191,"5-19-2020"
"May",209,"5-20-2020"
"May",176,"5-21-2020"
"May",164,"5-22-2020"
"May",157,"5-23-2020"
"May",234,"5-24-2020"
"May",254,"5-25-2020"
"May",252,"5-26-2020"
"May",163,"5-27-2020"
"May",179,"5-28-2020"
"May",179,"5-29-2020"
"May",201,"5-30-2020"
"May",162,"5-31-2020"
"June",682,"6-1-2020"
"June",190,"6-2-2020"
"June",185,"6-3-2020"
"June",165,"6-4-2020"
"June",208,"6-5-2020"
"June",242,"6-6-2020"
"June",215,"6-7-2020"
"June",211,"6-8-2020"
"June",186,"6-9-2020"
"June",236,"6-10-2020"
"June",177,"6-11-2020"
"June",197,"6-12-2020"
"June",174,"6-13-2020"
"June",246,"6-14-2020"
"June",487,"6-15-2020"
"June",215,"6-16-2020"
"June",213,"6-17-2020"
"June",231,"6-18-2020"
"June",231,"6-19-2020"
"June",285,"6-20-2020"
"June",262,"6-21-2020"
"June",258,"6-22-2020"
"June",259,"6-23-2020"
"June",212,"6-24-2020"
"June",233,"6-25-2020"
"June",201,"6-26-2020"
"June",208,"6-27-2020"
"June",225,"6-28-2020"
"June",247,"6-29-2020"
"June",683,"6-30-2020"
"July",434,"7-1-2020"
"July",232,"7-2-2020"
"July",446,"7-3-2020"
"July",1701,"7-4-2020"
"July",377,"7-5-2020"
"July",291,"7-6-2020"
"July",281,"7-7-2020"
"July",230,"7-8-2020"
"July",222,"7-9-2020"
"July",283,"7-10-2020"
"July",267,"7-11-2020"
"July",292,"7-12-2020"
"July",287,"7-13-2020"
"July",257,"7-14-2020"
"July",501,"7-15-2020"
"July",243,"7-16-2020"
"July",269,"7-17-2020"
"July",265,"7-18-2020"
"July",209,"7-19-2020"
"July",302,"7-20-2020"
"July",240,"7-21-2020"
"July",218,"7-22-2020"
"July",230,"7-23-2020"
"July",260,"7-24-2020"
"July",264,"7-25-2020"
"July",235,"7-26-2020"
"July",347,"7-27-2020"
"July",236,"7-28-2020"
"July",246,"7-29-2020"
"July",243,"7-30-2020"
"July",256,"7-31-2020"
"August",390,"8-1-2020"
"August",250,"8-2-2020"
"August",272,"8-3-2020"
"August",264,"8-4-2020"
"August",261,"8-5-2020"
"August",242,"8-6-2020"
"August",263,"8-7-2020"
"August",299,"8-8-2020"
"August",231,"8-9-2020"
"August",288,"8-10-2020"
"August",298,"8-11-2020"
"August",392,"8-12-2020"
"August",288,"8-13-2020"
"August",270,"8-14-2020"
"August",493,"8-15-2020"
"August",252,"8-16-2020"
"August",251,"8-17-2020"
"August",267,"8-18-2020"
"August",269,"8-19-2020"
"August",296,"8-20-2020"
"August",225,"8-21-2020"
"August",240,"8-22-2020"
"August",276,"8-23-2020"
