Agency,Agency w/ USSR,Category,Launch Year,Tag,Years
US,US,O,1976,1976-066,
,Soviet Union,O,1986,1986-040,
SEALP,SEALP,O,2006,2006-034,
,Soviet Union,O,1962,1962 A DEL,
,Soviet Union,O,1987,1987-003,
CN,CN,O,2010,2010-047,2010s
,Soviet Union,O,1984,1984-117,
,Soviet Union,O,1974,1974-006,
,Soviet Union,O,1981,1981-043,
US,US,O,1970,1970-032,1970s
,Soviet Union,O,1985,1985-068,
,Soviet Union,O,1974,1974-058,
,Soviet Union,O,1979,1979-083,
,Soviet Union,O,1982,1982-109,
US,US,O,1965,1965-068,
US,US,O,1997,1997-061,
US,US,O,1966,1966-044,
,Soviet Union,O,1978,1978-090,
RU,RU,O,1995,1995-031,
MDSSC,MDSSC,O,1991,1991-028,
LMA,LMA,O,1999,1999-050,
,Soviet Union,O,1982,1982-045,
US,US,O,1987,1987-043,
,Soviet Union,O,1991,1991-061,
,Soviet Union,O,1963,1963-045,
US,US,O,1961,1961 PI,
AE,AE,O,2016,2016-069,
,Soviet Union,O,1989,1989-014,
CN,CN,O,2015,2015-030,
US,US,O,2002,2002-052,
,Soviet Union,O,1985,1985-080,
IN,IN,O,1981,1981-051,
,Soviet Union,O,1980,1980-076,1980s
,Soviet Union,O,1980,1980-021,1980s
US,US,O,1977,1977-044,
RU,RU,O,2000,2000-044,2000s
,Soviet Union,O,1990,1990-111,1990s
US,US,O,1977,1977-018,
CN,CN,O,2005,2005-027,
CN,CN,O,2013,2013-053,
CN,CN,O,2003,2003-045,
,Soviet Union,O,1977,1977-115,
EUROK,EUROK,O,2003,2003-050,
US,US,O,2001,2001-033,
,Soviet Union,O,1989,1989-008,
RU,RU,O,1993,1993-010,
,Soviet Union,O,1977,1977-011,
,Soviet Union,O,1966,1966-004,
,Soviet Union,O,1969,1969-057,
,Soviet Union,O,1975,1975-053,
AE,AE,O,2012,2012-068,
J,J,O,1987,1987-018,
,Soviet Union,O,1975,1975-049,
US,US,O,2002,2002-010,
US,US,O,1999,1999-001,
,Soviet Union,F,1967,1967-F08,
US,US,O,1995,1995-004,
CN,CN,O,2000,2000-032,2000s
,Soviet Union,O,1970,1970-104,1970s
ULAB,ULAB,O,2011,2011-002,
US,US,O,1974,1974-094,
MDSSC,MDSSC,O,1993,1993-017,
US,US,O,1965,1965-110,
IL,IL,F,2004,2004-F01,
,Soviet Union,O,1984,1984-090,
IN,IN,O,2011,2011-015,
J,J,F,1969,1969-F13,
RU,RU,O,1994,1994-014,
US,US,O,1961,1961 ZET,
,Soviet Union,O,1988,1988-011,
CN,CN,O,2015,2015-064,
MDSSC,MDSSC,O,1990,1990-068,1990s
US,US,O,1964,1964-052,
RU,RU,O,2015,2015-066,
US,US,O,2002,2002-028,
MDSSC,MDSSC,O,1993,1993-068,
US,US,O,1974,1974-097,
,Soviet Union,O,1965,1965-070,
RU,RU,O,1992,1992-001,
OSC,OSC,O,2013,2013-051,
,Soviet Union,O,1985,1985-121,
,Soviet Union,F,1965,1965-F02,
,Soviet Union,O,1989,1989-065,
,Soviet Union,O,1991,1991-066,
ULAL,ULAL,O,2014,2014-045,
,Soviet Union,O,1964,1964-006,
CN,CN,O,2015,2015-040,
US,US,O,1971,1971-021,
,Soviet Union,O,1975,1975-113,
US,US,O,1967,1967-070,
RU,RU,O,1996,1996-058,
,Soviet Union,O,1982,1982-084,
US,US,O,1997,1997-004,
,Soviet Union,O,1965,1965-080,
,Soviet Union,O,1971,1971-016,
CN,CN,O,2007,2007-031,
MMCLS,MMCLS,O,1994,1994-079,
,Soviet Union,O,1981,1981-091,
US,US,O,1978,1978-068,
AE,AE,O,1998,1998-013,
CN,CN,O,2018,2018-043,2018
MHI,MHI,O,2016,2016-012,
ILSK,ILSK,O,2012,2012-007,
,Soviet Union,O,1978,1978-117,
US,US,O,1971,1971-006,
CN,CN,O,2006,2006-035,
AE,AE,O,1988,1988-063,
IN,IN,O,2014,2014-061,
RU,RU,O,2013,2013-039,
,Soviet Union,O,1989,1989-099,
,Soviet Union,O,1989,1989-093,
,Soviet Union,O,1980,1980-020,1980s
,Soviet Union,O,1988,1988-112,
RU,RU,O,2012,2012-015,
J,J,O,2006,2006-005,
US,US,O,1963,1963-037,
RU,RU,O,2018,2018-014,2018
US,US,O,2009,2009-045,
J,J,O,1989,1989-070,
RU,RU,O,2013,2013-076,
,Soviet Union,O,1983,1983-002,
,Soviet Union,O,1973,1973-071,
RU,RU,O,2013,2013-054,
,Soviet Union,O,1991,1991-025,
,Soviet Union,O,1976,1976-124,
RU,RU,O,1998,1998-042,
US,US,O,1972,1972-041,
,Soviet Union,O,1986,1986-059,
RU,RU,O,2012,2012-044,
US,US,O,1983,1983-047,
,Soviet Union,O,1983,1983-035,
US,US,O,1962,1962 ALP,
,Soviet Union,O,1970,1970-033,1970s
F,F,O,1965,1965-096,
RU,RU,O,2009,2009-036,
,Soviet Union,O,1980,1980-088,1980s
CN,CN,O,2016,2016-049,
RU,RU,O,2008,2008-067,
,Soviet Union,O,1985,1985-002,
US,US,F,1977,1977-F04,
,Soviet Union,O,1986,1986-006,
US,US,O,1962,1962 A BET,
RU,RU,O,2000,2000-058,2000s
,Soviet Union,O,1988,1988-021,
SEALC,SEALC,O,1999,1999-014,
I-ESA,I-ESA,O,1983,1983-058,
,Soviet Union,O,1976,1976-070,
US,US,O,1994,1994-026,
,Soviet Union,F,1975,1975-F07,
,Soviet Union,O,1975,1975-093,
ILSL,ILSL,O,2000,2000-034,2000s
J,J,O,1989,1989-016,
,Soviet Union,O,1977,1977-063,
US,US,O,1996,1996-029,
MHI,MHI,O,2015,2015-004,
,Soviet Union,O,1975,1975-045,
US,US,O,1964,1964-047,
,Soviet Union,O,1976,1976-064,
US,US,O,1963,1963-030,
US,US,O,1999,1999-043,
AE,AE,O,1997,1997-031,
