Title,Year,Ratings
Planet Earth II,-2016,9.5
Planet Earth,-2006,9.4
Breaking Bad,-2008,9.4
Band of Brothers,-2001,9.4
Chernobyl,-2019,9.3
The Wire,-2002,9.3
Blue Planet II,-2017,9.3
Our Planet,-2019,9.2
Cosmos: A Spacetime Odyssey,-2014,9.2
Avatar: The Last Airbender,-2005,9.2
Cosmos,-1980,9.2
Game of Thrones,-2011,9.2
The Sopranos,-1999,9.2
Arcane,-2021,9.2
Rick and Morty,-2013,9.1
The World at War,-1973,9.1
The Last Dance,-2020,9.1
Life,-2009,9.1
Fullmetal Alchemist: Brotherhood,-2009,9
Sherlock,-2010,9
The Vietnam War,-2017,9
Scam 1992: The Harshad Mehta Story,-2020,9
The Twilight Zone,-1959,9
The Blue Planet,-2001,9
Batman: The Animated Series,-1992,9
Human Planet,-2011,9
Clarkson's Farm,-2021,8.9
Firefly,-2002,8.9
Persona,-2018,8.9
Frozen Planet,-2011,8.9
Death Note,-2006,8.9
Dekalog,-1989,8.9
True Detective,-2014,8.9
Cowboy Bebop,-1998,8.9
The Civil War,-1990,8.9
Attack on Titan,-2013,8.9
Fargo,-2014,8.9
Hunter x Hunter,-2011,8.9
The Office,-2005,8.9
When They See Us,-2019,8.9
Africa,-2013,8.8
Apocalypse: The Second World War,-2009,8.8
Only Fools and Horses,-1981,8.8
Last Week Tonight with John Oliver,-2014,8.8
TVF Pitchers,-2015,8.8
Dexter: New Blood,-2021,8.8
Gravity Falls,-2012,8.8
Seinfeld,-1989,8.8
Das Boot,-1985,8.8
Monty Python's Flying Circus,-1969,8.8
Nathan for You,-2013,8.8
Friends,-1994,8.8
Pride and Prejudice,-1995,8.8
Black Mirror,-2011,8.7
Twin Peaks,-1990,8.7
Over the Garden Wall,-2014,8.7
Kota Factory,-2019,8.7
Fawlty Towers,-1975,8.7
Narcos,-2015,8.7
Blackadder Goes Forth,-1989,8.7
It's Always Sunny in Philadelphia,-2005,8.7
Ted Lasso,-2020,8.7
Freaks and Geeks,-1999,8.7
Better Call Saul,-2015,8.7
Chappelle's Show,-2003,8.7
The Mandalorian,-2019,8.7
Peaky Blinders,-2013,8.7
The West Wing,-1999,8.7
Dark,-2017,8.7
Steins;Gate,-2011,8.7
One Punch Man,-2015,8.7
BoJack Horseman,-2014,8.7
Dragon Ball Z,-1989,8.7
Curb Your Enthusiasm,-2000,8.7
Rome,-2005,8.7
Dragon Ball Z,-1989,8.7
"I, Claudius",-1976,8.7
Vinland Saga,-2019,8.7
Invincible,-2021,8.7
Oz,-1997,8.7
Fleabag,-2016,8.7
Leyla and Mecnun,-2011,8.7
Arrested Development,-2003,8.7
Succession,-2018,8.7
Stranger Things,-2016,8.6
Six Feet Under,-2001,8.6
The Marvelous Mrs. Maisel,-2017,8.6
The Adventures of Sherlock Holmes,-1984,8.6
South Park,-1997,8.6
The Boys,-2019,8.6
One Piece,-1999,8.6
House of Cards,-2013,8.6
Aspirants,-2021,8.6
Battlestar Galactica,-2004,8.6
Justice League Unlimited,-2004,8.6
The Thick of It,-2005,8.6
House,-2004,8.6
The Simpsons,-1989,8.6
The Jinx: The Life and Deaths of Robert Durst,-2015,8.6
The Shield,-2002,8.6
