"STATE","YEAR","RANK"
"Virginia","1790",1
"Virginia","1800",1
"Virginia","1810",1
"Virginia","1820",2
"Virginia","1830",3
"Virginia","1840",4
"Virginia","1850",4
"Virginia","1860",5
"Virginia","1870",10
"Pennylvania","1790",2
"Pennylvania","1800",2
"Pennylvania","1810",3
"Pennylvania","1820",3
"Pennylvania","1830",2
"Pennylvania","1840",2
"Pennylvania","1850",2
"Pennylvania","1860",2
"Pennylvania","1870",2
"North Carolina","1790",3
"North Carolina","1800",4
"North Carolina","1810",4
"North Carolina","1820",4
"North Carolina","1830",5
"North Carolina","1840",7
"North Carolina","1850",10
"North Carolina","1860",12
"North Carolina","1870",14
"Massachusetts","1790",4
"Massachusetts","1800",5
"Massachusetts","1810",5
"Massachusetts","1820",7
"Massachusetts","1830",8
"Massachusetts","1840",8
"Massachusetts","1850",6
"Massachusetts","1860",7
"Massachusetts","1870",7
"New York","1790",5
"New York","1800",3
"New York","1810",2
"New York","1820",1
"New York","1830",1
"New York","1840",1
"New York","1850",1
"New York","1860",1
"New York","1870",1
"Maryland","1790",6
"Maryland","1800",7
"Maryland","1810",8
"Maryland","1820",10
"Maryland","1830",11
"Maryland","1840",15
"Maryland","1850",17
"Maryland","1860",19
"Maryland","1870",20
"South Carolina","1790",7
"South Carolina","1800",6
"South Carolina","1810",6
"South Carolina","1820",8
"South Carolina","1830",9
"South Carolina","1840",11
"South Carolina","1850",14
"South Carolina","1860",18
"South Carolina","1870",22
"Connecticut","1790",8
"Connecticut","1800",8
"Connecticut","1810",9
"Connecticut","1820",14
"Connecticut","1830",16
"Connecticut","1840",20
"Connecticut","1850",21
"Connecticut","1860",24
"Connecticut","1870",25
"New Jersey","1790",9
"New Jersey","1800",10
"New Jersey","1810",12
"New Jersey","1820",13
"New Jersey","1830",14
"New Jersey","1840",18
"New Jersey","1850",19
"New Jersey","1860",21
"New Jersey","1870",17
"New Hampshire","1790",10
"New Hampshire","1800",11
"New Hampshire","1810",16
"New Hampshire","1820",15
"New Hampshire","1830",18
"New Hampshire","1840",22
"New Hampshire","1850",22
"New Hampshire","1860",27
"New Hampshire","1870",31
"Maine","1790",11
"Maine","1800",14
"Maine","1810",14
"Maine","1820",12
"Maine","1830",12
"Maine","1840",13
"Maine","1850",16
"Maine","1860",22
"Maine","1870",23
"Vermont","1790",12
"Vermont","1800",13
"Vermont","1810",15
"Vermont","1820",16
"Vermont","1830",17
"Vermont","1840",21
"Vermont","1850",23
"Vermont","1860",28
"Vermont","1870",30
"Georgia","1790",13
"Georgia","1800",12
"Georgia","1810",11
"Georgia","1820",11
"Georgia","1830",10
"Georgia","1840",9
"Georgia","1850",9
"Georgia","1860",11
"Georgia","1870",12
"Kentucky","1790",14
"Kentucky","1800",9
"Kentucky","1810",7
"Kentucky","1820",6
"Kentucky","1830",6
"Kentucky","1840",6
"Kentucky","1850",8
"Kentucky","1860",9
"Kentucky","1870",8
"Rhode Island","1790",15
"Rhode Island","1800",16
"Rhode Island","1810",17
"Rhode Island","1820",20
"Rhode Island","1830",23
"Rhode Island","1840",24
"Rhode Island","1850",28
"Rhode Island","1860",29
"Rhode Island","1870",32
"Delaware","1790",16
"Delaware","1800",17
"Delaware","1810",19
"Delaware","1820",22
"Delaware","1830",24
"Delaware","1840",26
"Delaware","1850",30
"Delaware","1860",32
"Delaware","1870",34
"Tennessee","1790",17
"Tennessee","1800",15
"Tennessee","1810",10
"Tennessee","1820",9
"Tennessee","1830",7
"Tennessee","1840",5
"Tennessee","1850",5
"Tennessee","1860",10
"Tennessee","1870",9
"Ohio","1800",18
"Ohio","1810",13
"Ohio","1820",5
"Ohio","1830",4
"Ohio","1840",3
"Ohio","1850",3
"Ohio","1860",3
"Ohio","1870",3
"Mississippi","1800",19
"Mississippi","1810",20
"Mississippi","1820",21
"Mississippi","1830",22
"Mississippi","1840",17
"Mississippi","1850",15
"Mississippi","1860",14
"Mississippi","1870",18
"Indiana","1800",20
"Indiana","1810",21
"Indiana","1820",18
"Indiana","1830",13
"Indiana","1840",10
"Indiana","1850",7
"Indiana","1860",6
"Indiana","1870",6
"Louisiana","1810",18
