continent,country,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
Asia,Thailand,Chiang Mai,272.8,257.1,294.5,279,198.4,156,120.9,117.8,144,201.5,216,254.2,2512.2
Asia,Thailand,Hat Yai,182.9,166.7,186,144,114.7,111,114.7,114.7,108,111.6,105,108.5,1567.8
Asia,Thailand,Nakhon Ratchasima,226.3,211.9,201.5,186,155,114,117.8,117.8,108,145.7,186,226.3,1996.3
Asia,Turkey,Ankara,77.5,98.9,161.2,189,260.4,306,350.3,328.6,276,198.4,132,71.3,2449.6
Asia,United Arab Emirates,Dubai,254.2,229.6,254.2,294,344.1,342,322.4,316.2,309,303.8,285,254.2,3508.7
Asia,Uzbekistan,Tashkent,117.8,127.1,164.3,216,303.8,363,384.4,365.8,300,226.3,150,105.4,2823.9
Asia,Vietnam,Da Lat,255,234,255,202,190,147,157,136,133,140,172,215,2238
Asia,Vietnam,Da Nang,139,145,188,209,246,239,253,218,176,145,120,103,2182
Asia,Vietnam,Hanoi,74,47,47,90,183,172,195,174,176,167,137,124,1585
Asia,Vietnam,Ho Chi Minh City,245,246,272,239,195,171,180,172,162,182,200,226,2489
Europe,Albania,Tirana,124,125,165,191,263,298,354,327,264,218,127,88,2544
Europe,Armenia,Yerevan,93,108,162,177,242,297,343,332,278,212,138,92,2474
Europe,Austria,Vienna,66,106,128,183,239,228,260,251,168,139,66,51,1884
Europe,Belarus,Minsk,34,72,133,185,270,267,271,251,154,103,39,28,1807
Europe,Belgium,Brussels,59,77,114,159,191,188,201,190,143,113,66,45,1546
Europe,Bosnia and Herzegovina,Sarajevo,57,84,126,152,192,207,256,238,187,149,81,41,1769
Europe,Bulgaria,Sofia,88,114,160,182,230,258,302,288,220,164,106,66,2177
Europe,Croatia,Zagreb,59,96,140,175,234,244,281,256,187,131,66,45,1913
Europe,Czech Republic,Prague,50,72,125,168,214,218,226,212,161,121,54,47,1668
Europe,Cyprus,Nicosia,182.9,200.1,238.7,267,331.7,369,387.5,365.8,312,275.9,213,170.5,3314.1
Europe,Denmark,Copenhagen,46,62,148,214,243,238,243,194,166,105,46,34,1739
Europe,Estonia,Tallinn,25,56,129,203,293,286,307,241,152,87,29,19,1826
Europe,Faroe Islands,Tórshavn,14,36,71,106,124,125,111,98,80,49,20,6,840
Europe,Finland,Helsinki,38,70,138,194,284,297,291,238,150,93,36,29,1858
Europe,France,Marseille,150,156,215,245,293,326,366,327,254,205,156,143,2836
Europe,France,Paris,63,79,129,166,194,202,212,212,168,118,68,51,1662
Europe,Georgia,Tbilisi,99,102,142,171,213,249,256,248,206,164,103,93,2046
Europe,Germany,Berlin,47,74,121,159,220,222,217,211,156,112,51,37,1626
Europe,Germany,Frankfurt,50,80,121,178,211,219,233,219,156,103,51,41,1662
Europe,Greece,Athens,158,168,189,225,304,360,384,360,252,198,144,105,2848
Europe,Greece,Ierapetra,156,159,208,240,319,355,385,368,308,236,201,167,3102
Europe,Hungary,Budapest,62,93,137,177,234,250,271,255,187,141,69,52,1988
Europe,Iceland,Reykjavik,20,60,109,164,201,174,168,155,120,93,41,22,1326
