country	CG	SC	ES	EQ	HS	HO	IW	JE	SW	PS	WL	numResponses
TOTAL	0.06553116247236977	0.07895490379329723	0.0980894924659729	0.08893034157662698	0.10302705995681494	0.0896503198281596	0.0873756198684458	0.08746547277823183	0.10141078872352056	0.09155704317357764	0.09666393658736394	160880
AFG	0.06567108556104587	0.07600555513713346	0.08344390218117487	0.08419018282795585	0.09199151466895546	0.09522637099676931	0.10164884178587995	0.08331617110998038	0.08989897981699212	0.08484711282955182	0.09327951385379303	416
ALB	0.06587784247894596	0.0783474723841506	0.08777909693291379	0.078136051885552	0.09188925013811808	0.10050087374126489	0.1244325111402211	0.09382763762162717	0.0954323149450914	0.07953294923651433	0.09439178274683209	203
DZA	0.06777499146693818	0.08071593965679959	0.09128331574318246	0.08335703364261565	0.10158674275908504	0.11407576311803856	0.1017068682083011	0.09794869731373487	0.0888203606481032	0.09259460241633456	0.08013568502686581	238
AND	0.07230324480464655	0.07504065302284804	0.08773311866206382	0.11234043751772345	0.08722921180511084	0.08872374016249168	0.09412935771998687	0.0935926269488843	0.10521374584567868	0.08655474852844372	0.08638642681007874	93
AGO	0.0710396650873377	0.09194392239064986	0.08624212523997075	0.08001253227162326	0.08994133996946849	0.10448421695986393	0.09724734540618962	0.08635965310106716	0.08505820681262921	0.07996693300216054	0.08008501213999161	84
AIA	0.09753098247191269	0.08062261122348927	0.07693938617444253	0.08369280380377699	0.11246409607324893	0.08575164212349504	0.07935089023107297	0.08998183684156026	0.11491030543697518	0.08259243234736104	0.09616301327266517	46
ATG	0.07765735701693209	0.11779463936011178	0.10055797279934862	0.08806513172568631	0.0808667730338498	0.08970636434003547	0.08403862875772915	0.08985246272442715	0.09495511073922551	0.0729866578509007	0.10351890165175336	37
ARG	0.07021161999341691	0.07678777816232525	0.10288119189050567	0.08767314832420688	0.1031833743766011	0.09188102578618997	0.08683688448538569	0.09390958758000607	0.0931752910828326	0.09562668420776213	0.09253038380774198	1320
ARM	0.06742724231581931	0.08108471791946235	0.09804445180761742	0.08725641987046989	0.11014341381774644	0.09921793373809067	0.08004069571335595	0.08054069105130818	0.09330930979739417	0.10026492583731662	0.08415167961290021	108
ABW	0.08890395713500732	0.08999206035536406	0.09104792309284707	0.09115230271186826	0.09243588966259018	0.09038349842271015	0.0914614718387713	0.09034688699938748	0.09100867144658893	0.09114394231015835	0.0905335709054799	629
AUS	0.05929384605033229	0.06970413335575654	0.09326730094197673	0.07864467315179333	0.09755160887350212	0.08690046195816328	0.08289994551672138	0.07902247505501983	0.09189382424486953	0.08754759149737068	0.12180997215410312	17177
AUT	0.06745454945058917	0.07995235968157176	0.09765106095099686	0.09402874360581201	0.1065157738375635	0.09159552491607624	0.08326931105787126	0.08579993935498886	0.10288844948338242	0.09622247564911733	0.09008225299776709	3084
AZE	0.06926910291572974	0.07740644370033403	0.09788060315489486	0.08314656819488797	0.09453190219099489	0.09738729438020934	0.08621700428655521	0.08400691480104562	0.08362786850294435	0.10741216672993519	0.10482841685675445	140
BHS	0.07427682899573025	0.0743945333365049	0.09707960287929407	0.10363880111166927	0.08907498649211996	0.11324514675593383	0.08322819190687382	0.0857753763845938	0.09382736542815508	0.08851388538100406	0.08428705348001929	79
BHR	0.06287894633713557	0.08736887648344965	0.09964711192655157	0.08401277751099363	0.09690457288968017	0.10208249396118081	0.09257852578391301	0.09311768690597395	0.10261383939701073	0.08991846595097534	0.07788769186412423	91
BGD	0.07658348042712768	0.08478754266930716	0.09826325812947218	0.0822649840724682	0.09494417255575849	0.08414538240191657	0.11070238979486159	0.0867282181008912	0.09235780360789735	0.08467242549522339	0.0969745851693188	132
BRB	0.0727764593052673	0.10920231612816869	0.09182153408991985	0.09707423008122709	0.09662529014941958	0.09532753599367663	0.07936434815354336	0.08899687960751944	0.0960173626776946	0.09138038415916157	0.08141365965440173	62
BLR	0.07362188813006462	0.08114737402910752	0.09506426900991952	0.09541609391903953	0.10016546251521115	0.09143306761256738	0.09484445850399315	0.08343757433331919	0.09669820946050342	0.08914325623372776	0.08972602067115092	215
BEL	0.06510482025536199	0.07924106726418177	0.09952314671121124	0.09112048605553578	0.10572440509951148	0.09445734772194862	0.08670866058704328	0.08638449969506017	0.1023958346934745	0.09139816399490294	0.09278934309741835	2135
BLZ	0.051386215630868946	0.06315183930967815	0.08406264950271504	0.08030033897792799	0.08755183014541965	0.0778715986108528	0.09443478686411	0.09347396696446231	0.09049882161124129	0.13143297286619962	0.08701145010475946	17
BEN	0.07099544925907814	0.08976443020180111	0.09436925703541883	0.08156133963792779	0.10113253152801463	0.09123288927138504	0.12958376255880263	0.08536312392269405	0.08289080023666455	0.09091349559018486	0.08219292075802823	23
BMU	0.05483244600579991	0.06669231137852616	0.09797792611285101	0.09838886842588437	0.10758870855961347	0.0729289616546211	0.07603423832609066	0.06928003388221773	0.10959316567734854	0.09648583655566449	0.08769750342138251	16
BTN	0.06700225114021084	0.10022770453192037	0.09797244215761038	0.10082487374585315	0.10156607075123901	0.09471580149094756	0.0799341202606062	0.09113235384174212	0.0847261536137028	0.07015188627647814	0.07007967552302265	24
BOL	0.0614434711977945	0.07698623463722344	0.10754639912079013	0.08599877971670747	0.10741926394669815	0.09738675787490568	0.09859614043139471	0.09564507491479288	0.09452186198057036	0.08634231210259076	0.08811370407653145	79
BIH	0.06826705581708399	0.07521616255796622	0.09250810421540573	0.07721127740689976	0.1066396837365138	0.09906939508203562	0.09281399327599257	0.09553910497351813	0.10403474893245447	0.08558238830472863	0.09013107271038785	77
BWA	0.07436759098480805	0.07019616932972624	0.10302801679220668	0.07537544407599446	0.09133211035945814	0.09324486670762902	0.09910906423849322	0.08984325864593322	0.07459950473796363	0.09185093275328055	0.08149748581895126	18
BRA	0.06477390318222111	0.07362173175418876	0.1066517997469181	0.08564864815135947	0.10353335644315073	0.09017774611630752	0.08641927252634432	0.08920239977189015	0.09964288130952992	0.102807910252109	0.09128334450897765	2886
BRN	0.06860001350818598	0.06554624462338479	0.09370567497809122	0.07317035198699864	0.08838687265225563	0.07113809414854919	0.08767559630151694	0.10446818346192088	0.12996457999715208	0.08703520511499638	0.1303091832269483	20
BGR	0.06618056089623843	0.07514918012290091	0.0912337345679755	0.08992036407071517	0.0969290536768911	0.08331148211555513	0.09957633520708006	0.09237815107911711	0.1042813850819625	0.08729652899307855	0.10058532945164286	228
BFA	0.07152640520646261	0.08701462069467808	0.10424561065163646	0.07663028957863967	0.08995367165381513	0.1404518384001885	0.0883988804648776	0.07663726995147369	0.09181547476382483	0.08032602261440139	0.0929999160200021	15
BDI	0.06660413673062872	0.06135831328649947	0.09494400187906392	0.07367326124131829	0.09222029488912853	0.07508116352277756	0.09660721811334828	0.09345626378357737	0.09416010025047376	0.08787714809948394	0.08068476487036678	12
KHM	0.05523503820168602	0.08575039783997512	0.09428666515946503	0.08015333376422888	0.11902457977141066	0.09004967210505488	0.0922948450635416	0.07863577556518934	0.11737626756108296	0.09312731965488144	0.09406610531348403	21
CMR	0.06207605493921173	0.07065051632364747	0.10502983810544687	0.08124580782437876	0.10253786525966474	0.09647509943899267	0.10010304747087634	0.10126566965426305	0.08968511658337797	0.09165154520778526	0.09927943919235513	31
CAN	0.0637669848581113	0.07853752676838968	0.09870378976870109	0.09026600093256709	0.10742066638796142	0.08986732781814831	0.08799242412095368	0.08797409472199738	0.10251712144453312	0.09535929344374866	0.09104598126075117	7635
CPV	0.06618045299767988	0.053847338878851486	0.07672506868935441	0.07855385350133251	0.0999827993000262	0.07458179264901955	0.09676568983291672	0.12326368508091196	0.09402532275431436	0.07564114995837687	0.0835097694341392	13
CYM	0.03402953043983729	0.06906227660063222	0.11582201086699426	0.09237480589805017	0.09228297681330214	0.08651457313564351	0.11763683478911133	0.056879453826611144	0.10428537658744103	0.13634052956650705	0.09477163147586984	8
CAF	0.09155659155659156	0.057368557368557366	0.10224035224035226	0.08372183372183373	0.11933436933436932	0.08372183372183373	0.09226884226884229	0.10081585081585082	0.10224035224035226	0.10081585081585082	0.06591556591556591	3
TCD	0.048307512593226874	0.055110233681662256	0.09127512698941272	0.22517826089254664	0.05423808995237567	0.06848310419738991	0.06777085348513918	0.05423808995237567	0.051708873137444565	0.05851159422587995	0.05851159422587995	6
CHL	0.07166882809163695	0.07576290318022234	0.10598056197589661	0.09169314588696892	0.10336360042090713	0.09001208999675088	0.08842834920025629	0.09175074317624327	0.09477402057955557	0.08927493514467098	0.09261167796186731	1496
