2015 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
,World,WWW,,62.57,72.41,64.53,50.76,80.98,73.91,72.86,61.88,79.45,61.97,59.27,57.44,64.94,59.58,40.72,37.79,11.7,112.878,33.5,24.684,151.8752821,87.7428,62.1914,69.3112,17.25774599,84.9711,4.253133523,37.42521244,57.29,5.67610,4,0.586,19.557857,83.3725,94.0543,70.2480,0.98743,1.688,92.23570648,36.3261,0.5561,2.231,19.9338,407.235,67.128,1.785,42.9172,553.398,10.36508088,21,0.631,2.693,0.612,3.789,47.745,14,72.0,40,26.51833924,7.5,1.890,1.964,1.888,1.901565357,7.1,39,9
144,Afghanistan,AFG,Ranked,35.88,45.37,35.31,26.95,56.19,41.52,39.87,43.88,36.96,31.18,28.28,44.84,39.42,34.12,31.25,3.02,23.4,370.601,79.2,52.303,177.672,56.1696,16.8015,38.0558,20.6249,70.1535,,151.452,24.08,6.34591,5,0.44,37.0451,31.7411,,47.3128,0.56252,0.919,52.9665,5.9,0.13725,2.383,14.8147,1011.27,42.861,1.414,46.3761,588.323,0.104392,11,0.572,1.832,0.217,2.09,89.744,17,42.4,12,2.1395,8.9,1.042,1.628,2.757,0.42379,1.4,0,0
49,Albania,ALB,Ranked,70.97,85.01,76.76,51.13,90.93,91.45,82.46,75.18,88.77,69.53,72.65,76.10,83.62,41.71,46.73,32.47,6,10.738,10.1,23.054,16.4636,89.4611,85.3276,97.3125,0.471056,100,4.67217,20.3445,69.96,5.37664,3,0.966,9.41575,97.247,99.6431,85.1919,0.92571,2.346,126.276,57.2,0.52941,2.33,21.9849,286.582,79.321,2.798,21.5743,308.885,16.0583,27,0.751,3.837,0.893,4.349,56.503,10,9.7,33,10.5627,5,2.165,1.715,2.605,3.7618,9.4,0,0
81,Algeria,DZA,Ranked,64.06,81.91,64.45,45.81,89.65,87.55,86.48,63.98,86.44,45.29,69.70,56.38,57.17,68.63,40.38,17.05,5,74.746,25.7,14.498,25.5671,93.0552,77.181,87.1575,3.94835,99.581,3.99995,0.358618,92.47,1.39222,4,0.587,20.1888,,99.2061,,1.03799,2.936,103.074,22.5,0.07843,1.556,22.3077,288.247,70.144,2.605,43.0691,426.745,7.37916,11,0.636,1.643,0.583,4.307,26.882,2,73.4,36,20.5784,8.2,1.89,2.167,1.928,1.72491,6,0,0
139,Angola,AGO,Ranked,38.88,43.84,42.29,30.51,50.05,35.49,44.04,45.77,41.45,31.38,39.61,56.72,55.11,29.24,27.84,9.85,35.1,237.976,99.2,46.8,482.518,52.7573,35.8473,44.8548,57.6488,36.8787,1.7145,75.2943,45.36,4.84935,5,0.428,34.4691,66.0301,80.9996,11.3897,0.632196,0.626,51.1002,8.9,0.23529,1.729,16.1969,480.789,40.087,0.768,31.0441,571.191,5.80383,10,0.453,2.779,0.517,3.76,67.403,36,30.9,19,12.627,7.3,1.827,0.916,0.787,0.52861,,0,0
42,Argentina,ARG,Ranked,74.81,83.29,72.83,68.32,93.14,95.00,81.58,63.45,90.70,71.81,67.67,61.13,86.68,67.67,63.72,55.21,3.7,50.929,12.7,8.389,70.6106,98.9304,96.1019,94.1676,7.68874,99.5784,2.62633,3.01193,97.94,7.50788,4,0.844,16.178,99.1219,99.8036,88.2464,1.06717,2.501,158.349,59.9,0.54901,2.592,21.1549,347.641,73.621,2.646,30.768,404.051,7.18249,31,0.869,3.835,0.736,4.783,20.178,11,82.2,34,65.2078,5,2.441,2.62,2.842,4.2298,10,18,25
58,Armenia,ARM,Ranked,68.82,88.75,69.90,47.79,92.03,96.95,89.38,76.64,90.89,61.62,64.56,62.54,70.48,54.22,37.00,29.47,5.1,21.778,15.5,16.1,20.3211,99.2616,96.3633,92.2085,0,100,5.07773,14.6957,95.1,2.25544,3,0.814,7.51058,99.7444,93.9812,87.7412,1.05669,3.115,115.648,41.9,0.52941,1.359,19.6337,434.284,74.861,2.885,51.3411,480.447,16.9991,16,0.655,3.17,0.616,4.804,42.724,7,37.7,37,4.8763,5.4,1.169,1.085,3.07,2.35438,11.5,0,0
9,Australia,AUS,Ranked,87.41,94.95,86.34,80.93,97.89,97.65,96.83,87.45,92.47,93.22,86.97,72.72,96.39,87.55,67.25,72.52,2.5,4.314,4.2,4.819,11.1117,99.9464,90.0286,99.9911,,100,6.21325,0.097384,100,1.06477,2,0.956,6.63777,99,99.9261,93.8192,0.86923,3.342,107.729,83.4535,0.94117,3.786,25.3492,186.603,95.052,3.342,11.3842,561.556,13.9907,39,0.95,3.877,0.977,4.761,10.84,1,84,80,74.4805,4.4,2.429,2.456,3.273,5.81418,12.7,58,40
17,Austria,AUT,Ranked,86.13,96.31,85.85,76.23,98.56,100.00,98.54,88.14,93.44,83.54,84.85,81.57,96.40,86.47,64.63,57.42,2.5,3.058,3.9,2.843,7.02977,100,,99.9805,0,100,6.64779,0.318545,100,0.927497,2,0.953,5.56833,99,,86.3468,0.9631,3.29,154.725,80.6188,0.62745,3.64,23.9246,223.395,91.9,3.808,17.5691,214.341,17,38,0.962,3.762,0.984,4.899,8.583,0,85,72,62.4448,4.3,2.397,2.725,2.805,3.81206,11.5,13,35
109,Bangladesh,BGD,Ranked,51.51,62.05,54.18,38.31,72.25,63.24,47.99,64.73,66.22,44.80,50.52,55.15,61.91,37.98,40.56,12.78,17,190.451,41,40.725,110.133,96.6881,12.9302,43.1682,4.34904,61.5,2.54562,71.562,14.33,2.6418,3,0.279,12.7202,61.0155,96.0523,54.8257,1.10581,0.947,73.9685,6.63,0.39215,2.415,20.0352,482.618,56.771,0.815,42.2829,303.685,3.29012,21,0.509,3.021,0.328,4.484,59.682,48,73.2,25,33.7291,8.4,2.263,0.763,2.772,0.67455,4.7,1,0
