2017 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
,World,WWW,,63.47,73.51,65.88,51.03,82.05,75.47,74.58,61.95,79.58,66.51,59.43,58.00,63.48,60.21,40.31,40.10,11.2,106.060,30.9,23.741,141.7012896,88.6749,62.7587,71.3519,15.31208174,86.6371,4.44536298,34.65313629,58.37,5.46697,4,0.589,18.76987527,83.4585,94.3323,70.7047,0.99088,1.663,97.27938033,42.5850,0.6501,1.935,19.9977,407.483,67.627,1.766,43.1820,513.236,10.3993684,21,0.577,2.629,0.592,3.885,47.229,14,72.3,41,26.27297,7.5,1.915,1.862,1.864,2.013064386,7.3,50,11
144,Afghanistan,AFG,Ranked,36.67,47.53,37.04,25.46,57.36,45.46,43.06,44.23,35.33,40.06,27.58,45.18,35.49,35.42,27.37,3.55,27.6,330.905,73.1,50.786,166.733,61.5469,19.2274,40.7077,18.8343,71.5,,141.354,27.99,6.34591,5,0.424,35.288,31.7411,,44.9333,0.58783,0.349,58.4205,8.26,0.42373,2.119,14.9862,982.091,43.929,0.925,47.3345,540.675,0.104392,10,0.522,1.821,0.174,1.743,89.58,17,44,15,8.274,8.4,0.884,1.33,2.108,0.4617,1.6,0,0
52,Albania,ALB,Ranked,71.15,84.29,77.55,51.62,91.39,92.47,82.46,70.84,88.92,74.17,71.70,75.40,84.04,44.33,47.61,30.48,5.5,9.965,9.4,22.344,16.1462,91.001,85.977,97.691,0,100,4.45015,19.1631,73.98,4.00579,4,0.966,9.22794,97.247,99.2955,85.8181,0.92999,2.346,116.338,63.2529,0.64407,2.33,21.9738,287.217,79.686,2.543,21.7861,333.172,16.0583,28,0.751,3.837,0.893,4.349,56.036,7,7.7,39,10.6411,4.5,2.165,1.715,2.605,3.26474,9.6,0,0
79,Algeria,DZA,Ranked,65.65,82.43,65.99,48.54,90.18,88.15,86.83,64.58,87.10,49.23,71.07,56.54,57.27,68.23,42.79,25.89,4.6,70.211,24.9,13.889,24.3148,93.4746,76.557,87.4967,2.27696,99.9431,4.03566,0.267657,93.1,1.4752,4,0.615,19.4203,,99.2338,,1.03799,3.069,108.417,38.2,0.11864,1.238,22.4947,283.397,71.064,2.778,42.5478,428.535,7.37916,11,0.543,1.758,0.654,4.307,26.852,2,74,34,20.5784,7.1,1.971,2.097,2.002,2.13318,7.5,1,5
139,Angola,AGO,Ranked,40.56,46.67,44.63,30.38,55.56,37.69,46.59,46.87,41.54,37.38,41.39,58.20,55.11,29.16,27.49,9.75,27,221.08,88.9,44.799,441.33,54.3169,38.1597,47.3745,56.2542,42,1.7145,67.0983,46.67,4.84935,5,0.428,31.4279,66.0301,80.9996,11.3897,0.63442,0.626,49.838,12.4,0.44068,1.729,16.6504,454.498,41.659,0.768,29.7926,505.024,5.80383,10,0.453,2.779,0.517,3.76,67.254,36,31.6,18,12.627,7.5,1.827,0.916,0.787,0.50681,,0,0
42,Argentina,ARG,Ranked,75.77,83.56,75.26,68.49,93.45,95.20,82.04,63.55,91.74,78.96,68.45,61.88,90.06,67.29,60.87,55.73,3.4,52.539,11.4,8.056,70.1899,99.0701,96.6253,94.2348,7.68874,99.8236,2.70286,2.57697,98.16,7.50788,4,0.826,15.0184,99.18,99.4394,89.5142,1.04409,2.514,142.435,68.0431,0.62712,3.325,21.2928,333.084,74.397,2.646,29.1591,407.205,7.38735,33,0.947,3.784,0.788,4.837,21.139,13,82.8,36,61.4447,5,2.302,2.411,2.817,4.5216,10.1,20,20
60,Armenia,ARM,Ranked,69.11,88.78,71.12,47.42,92.90,97.65,88.66,75.92,90.37,66.05,65.08,63.00,70.71,53.15,35.25,30.58,4.3,20.522,14,14.589,20.4899,99.7344,97.6406,93.0606,0,100,4.78378,12.6859,96.12,2.47744,3,0.8,7.87365,99.7444,92.3276,87.7412,1.05151,3.099,118.771,59.1024,0.52542,1.36,19.7748,424.762,75.319,2.871,51.615,448.937,16.9991,16,0.626,3.119,0.672,4.802,40.906,8,38.2,33,1.7848,6.1,1.145,1.093,3.09,2.55401,11.6,0,0
11,Australia,AUS,Ranked,87.83,95.16,86.62,81.70,97.94,97.92,97.43,87.34,91.99,94.20,86.38,73.90,96.77,87.34,68.17,74.51,2.5,4.551,3.8,4.733,11.5023,99.97,91.1672,99.9911,,100,6.36172,0.088638,100,1.03516,2,0.945,6.61569,99,99.9668,93.2758,0.86726,3.257,108.279,84.5605,0.98305,3.68,25.2776,189.17,94.984,3.245,10.7021,516.956,14.2219,40,0.955,3.854,0.976,4.761,10.861,1,84.3,79,72.957,3.9,2.42,2.519,3.273,5.84865,12.9,61,45
17,Austria,AUT,Ranked,86.89,96.59,88.10,75.99,98.52,99.99,98.42,89.43,93.64,91.17,85.30,82.31,94.97,87.45,64.58,56.96,2.5,5.3,3.7,2.831,6.86064,100,,99.9767,0,100,6.61491,0.287671,100,0.521242,2,0.953,5.35513,99,,87.3732,0.96121,3.29,155.215,83.9401,0.88136,3.64,24.1039,216.86,91.957,3.808,16.741,203.359,17,37,0.962,3.566,0.984,4.899,8.172,0,85.2,75,68.2671,4.5,2.301,2.725,2.805,3.91019,11.8,13,30
107,Bangladesh,BGD,Ranked,53.62,64.31,57.61,38.95,73.67,64.92,54.53,64.12,69.86,53.30,51.97,55.32,62.71,39.75,38.94,14.39,16.5,176.518,36.4,39.913,104.513,96.8215,13.9077,45.7422,1.70457,73.1742,3.20765,65.063,15.96,2.83178,3,0.255,12.4867,65.1373,96.5979,62.9961,1.10482,1.154,81.4981,14.4,0.52542,2.555,20.2445,463.443,58.497,0.858,43.2703,284.859,3.29012,20,0.512,3.037,0.338,4.673,57.866,46,74,26,35.7862,8.7,2.263,0.513,2.772,0.86975,5.1,1,0
