2016 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
,World,WWW,,62.97,72.97,65.00,50.93,81.52,74.69,73.48,62.20,79.55,62.94,59.46,58.06,64.33,59.87,40.65,38.88,11.5,109.846,32.2,24.222,146.5427874,88.2137,62.4803,70.3398,16.28663351,85.4457,4.309048792,36.14056965,57.88,5.47101,4,0.593,19.19434832,83.4315,94.1930,70.4449,0.98763,1.687,95.85743397,39.3971,0.5549,1.995,19.9771,406.266,67.396,1.790,42.3070,529.202,10.39409362,21,0.593,2.688,0.596,3.898,47.449,14,72.1,40,25.65641933,7.5,1.941,1.908,1.886,1.965468595,7.2,42,10
144,Afghanistan,AFG,Ranked,36.93,47.68,36.15,26.97,56.87,43.49,45.98,44.40,37.02,32.47,28.99,46.11,38.79,34.04,31.77,3.28,25.5,348.645,76,51.56,170.72,58.8412,18.0124,39.3749,19.7296,89.5,,147.135,26.17,6.34591,5,0.446,35.9111,31.7411,,47.3732,0.56373,0.919,56.1913,7,0.13725,2.383,14.9058,995.38,43.509,1.414,45.1939,531.407,0.104392,10,0.571,1.832,0.207,2.09,89.655,17,43.1,11,2.1395,8.6,1.042,1.628,2.757,0.442745,1.5,0,0
51,Albania,ALB,Ranked,70.85,84.30,76.70,51.56,91.19,92.42,83.04,70.54,88.80,70.29,71.56,76.16,83.62,43.60,47.44,31.57,5.7,10.352,9.7,22.678,16.3275,90.9812,85.8255,97.6769,0,100,4.72439,20.002,71.78,4.24806,4,0.966,9.37629,97.247,99.2562,85.9043,0.92692,2.346,115.026,60.1,0.52941,2.33,21.9341,288.474,79.518,2.543,21.1705,312.076,16.0583,27,0.751,3.837,0.893,4.349,56.611,7,8.6,36,11.7236,4.7,2.165,1.715,2.605,3.53357,9.5,0,0
84,Algeria,DZA,Ranked,64.39,82.23,65.04,45.91,90.00,87.85,86.70,64.35,86.47,47.14,70.04,56.51,56.25,68.73,40.91,17.77,4.7,70.763,25.3,14.16,25.0722,93.2673,76.8726,87.3327,3.11266,99.8771,4.02131,0.311301,92.83,1.252,4,0.59,20.1755,,99.2749,,1.03799,2.936,110.699,29.5,0.07843,1.556,22.3981,284.965,70.54,2.605,42.9124,423.125,7.37916,11,0.592,1.634,0.583,4.307,26.902,2,73.8,36,20.5784,7.9,1.89,2.167,1.928,1.84092,6.1,0,0
139,Angola,AGO,Ranked,39.39,44.94,43.07,30.16,53.00,36.59,43.75,46.42,41.49,32.07,40.81,57.91,55.11,28.16,27.14,10.23,30.8,228.754,93.6,45.823,459.109,53.5415,36.9935,46.117,56.9515,32,1.7145,70.2457,46.15,4.84935,5,0.428,32.6612,66.0301,80.9996,11.3897,0.633308,0.626,52.2003,10.2,0.23529,1.729,16.5027,460.932,40.976,0.768,29.6378,526.524,5.80383,10,0.453,2.779,0.517,3.76,67.41,36,31.1,15,12.627,7.7,1.827,0.916,0.787,0.60823,,0,0
42,Argentina,ARG,Ranked,74.94,83.14,73.68,68.00,93.33,95.10,81.47,62.67,91.06,73.48,68.29,61.90,87.08,66.19,64.24,54.50,3.5,51.406,12,8.215,70.3377,99.0003,96.3634,94.201,7.68874,100,2.56035,2.81775,98.1,7.50788,4,0.788,15.5819,98.9939,99.8411,88.5468,1.05939,2.497,142.466,64.7,0.54901,2.694,21.2947,335.907,74.052,2.646,29.0005,406.626,7.34165,31,0.889,3.835,0.736,4.783,20.613,13,82.5,32,65.1812,4.7,2.441,2.62,2.842,4.33842,10,19,20
59,Armenia,ARM,Ranked,69.12,88.75,71.04,47.58,92.57,97.34,88.36,76.72,90.61,64.97,65.07,63.52,71.31,53.43,36.23,29.34,4.6,18.53,14.7,15.382,20.3098,99.5933,97.0006,92.632,0,100,4.76874,13.8617,95.69,2.17729,3,0.812,7.51922,99.7444,92.8093,87.7412,1.05151,3.112,119.025,54.6228,0.52941,1.359,19.7352,424.368,75.27,2.885,49.8432,456.155,16.9991,16,0.652,3.126,0.674,4.804,41.89,8,37.9,35,2.2653,5.6,1.169,1.085,3.07,2.32623,11.5,0,0
10,Australia,AUS,Ranked,87.55,95.07,86.27,81.30,97.90,97.79,97.19,87.41,92.16,92.94,86.46,73.51,96.77,87.29,68.38,72.76,2.5,5.026,4,4.779,11.3315,99.9615,90.5995,99.9911,,100,6.30313,0.093104,100,1.05828,2,0.951,6.55509,99,99.9224,93.8192,0.86923,3.257,106.753,84,0.94117,3.68,25.3056,188.986,95.09,3.245,10.9395,536.237,14.2218,40,0.955,3.854,0.976,4.761,10.848,1,84.1,79,76.3428,4.1,2.42,2.519,3.273,5.81418,12.8,59,40
17,Austria,AUT,Ranked,86.51,96.39,86.05,77.10,98.48,99.99,98.27,88.79,93.57,83.64,85.13,81.85,94.97,87.62,65.99,59.82,2.5,6.36,3.8,2.838,6.83379,100,,99.9786,0,100,6.5798,0.307959,100,0.722798,2,0.953,5.34709,99,,86.5447,0.96485,3.29,150.032,80.9958,0.62745,3.64,24.0432,219.937,91.967,3.808,16.7565,214.819,17,37,0.962,3.566,0.984,4.899,8.487,0,85,76,67.5882,4,2.397,2.725,2.805,3.84741,11.8,14,40
109,Bangladesh,BGD,Ranked,52.08,62.59,55.38,38.28,72.89,64.08,49.39,64.00,66.68,49.02,51.07,54.77,63.13,39.15,38.10,12.73,16.8,184.733,38.6,40.321,108.983,96.7567,13.417,44.4627,3.0268,62.4,2.69222,68.1448,15.06,2.78794,3,0.255,12.9942,61.0933,96.3251,57.1414,1.12887,1.154,79.5871,13.9,0.39215,2.555,20.0397,473.602,57.293,0.858,44.1175,293.173,3.29012,21,0.512,3.037,0.338,4.673,58.872,46,73.6,25,23.9851,8.9,2.263,0.763,2.772,0.77215,4.4,1,0
