Region,Country,City,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Americas,Argentina,Cordoba,Count,144,121,132,129,127,138,130,92,114,125,136,148,136,126,115
Americas,Argentina,Cordoba,Rate,4.6,3.8,4.1,4,3.9,4.2,3.9,2.7,3.3,3.6,3.9,4.2,3.8,3.5,3.2
Americas,Argentina,Salta,Count,60,68,63,60,37,49,59,62,59,61,80,65,85,61,96
Americas,Argentina,Salta,Rate,5.4,6,5.5,5.1,3.1,4.1,4.8,5,4.7,4.8,6.2,4.9,6.4,4.5,7
Americas,Bahamas,Nassau,Count,,,33,48,60,56,69,78,110,93,,,,,
Americas,Bahamas,Nassau,Rate,,,14.6,20.8,25.4,23.3,28.2,31.4,43.6,36.3,,,,,
Americas,Barbados,Bridgetown Division,Count,,,,,14,13,11,20,9,9,13,13,17,,
Americas,Barbados,Bridgetown Division,Rate,,,,,14.5,13.4,11.3,20.4,9.2,9.1,13.2,13.1,17.1,,
Americas,Belize,Belize City,Count,,,44,42,41,47,54,70,74,75,39,59,41,41,
Americas,Belize,Belize City,Rate,,,91.9,85.5,81.3,90.9,101.8,128.8,133,131.8,67.1,99.3,67.3,66.4,
Americas,Belize,Belmopan,Count,,,,,,,,,,,,5,3,7,
Americas,Belize,Belmopan,Rate,,,,,,,,,,,,25.8,15.4,33.9,
Americas,Bolivia (Plurinational State of),La Paz,Count,,,,,,,,602,550,,,,,,
Americas,Bolivia (Plurinational State of),La Paz,Rate,,,,,,,,21.2,19.1,,,,,,
Americas,Brazil,Rio de Janeiro,Count,,,,,,,,,,,"1,389","1,305","1,255","1,030",
Americas,Brazil,Rio de Janeiro,Rate,,,,,,,,,,,21.6,20.2,19.4,15.8,
Americas,Brazil,Salvador,Count,,,,,,,,,,,"1,485","1,419","1,436","1,405",
Americas,Brazil,Salvador,Rate,,,,,,,,,,,51.5,48.9,49.2,47.8,
Americas,Brazil,Sao Paulo,Count,,,"2,684","1,985","1,538","1,263","1,237","1,263","1,069","1,621","1,316","1,279","1,109",893,
Americas,Brazil,Sao Paulo,Rate,,,24.6,18,13.8,11.2,10.9,11,9.2,13.8,11.1,10.8,9.3,7.4,
Americas,Canada,Montreal,Count,,,,,,,44,51,54,47,43,38,47,,
Americas,Canada,Montreal,Rate,,,,,,,1.2,1.3,1.4,1.2,1.1,0.9,1.2,,
Americas,Canada,Toronto,Count,89,88,99,96,103,103,90,81,86,80,80,82,82,,
Americas,Canada,Toronto,Rate,1.6,1.6,1.8,1.7,1.9,1.8,1.6,1.4,1.5,1.4,1.4,1.4,1.4,,
Americas,Canada,Vancouver,Count,,,,,,,61,36,43,37,41,46,47,,
Americas,Canada,Vancouver,Rate,,,,,,,2.6,1.5,1.8,1.5,1.7,1.9,1.9,,
Americas,Chile,Bio Bio Region,Count,,,,,,,,,,,,67,31,75,
Americas,Chile,Bio Bio Region,Rate,,,,,,,,,,,,3.2,1.5,3.5,
Americas,Chile,Santiago,Count,,,253,221,278,224,250,205,239,220,279,325,248,273,
Americas,Chile,Santiago,Rate,,,3.8,3.3,4.1,3.3,3.6,2.9,3.4,3.1,3.9,4.5,3.4,3.7,
Americas,Chile,Valparaiso,Count,,,,,,,,,,,,62,21,63,
Americas,Chile,Valparaiso,Rate,,,,,,,,,,,,3.4,1.2,3.4,
Americas,Colombia,Bogota,Count,,,"1,669","1,372","1,351","1,341","1,327","1,327","1,654","1,281","1,280","1,350","1,344",,
Americas,Colombia,Bogota,Rate,,,23.8,19.3,18.8,18.4,18,17.8,22,16.9,16.7,17.4,17.2,,
Americas,Colombia,Cali,Count,,,,,,,"1,615","1,609","1,833","1,851","1,972","1,558","1,536",,
Americas,Colombia,Cali,Rate,,,,,,,72.4,71.3,80.4,80.4,84.8,66.3,64.8,,
Americas,Colombia,Medellin,Count,,,,,,,"1,432","1,408","1,563","1,249",924,659,755,,
Americas,Colombia,Medellin,Rate,,,,,,,38.9,37.8,41.5,32.9,24.1,17,19.3,,
Americas,Costa Rica,Alajuela,Count,,,,,,,,,,19,21,46,,,
Americas,Costa Rica,Alajuela,Rate,,,,,,,,,,8.4,9.2,19.9,,,
Americas,Costa Rica,Limon,Count,,,,,,,,,,31,15,31,,,
Americas,Costa Rica,Limon,Rate,,,,,,,,,,11.3,5.4,10.7,,,
Americas,Costa Rica,San Jose,Count,,,,46,66,97,84,71,62,57,43,74,,,
Americas,Costa Rica,San Jose,Rate,,,,13.6,19.4,28.3,24.3,20.3,17.4,15.8,11.8,20.1,,,
Americas,Dominican Republic,Distrito Nacional,Count,,,,,,,,,,,,181,,,
Americas,Dominican Republic,Distrito Nacional,Rate,,,,,,,,,,,,18.1,,,
Americas,Dominican Republic,Santiago,Count,,,,,,,,,,,,204,,,
Americas,Dominican Republic,Santiago,Rate,,,,,,,,,,,,20.4,,,
Americas,Dominican Republic,Santo Domingo,Count,,,367,292,,,,650,784,661,,434,,,
Americas,Dominican Republic,Santo Domingo,Rate,,,15.9,12.5,,,,26.3,31.3,26.1,,16.7,,,
Americas,Ecuador,Cuenca,Count,,,,,,,,,,,,37,,,
Americas,Ecuador,Cuenca,Rate,,,,,,,,,,,,10.5,,,
Americas,Ecuador,Guayaquil,Count,,,,,,,680,597,503,344,352,267,,,
Americas,Ecuador,Guayaquil,Rate,,,,,,,28.5,24.5,20.4,13.8,13.9,10.4,,,
