date, pm25, pm10, o3, no2, so2, co
2021/6/4, 59, 21, 24, 34, , 
2021/6/5, 45, 15, , 9, , 
2021/6/6, 39, 13, , 9, , 
2021/6/7, 34, 15, 39, 11, , 
2021/6/8, 45, 26, 23, 21, , 
2021/6/9, 67, 31, 44, 21, , 
2021/6/10, 38, 37, 26, 35, , 
2021/6/11, 36, 25, , 30, , 
2021/6/12, 36, 17, 24, 20, , 
2021/6/13, 29, 15, 36, 8, , 
2021/6/14, 29, 28, 49, 4, , 
2021/6/15, 36, 30, , 17, , 
2021/6/16, 57, 27, 55, 21, , 
2021/6/17, 79, 44, 45, 51, , 
2021/6/18, 51, 34, 35, 35, , 
2021/6/19, 53, 31, 27, 30, , 
2021/6/20, 59, 24, 34, 27, , 
2021/6/21, 46, 22, 34, 24, , 
2021/6/22, 25, 20, , 20, , 
2021/5/2, 69, 30, 38, 17, , 
2021/5/3, 63, 33, 42, 27, , 
2021/5/4, 60, 38, 31, 16, , 
2021/5/5, 33, 26, 30, 15, , 
2021/5/6, 35, 19, 28, 29, , 
2021/5/7, 43, 19, 26, 17, , 
2021/5/8, 46, 25, 25, 29, , 
2021/5/9, 53, 34, 38, 26, , 
2021/5/10, 52, 24, 33, 23, , 
2021/5/11, 44, 28, 32, 23, , 
2021/5/12, 45, 30, 30, 30, , 
2021/5/13, 54, 19, 31, 19, , 
2021/5/14, 41, 15, 31, 22, , 
2021/5/15, 32, 16, 28, 19, , 
2021/5/16, 35, 19, 31, 15, , 
2021/5/17, 40, 17, 28, 12, , 
2021/5/18, 23, 21, 29, 19, , 
2021/5/19, 37, 23, 31, 20, , 
2021/5/20, 32, 25, 29, 25, , 
2021/5/21, 37, 32, 31, 18, , 
2021/5/22, 41, 19, 31, 14, , 
2021/5/23, 34, 29, 33, 17, , 
2021/5/24, 36, 17, 33, 16, , 
2021/5/25, 35, 17, 29, 11, , 
2021/5/26, 36, 16, 28, 16, , 
2021/5/27, 15, 14, 37, 11, , 
2021/5/28, 49, 19, 39, 17, , 
2021/5/29, 61, 40, 39, 21, , 
2021/5/30, 43, 41, 42, 20, , 
2021/5/31, 45, 41, 46, 32, , 
2021/6/1, 40, 34, , 40, , 
2021/4/2, 111, 50, 28, 18, , 
2021/4/3, 70, 51, 33, 19, , 
2021/4/4, 61, 57, 33, 14, , 
2021/4/5, 70, 28, 29, 13, , 
2021/4/6, 59, 21, 28, 19, , 
2021/4/7, 39, 19, 33, 15, , 
2021/4/8, 37, 34, 32, 31, , 
2021/4/9, 53, 45, 30, 35, , 
