"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Total men and women";"Total all ages";"1950";"     559";"     145";"     275";"     118";"      21";"     222";"      34";"";"      94";"      18";"     169";"      22";"     197";"      50";"      12";"      75";"     225";"     5.5";"     2.7";"     6.4";"    27.0";"    27.9"
"Total men and women";"Total all ages";"1951";"     618";"     159";"     328";"     121";"      10";"     238";"      30";"";"     128";"      14";"     187";"      21";"       0";"       0";"       0";"       0";"     618";"     6.0";"     3.0";"     7.5";"    27.4";"    13.0"
"Total men and women";"Total all ages";"1952";"     655";"     167";"     339";"     127";"      22";"     267";"      30";"";"     108";"      18";"     206";"      26";"       0";"       0";"       0";"       0";"     655";"     6.3";"     3.1";"     7.6";"    28.4";"    28.1"
"Total men and women";"Total all ages";"1953";"     684";"     172";"     354";"     138";"      20";"     258";"      26";"";"     145";"      14";"     206";"      35";"       0";"       0";"       0";"       0";"     684";"     6.5";"     3.2";"     7.8";"    30.5";"    25.2"
"Total men and women";"Total all ages";"1954";"     663";"     165";"     359";"     122";"      17";"     271";"      31";"";"     105";"      12";"     220";"      24";"       0";"       0";"       0";"       0";"     663";"     6.2";"     3.0";"     7.8";"    26.7";"    21.2"
"Total men and women";"Total all ages";"1955";"     650";"     153";"     350";"     131";"      16";"     239";"      35";"";"     137";"      20";"     197";"      22";"     279";"      63";"       9";"      61";"     238";"     6.0";"     2.8";"     7.4";"    28.3";"    19.6"
"Total men and women";"Total all ages";"1956";"     651";"     153";"     349";"     126";"      23";"     262";"      21";"";"     136";"      16";"     194";"      22";"       0";"       0";"       0";"       0";"     651";"     6.0";"     2.8";"     7.3";"    26.9";"    27.7"
"Total men and women";"Total all ages";"1957";"     705";"     155";"     368";"     162";"      20";"     263";"      31";"";"     154";"      19";"     204";"      34";"     324";"      76";"      15";"      76";"     214";"     6.4";"     2.8";"     7.5";"    34.1";"    23.8"
"Total men and women";"Total all ages";"1958";"     760";"     169";"     403";"     157";"      31";"     265";"      29";"";"     170";"      22";"     234";"      40";"       0";"       0";"       0";"       0";"     760";"     6.8";"     3.0";"     8.1";"    32.5";"    36.2"
"Total men and women";"Total all ages";"1959";"     794";"     200";"     404";"     165";"      25";"     276";"      35";"";"     165";"      23";"     260";"      35";"       0";"       0";"       0";"       0";"     794";"     7.0";"     3.5";"     8.0";"    33.6";"    28.6"
"Total men and women";"Total all ages";"1960";"     762";"     175";"     401";"     156";"      30";"     257";"      41";"";"     164";"      18";"     245";"      37";"       0";"       0";"       0";"       0";"     762";"     6.6";"     3.0";"     7.8";"    31.1";"    35.4"
"Total men and women";"Total all ages";"1961";"     773";"     174";"     424";"     150";"      25";"     279";"      53";"";"     171";"      29";"     220";"      21";"       0";"       0";"       0";"       0";"     773";"     6.6";"     3.0";"     8.1";"    29.3";"    30.3"
"Total men and women";"Total all ages";"1962";"     778";"     192";"     396";"     163";"      27";"     267";"      71";"";"     153";"      17";"     235";"      35";"     306";"      94";"      27";"      84";"     267";"     6.6";"     3.3";"     7.5";"    31.2";"    31.9"
"Total men and women";"Total all ages";"1963";"     741";"     201";"     375";"     137";"      28";"     289";"      81";"";"     131";"      24";"     180";"      36";"       0";"       0";"       0";"       0";"     741";"     6.2";"     3.4";"     6.9";"    25.7";"    32.4"
"Total men and women";"Total all ages";"1964";"     791";"     216";"     399";"     151";"      25";"     277";"      85";"";"     151";"      26";"     211";"      41";"       0";"       0";"       0";"       0";"     791";"     6.5";"     3.6";"     7.3";"    27.8";"    28.3"
"Total men and women";"Total all ages";"1965";"     850";"     225";"     416";"     182";"      27";"     308";"     107";"";"     169";"      30";"     192";"      44";"     383";"      87";"      25";"      66";"     289";"     6.9";"     3.7";"     7.4";"    32.7";"    29.7"
"Total men and women";"Total all ages";"1966";"     881";"     230";"     476";"     154";"      21";"     323";"     106";"";"     184";"      28";"     171";"      69";"       0";"       0";"       0";"       0";"     881";"     7.1";"     3.8";"     8.3";"    27.1";"    22.2"
"Total men and women";"Total all ages";"1967";"     784";"     215";"     393";"     143";"      33";"     291";"     127";"";"     163";"      44";"     110";"      49";"     344";"      79";"      20";"      64";"     277";"     6.2";"     3.5";"     6.7";"    24.6";"    33.3"
"Total men and women";"Total all ages";"1968";"     803";"     233";"     386";"     151";"      33";"     311";"     145";"";"     159";"      33";"     112";"      43";"       0";"       0";"       0";"       0";"     803";"     6.3";"     3.8";"     6.5";"    25.4";"    31.5"
"Total men and women";"Total all ages";"1969";"     943";"     249";"     506";"     149";"      39";"     364";"     244";"";"     165";"      50";"     120";"       0";"     417";"     104";"      22";"      93";"     307";"     7.3";"     4.1";"     8.3";"    24.5";"    35.0"
"Total men and women";"Total all ages";"1970";"    1049";"     272";"     541";"     195";"      41";"     388";"     266";"";"     218";"      50";"     127";"       0";"     495";"     113";"      32";"      95";"     314";"     8.0";"     4.5";"     8.7";"    31.3";"    34.7"
"Total men and women";"Total all ages";"1971";"    1090";"     293";"     551";"     192";"      54";"     357";"     310";"";"     215";"      51";"     157";"       0";"     536";"     120";"      31";"      86";"     317";"     8.3";"     4.8";"     8.7";"    30.1";"    42.9"
"Total men and women";"Total all ages";"1972";"    1094";"     286";"     556";"     185";"      67";"     352";"     314";"";"     207";"      59";"     162";"       0";"     553";"     103";"      33";"      91";"     314";"     8.2";"     4.7";"     8.7";"    28.3";"    48.6"
"Total men and women";"Total all ages";"1973";"    1164";"     336";"     597";"     151";"      80";"     389";"     309";"";"     193";"      86";"     186";"       1";"     655";"      51";"      27";"      72";"     359";"     8.7";"     5.5";"     9.2";"    22.6";"    51.7"
"Total men and women";"Total all ages";"1974";"    1247";"     321";"     654";"     179";"      93";"     417";"     325";"";"     223";"      98";"     183";"       1";"     628";"      94";"      48";"      86";"     391";"     9.2";"     5.3";"     9.9";"    26.3";"    53.2"
"Total men and women";"Total all ages";"1975";"    1219";"     359";"     576";"     187";"      97";"     409";"     295";"";"     214";"      95";"     206";"       0";"     572";"     104";"      51";"      80";"     412";"     8.9";"     5.9";"     8.6";"    27.0";"    48.7"
"Total men and women";"Total all ages";"1976";"    1300";"     363";"     622";"     195";"     120";"     472";"     296";"";"     225";"     107";"     197";"       3";"     581";"     100";"      36";"      62";"     521";"     9.4";"     5.9";"     9.2";"    27.8";"    53.1"
"Total men and women";"Total all ages";"1977";"    1274";"     378";"     588";"     180";"     128";"     483";"     274";"";"     223";"      93";"     200";"       1";"     591";"      98";"      27";"      64";"     494";"     9.2";"     6.2";"     8.7";"    25.1";"    51.1"
"Total men and women";"Total all ages";"1978";"    1346";"     394";"     617";"     203";"     132";"     450";"     274";"";"     220";"     127";"     275";"       0";"     585";"     113";"      45";"      83";"     520";"     9.7";"     6.4";"     9.1";"    27.8";"    48.0"
"Total men and women";"Total all ages";"1979";"    1465";"     394";"     688";"     229";"     154";"     552";"     241";"     120";"     239";"     132";"     180";"       1";"     623";"     123";"      54";"      98";"     567";"    10.4";"     6.4";"    10.1";"    30.8";"    51.3"
"Total men and women";"Total all ages";"1980";"    1430";"     438";"     636";"     212";"     144";"     522";"     255";"     152";"     232";"     115";"     153";"       1";"     693";"     101";"      42";"      87";"     507";"    10.1";"     7.1";"     9.3";"    28.0";"    43.9"
