id,value,name,total
BG3,1660.37,Severna i yugoiztochna Bulgaria,1660.37
BG4,1529.8,Yugozapadna i yuzhna tsentralna Bulgaria,1529.8
RO2,1504.2,Macroregiunea doi,1504.2
HU3,1500.58,Alföld és Észak,1500.58
RO4,1483.73,Macroregiunea patru,1483.73
LV0,1476.67,Latvija,1476.67
RO1,1458.87,Macroregiunea unu,1458.87
PT2,1455.9,Região Autónoma dos Açores (PT),1455.9
RO3,1454.87,Macroregiunea trei,1454.87
LT0,1452.21,Lietuva,1452.21
HU2,1439.57,Dunántúl,1439.57
HR0,1334.01,Hrvatska,1334.01
PT3,1318.44,Região Autónoma da Madeira (PT),1318.44
SK0,1315.24,Slovensko,1315.24
HU1,1302.67,Közép-Magyarország,1302.67
PL7,1293.12,Makroregion Centralny,1293.12
TR4,1281.42,Dogu Marmara,1281.42
TR2,1275.75,Bati Marmara,1275.75
PL4,1238.03,Makroregion Pólnocno-Zachodni,1238.03
TR7,1231.46,Orta Anadolu,1231.46
PL6,1227.32,Makroregion Pólnocny,1227.32
TR3,1225.66,Ege,1225.66
PL5,1213.63,Makroregion Poludniowo-Zachodni,1213.63
PL2,1211.23,Makroregion Poludniowy,1211.23
EE0,1206.88,Eesti,1206.88
CZ0,1203.85,Cesko,1203.85
TR8,1201.09,Bati Karadeniz,1201.09
TR1,1188.98,Istanbul,1188.98
TRA,1175.89,Kuzeydogu Anadolu,1175.89
TR6,1174.63,Akdeniz,1174.63
PL8,1173.45,Makroregion Wschodni,1173.45
PL9,1171.99,Makroregion Województwo Mazowieckie,1171.99
TR5,1140.07,Bati Anadolu,1140.07
UKM,1137.73,Scotland,1137.73
TRC,1117.85,Güneydogu Anadolu,1117.85
DEE,1109.54,Sachsen-Anhalt,1109.54
UKC,1103.28,North East (UK),1103.28
TRB,1099.96,Ortadogu Anadolu,1099.96
BE3,1088.11,Région wallonne,1088.11
DEC,1083.87,Saarland,1083.87
DE8,1076.85,Mecklenburg-Vorpommern,1076.85
UKD,1075.14,North West (UK),1075.14
DEG,1068.75,Thüringen,1068.75
DE9,1050.71,Niedersachsen,1050.71
DEA,1047.43,Nordrhein-Westfalen,1047.43
UKL,1047.15,Wales,1047.15
DEF,1046.4,Schleswig-Holstein,1046.4
DE5,1044.67,Bremen,1044.67
DE4,1043.56,Brandenburg,1043.56
UKE,1039.11,Yorkshire and The Humber,1039.11
TR9,1022.85,Dogu Karadeniz,1022.85
DEB,1014.35,Rheinland-Pfalz,1014.35
NL1,1014.19,Noord-Nederland,1014.19
UKN,1013.77,Northern Ireland (UK),1013.77
DK0,1013.63,Danmark,1013.63
SI0,1005.53,Slovenija,1005.53
DED,1001.66,Sachsen,1001.66
EU27_2020,999.05,European Union - 27 countries (from 2020),999.05
EU28,997.62,European Union - 28 countries (2013-2020),997.62
UKG,997.33,West Midlands (UK),997.33
DE3,996.47,Berlin,996.47
FRE,990.81,Hauts-de-France,990.81
PT1,990.53,Continente,990.53
NL4,988.31,Zuid-Nederland,988.31
UKF,988.1,East Midlands (UK),988.1
FI2,985.08,Åland,985.08
DE6,982.39,Hamburg,982.39
NL2,978.79,Oost-Nederland,978.79
DE7,978.57,Hessen,978.57
SE3,978.41,Norra Sverige,978.41
IE0,977.48,Éire/Ireland,977.48
AT1,976.67,Ostösterreich,976.67
FI1,974.4,Manner-Suomi,974.4
DE2,972.21,Bayern,972.21
EL3,967.19,Attiki,967.19
CY0,966.21,Kypros,966.21
EL5,966.12,Voreia Ellada,966.12
NL3,959.82,West-Nederland,959.82
BE1,944.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,944.6
IS0,944.58,Ísland,944.58
EL6,943.78,Kentriki Ellada,943.78
DE1,942.59,Baden-Württemberg,942.59
ES6,934.78,Sur (ES),934.78
AT2,932.64,Südösterreich,932.64
EL4,925.16,"Nisia Aigaiou, Kriti",925.16
UKK,923.75,South West (UK),923.75
UKH,918.96,East of England,918.96
LU0,904.72,Luxembourg,904.72
SE2,899.76,Södra Sverige,899.76
FRF,898.09,Grand Est,898.09
ITF,894.91,Sud,894.91
NO0,894.88,Norge,894.88
UKJ,892.92,South East (UK),892.92
LI0,891.57,Liechtenstein,891.57
FRH,890.47,Bretagne,890.47
ITG,890.34,Isole,890.34
BE2,889.05,Vlaams Gewest,889.05
AT3,886.83,Westösterreich,886.83
SE1,886.45,Östra Sverige,886.45
FRD,883.01,Normandie,883.01
MT0,881.82,Malta,881.82
ES7,871,Canarias,871
UKI,859.7,London,859.7
FRY,858.9,RUP FR - Régions ultrapériphériques françaises,858.9
FRC,856.18,Bourgogne - Franche-Comté,856.18
ES1,847.33,Noroeste (ES),847.33
FRB,837.28,Centre - Val de Loire,837.28
ES5,825.66,Este (ES),825.66
ITI,825.05,Centro (IT),825.05
ITC,820.47,Nord-Ovest,820.47
FRI,814.19,Nouvelle-Aquitaine,814.19
ITH,808.22,Nord-Est,808.22
FRJ,807.1,Occitanie,807.1
ES4,806.29,Centro (ES),806.29
CH0,806.09,Schweiz/Suisse/Svizzera,806.09
FRG,803.88,Pays-de-la-Loire,803.88
FRL,802.7,Provence-Alpes-Côte d'Azur,802.7
ES2,794.09,Noreste (ES),794.09
FRK,791.09,Auvergne - Rhône-Alpes,791.09
FRM,781.38,Corse,781.38
FR1,745.12,Île de France,745.12
ES3,710.51,Comunidad de Madrid,710.51
