id,brewery_id,name,cat_id,style_id,abv,ibu,srm,upc
111,304,Leute Bok Bier,7,90,7.5,0,0,0
112,905,La Folie Falling Rock,-1,-1,6,0,0,0
113,1315,Oak Aged IPA,-1,-1,6,0,0,0
114,304,Tikka Gold,3,26,5,0,0,0
115,179,La Divine Double Blond,-1,-1,7.5,0,0,0
116,179,La Divine Tripel Amber,-1,-1,9,0,0,0
117,292,Ename Tripel,-1,-1,8.5,0,0,0
118,827,Triple Dipsea Belgian,-1,-1,9.2,0,0,0
119,1019,Oktoberfest Weizen,-1,-1,5.7,0,0,0
120,1029,Imperial Hefeweizen,-1,-1,7.5,0,0,0
121,481,Triple Exultation Old Ale,1,13,9.7,0,0,0
122,130,Organic Gingerbread Ale,-1,-1,6.8,0,0,0
123,1064,Falcon Pale Ale,3,26,0,0,0,0
124,441,Buzzsaw Brown,3,38,4.8,0,0,0
125,369,Eisenbahn South American Pale Ale (S.A.P.A.),3,26,0,0,0,0
126,584,Geist Bock,7,90,6.1,0,0,0
127,623,Troll Porter,2,25,0,0,0,0
128,397,Dark Ale,1,10,4.5,0,0,0
129,441,Cinder Cone Red,3,33,5.4,0,0,0,7/22/2010 20:00,,,,,,,,,,,,,,,,,,,,,,,,
130,562,LTD 02 Lager,7,90,6.4,0,0,0
131,189,Saison Vielle Provision,-1,-1,6.5,0,0,0
132,130,Organic Barley Wine Ale 2005,-1,-1,9.5,0,0,0
133,562,Old Boardhead 2006,-1,-1,9,0,0,0
134,622,Blue Dot Double India Pale Ale,3,32,7,0,0,0
135,562,Nugget,3,33,0,0,0,0
136,1175,American Pale Ale,3,26,0,0,0,0
137,236,471 Extra ESB,-1,-1,7.8,0,0,0
138,935,Odell Red Ale,3,33,6.5,0,0,0
139,335,Long Leg English Fuggles Hop Ale,-1,-1,0,0,0,0
140,671,Summer Lightning,-1,-1,5,0,0,0
141,255,Haymaker Extra Pale Ale,-1,-1,0,0,0,0
142,447,Pale Ale,3,26,0,0,0,0
143,447,Silk Lady,3,26,4.4,0,0,0
144,447,Danger Ale,3,38,5.2,0,0,0
145,447,Irish Style Ale,-1,-1,5.2,0,0,0
146,1392,Yeti Special Export,8,95,7,0,0,0
147,1151,Steelie Brown Ale,3,38,0,0,0,0
148,441,Bond Street 19th Anniversary,-1,-1,8.7,0,0,0
149,1151,Trumpeter,3,42,0,0,0,0
150,1264,Nitro Porter,2,25,0,0,0,0
151,62,Fourteen,-1,-1,9.46,0,0,0
152,919,Old Stock Ale 2007,1,13,11.7,0,0,0
153,160,Cold Hop,1,2,6.5,0,0,0
154,742,Hitachino Nest Espresso Stout,-1,-1,7.5,0,0,0
155,433,Witte,-1,-1,5,0,0,0
156,432,Slaapmutske Triple Nightcap,-1,-1,8.1,0,0,0
157,723,Biere de Mars,1,13,7,0,0,0
158,300,Kerst Pater Special Christmas Beer,-1,-1,9,0,0,0
159,432,Zoetzuur Flemish Ale,-1,-1,7,0,0,0
160,869,WPA (Wheat Pale Ale),-1,-1,0,0,0,0
161,869,Smoked Hefe,8,95,0,0,0,0
162,1084,The Unforgiven Amber Ale,3,33,5.8,0,0,0
163,192,Strange Ghost,-1,-1,8,0,0,0
164,595,Duke IPA,3,31,5.1,0,0,0
165,595,Broad Axe Stout,3,42,5,0,0,0
166,595,Northern Light Lager,8,95,4.4,0,0,0
167,31,Podge Belgian Imperial Stout,3,42,10.5,0,0,0
168,307,Okocim Porter,2,25,8.3,0,0,0
169,458,1809,-1,-1,5,0,0,0
170,433,Pannepot,-1,-1,10,0,0,0
171,604,Samurai,-1,-1,5.1,0,0,0
172,122,Crystal Ale,-1,-1,0,0,0,0
