"Entity","Code","Year","continent","Fish","Prod"
"Turkey","TUR",1965,"Asia","Cephalopods",600
"Turkey","TUR",1965,"Asia","Demersal",11000
"Turkey","TUR",1965,"Asia","Freshwater",6780
"Turkey","TUR",1965,"Asia","Molluscs",300
"Turkey","TUR",1965,"Asia","Other Marine",1900
"Turkey","TUR",1966,"Asia","Pelagic",91536
"Turkey","TUR",1966,"Asia","Crustaceans",300
"Turkey","TUR",1966,"Asia","Cephalopods",600
"Turkey","TUR",1966,"Asia","Demersal",13900
"Turkey","TUR",1966,"Asia","Freshwater",8920
"Turkey","TUR",1966,"Asia","Molluscs",400
"Turkey","TUR",1966,"Asia","Other Marine",1400
"Turkey","TUR",1967,"Asia","Pelagic",133313
"Turkey","TUR",1967,"Asia","Crustaceans",5400
"Turkey","TUR",1967,"Asia","Cephalopods",900
"Turkey","TUR",1967,"Asia","Demersal",39000
"Turkey","TUR",1967,"Asia","Freshwater",7050
"Turkey","TUR",1967,"Asia","Molluscs",1100
"Turkey","TUR",1967,"Asia","Other Marine",1400
"Turkey","TUR",1968,"Asia","Pelagic",84468
"Turkey","TUR",1968,"Asia","Crustaceans",1200
"Turkey","TUR",1968,"Asia","Cephalopods",1300
"Turkey","TUR",1968,"Asia","Demersal",35000
