"Entity","Code","Year","continent","Fish","Prod"
"Turkey","TUR",1962,"Asia","Pelagic",35700
"Turkey","TUR",1962,"Asia","Crustaceans",600
"Turkey","TUR",1962,"Asia","Cephalopods",100
"Turkey","TUR",1962,"Asia","Demersal",13700
"Turkey","TUR",1962,"Asia","Freshwater",8200
"Turkey","TUR",1962,"Asia","Molluscs",0
"Turkey","TUR",1962,"Asia","Other Marine",1800
"Turkey","TUR",1963,"Asia","Pelagic",108900
"Turkey","TUR",1963,"Asia","Crustaceans",400
"Turkey","TUR",1963,"Asia","Cephalopods",200
"Turkey","TUR",1963,"Asia","Demersal",11000
"Turkey","TUR",1963,"Asia","Freshwater",7420
"Turkey","TUR",1963,"Asia","Molluscs",0
"Turkey","TUR",1963,"Asia","Other Marine",2400
"Turkey","TUR",1964,"Asia","Pelagic",99700
"Turkey","TUR",1964,"Asia","Crustaceans",2500
"Turkey","TUR",1964,"Asia","Cephalopods",600
"Turkey","TUR",1964,"Asia","Demersal",9100
"Turkey","TUR",1964,"Asia","Freshwater",7250
"Turkey","TUR",1964,"Asia","Molluscs",200
"Turkey","TUR",1964,"Asia","Other Marine",1700
"Turkey","TUR",1965,"Asia","Pelagic",113300
"Turkey","TUR",1965,"Asia","Crustaceans",600
