Region_orig,Region,Country,Population,COUNT,DEATH,LATITUDE,LONGITUDE,LEVEL,NUTS_ID
—,Albania,Albania,"2,862",158,4,41,20,level0,AL
—,Andorra,Andorra,86,165,0,42.5,1.516667,level0,
Burgenland,Burgenland,Austria,293,208,3,47.5,16.416667,level2,AT11
Carinthia,Carinthia,Austria,561,231,2,46.761,13.819,level2,AT21
Lower Austria,Lower Austria,Austria,"1,678",261,2,48.333333,15.75,level2,AT12
Salzburg,Salzburg,Austria,555,285,2,47.8,13.033333,level2,AT32
Styria,Styria,Austria,"1,243",206,3,47.25,15.166667,level2,AT22
Tyrol,Tyrol,Austria,755,156,1,47.27,11.4,level2,AT34
Upper Austria,Upper Austria,Austria,"1,482",192,1,48.3,14.283333,level2,AT31
Vienna,Vienna,Austria,"1,897",267,2,48.2,16.366667,level2,AT13
Vorarlberg,Vorarlberg,Austria,394,92,1,47.243611,9.893889,level2,AT34
Brussels,Brussels,Belgium,"1,215",125,2,50.85,4.35,level1,BE1
Flanders,Flanders,Belgium,"6,596",98,1,51,4.5,level1,BE2
Wallonia,Wallonia,Belgium,"3,644",104,1,50.5,4.75,level1,BE3
—,Bosnia,Bosnia,"3,856",118,4,44,18,missed,BIH
East of England,East of England,Britain,"6,235",48,2,52.24,0.41,level1,UKH
London,London,Britain,"8,982",40,1,51.507222,-0.1275,level1,UKI
Midlands,Midlands,Britain,"10,719",79,2,52.48,-1.9025,level1,UKF
North East & Yorkshire,North East & Yorkshire,Britain,"8,143",93,2,55,-1.8667,level1,UKC
North West,North West,Britain,"7,300",75,2,54.0167,-2.6333,level1,UKD
Northern Ireland,Northern Ireland,Britain,"1,885",64,1,54.666667,-6.666667,level1,UKN
Scotland,Scotland,Britain,"5,454",64,1,55.953,-3.189,level1,UKM
South East,South East,Britain,"9,175",37,1,51.3167,-0.5,level1,UKJ
South West,South West,Britain,"5,616",33,1,50.96,-3.22,level1,UKK
Wales,Wales,Britain,"3,136",43,1,52.3,-3.6,level1,UKL
—,Bulgaria,Bulgaria,"7,000",195,7,42.683333,23.316667,level0,BG
—,Croatia,Croatia,"4,076",71,2,45.166667,15.5,level0,HR
—,Czech Republic,Czech Republic,"10,650",771,14,49.75,15.5,level0,CZ
Hovedstaden,Hovedstaden,Denmark,"1,836",85,0,55.939833,12.3,level2,DK01
