"Region","Country","City","Month","Day","Year","AvgTemperature","DATE"
"Africa","Kenya","Nairobi",1,2,1995,73.7,"1995-01-02"
"Africa","Kenya","Nairobi",1,3,1995,71.4,"1995-01-03"
"Africa","Kenya","Nairobi",1,4,1995,68.4,"1995-01-04"
"Africa","Kenya","Nairobi",1,5,1995,65.3,"1995-01-05"
"Africa","Kenya","Nairobi",1,6,1995,70,"1995-01-06"
"Africa","Kenya","Nairobi",1,9,1995,64.1,"1995-01-09"
"Africa","Kenya","Nairobi",1,10,1995,74.3,"1995-01-10"
"Africa","Kenya","Nairobi",1,11,1995,68.3,"1995-01-11"
"Africa","Kenya","Nairobi",1,13,1995,69.5,"1995-01-13"
"Africa","Kenya","Nairobi",1,15,1995,71.1,"1995-01-15"
"Africa","Kenya","Nairobi",1,17,1995,66.7,"1995-01-17"
"Africa","Kenya","Nairobi",1,19,1995,75.3,"1995-01-19"
"Africa","Kenya","Nairobi",1,20,1995,81.5,"1995-01-20"
"Africa","Kenya","Nairobi",1,21,1995,67.1,"1995-01-21"
"Africa","Kenya","Nairobi",1,22,1995,74.5,"1995-01-22"
"Africa","Kenya","Nairobi",1,23,1995,69.2,"1995-01-23"
"Africa","Kenya","Nairobi",1,24,1995,76.3,"1995-01-24"
"Africa","Kenya","Nairobi",1,26,1995,73.5,"1995-01-26"
"Africa","Kenya","Nairobi",1,27,1995,69.8,"1995-01-27"
"Africa","Kenya","Nairobi",1,28,1995,68.4,"1995-01-28"
"Africa","Kenya","Nairobi",1,29,1995,74,"1995-01-29"
"Africa","Kenya","Nairobi",1,30,1995,73,"1995-01-30"
"Africa","Kenya","Nairobi",1,31,1995,77.7,"1995-01-31"
"Africa","Kenya","Nairobi",2,1,1995,66.5,"1995-02-01"
"Africa","Kenya","Nairobi",2,2,1995,72.4,"1995-02-02"
"Africa","Kenya","Nairobi",2,3,1995,63.5,"1995-02-03"
"Africa","Kenya","Nairobi",2,4,1995,76.2,"1995-02-04"
"Africa","Kenya","Nairobi",2,6,1995,74.8,"1995-02-06"
"Africa","Kenya","Nairobi",2,7,1995,76.3,"1995-02-07"
"Africa","Kenya","Nairobi",2,8,1995,74.5,"1995-02-08"
"Africa","Kenya","Nairobi",2,9,1995,67.2,"1995-02-09"
"Africa","Kenya","Nairobi",2,10,1995,73.2,"1995-02-10"
"Africa","Kenya","Nairobi",2,11,1995,73,"1995-02-11"
"Africa","Kenya","Nairobi",2,12,1995,72.7,"1995-02-12"
"Africa","Kenya","Nairobi",2,13,1995,70.3,"1995-02-13"
"Africa","Kenya","Nairobi",2,14,1995,73.9,"1995-02-14"
"Africa","Kenya","Nairobi",2,15,1995,72.2,"1995-02-15"
"Africa","Kenya","Nairobi",2,16,1995,70.3,"1995-02-16"
"Africa","Kenya","Nairobi",2,17,1995,67.8,"1995-02-17"
"Africa","Kenya","Nairobi",2,20,1995,74.2,"1995-02-20"
"Africa","Kenya","Nairobi",2,21,1995,73.1,"1995-02-21"
"Africa","Kenya","Nairobi",2,24,1995,66.1,"1995-02-24"
"Africa","Kenya","Nairobi",2,26,1995,81,"1995-02-26"
"Africa","Kenya","Nairobi",2,27,1995,74.1,"1995-02-27"
"Africa","Kenya","Nairobi",2,28,1995,75.6,"1995-02-28"
"Africa","Kenya","Nairobi",3,1,1995,73,"1995-03-01"
"Africa","Kenya","Nairobi",3,2,1995,68.3,"1995-03-02"
"Africa","Kenya","Nairobi",3,4,1995,68.1,"1995-03-04"
"Africa","Kenya","Nairobi",3,10,1995,72,"1995-03-10"
"Africa","Kenya","Nairobi",3,11,1995,73,"1995-03-11"
"Africa","Kenya","Nairobi",3,13,1995,75.3,"1995-03-13"
"Africa","Kenya","Nairobi",3,14,1995,71.9,"1995-03-14"
"Africa","Kenya","Nairobi",3,15,1995,71.6,"1995-03-15"
"Africa","Kenya","Nairobi",3,16,1995,69.7,"1995-03-16"
"Africa","Kenya","Nairobi",3,17,1995,68.3,"1995-03-17"
"Africa","Kenya","Nairobi",3,18,1995,68.3,"1995-03-18"
"Africa","Kenya","Nairobi",3,19,1995,72,"1995-03-19"
"Africa","Kenya","Nairobi",3,20,1995,72.4,"1995-03-20"
"Africa","Kenya","Nairobi",3,21,1995,71.5,"1995-03-21"
"Africa","Kenya","Nairobi",3,22,1995,72.1,"1995-03-22"
"Africa","Kenya","Nairobi",3,23,1995,66,"1995-03-23"
"Africa","Kenya","Nairobi",3,24,1995,65.7,"1995-03-24"
"Africa","Kenya","Nairobi",3,25,1995,67,"1995-03-25"
"Africa","Kenya","Nairobi",3,26,1995,67.3,"1995-03-26"
"Africa","Kenya","Nairobi",3,27,1995,74,"1995-03-27"
"Africa","Kenya","Nairobi",3,28,1995,72.4,"1995-03-28"
"Africa","Kenya","Nairobi",3,29,1995,69.3,"1995-03-29"
