President,Term_From,Term_To,Role,Occupant,Type,Held_From,Held_To,Gender,Race
President Jimmy Carter,1977,1981,Vice President,Walter Mondale (1977–1981),Cabinet,,,M,
President Jimmy Carter,1977,1981,Secretary of State,Cyrus Vance (1977–1980),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of State,Edmund Muskie (1980–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of the Treasury,W. Michael Blumenthal (1977–1979),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of the Treasury,G. William Miller (1979–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Defense,Harold Brown (1977–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Attorney General,Griffin Bell (1977–1979),Cabinet,,,,
President Jimmy Carter,1977,1981,Attorney General,Benjamin Civiletti (1979–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of the Interior,Cecil Andrus (1977–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Agriculture,Robert Bergland (1977–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Commerce,Juanita M. Kreps (1977–1980),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Commerce,Philip Klutznick (1980–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Labor,Ray Marshall (1977–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,"Secretary of Health, Education, and Welfare",Joseph A. Califano Jr. (1977–1979),Cabinet,,,,
President Jimmy Carter,1977,1981,"Secretary of Health, Education, and Welfare",Patricia Roberts Harris (1979–1980),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Health and Human Services,Patricia Roberts Harris (1980–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Housing and Urban Development,Patricia Roberts Harris (1977–1979),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Housing and Urban Development,Moon Landrieu (1979–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Transportation,Brock Adams (1977–1979),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Transportation,Neil Goldschmidt (1979–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Energy,James R. Schlesinger (1977–1979),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Energy,Charles Duncan Jr. (1979–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Secretary of Education,Shirley Hufstedler (1979–1981),Cabinet,,,,
President Jimmy Carter,1977,1981,Director of the Office of Management and Budget,Bert Lance (1977),Cabinet-level,,,,
President Jimmy Carter,1977,1981,Director of the Office of Management and Budget,James T. McIntyre (1977–1981),Cabinet-level,,,,
President Jimmy Carter,1977,1981,Trade Representative,Robert S. Strauss (1977–1979),Cabinet-level,,,,
President Jimmy Carter,1977,1981,Trade Representative,Reubin Askew (1979–1980),Cabinet-level,,,,
President Jimmy Carter,1977,1981,Ambassador to the United Nations,Andrew Young (1977–1979),Cabinet-level,,,,
President Jimmy Carter,1977,1981,Ambassador to the United Nations,Donald McHenry (1979–1981),Cabinet-level,,,,
President Jimmy Carter,1977,1981,National Security Advisor,Zbigniew Brzezinski (1977–1981),Cabinet-level,,,,
President Jimmy Carter,1977,1981,Chair of the Council of Economic Advisers,Charles Schultze (1977–1981),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Vice President,George H. W. Bush (1981–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of State,Alexander Haig (1981–1982),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of State,George Shultz (1982–1989),Cabinet,,,,
