Country,Exports,Imports,Net exports
Argentina,6838,7403,− 565
Australia,1394,"25,286","− 23,892"
Austria,1392,9207,− 7815
Belgium,1922,6200,− 4277
Brazil,"16,541","50,570","− 34,029"
Canada,295,"25,276","− 24,982"
Chile,2363,2600,− 238
China,"130,528","182,937","− 52,409"
Colombia,3993,6216,− 2223
Czech Republic,3467,3586,− 119
Denmark,1265,4256,− 2991
Egypt,"10,489",2567,7922
France,"40,353","30,508",9844
Germany,"12,208","30,530","− 18,323"
Greece,9772,4264,5508
Hungary,2614,2133,481
India,"66,756","67,136",− 381
Indonesia,"16,498","19,819",− 3321
Ireland,2035,4414,− 2380
Israel,4815,3280,1535
Italy,"187,744","19,544","168,200"
Japan,"105,770","57,975","47,796"
Malaysia,5118,6047,− 929
Mexico,"34,632","18,730","15,902"
Morocco,2561,1872,689
New Zealand,172,4815,− 4643
Norway,1869,3940,− 2070
Peru,3231,4161,− 930
Poland,2852,5657,− 2804
Portugal,3131,4787,− 1656
Russia,"11,740","11,292",448
South Korea,"23,799","39,538","− 15,738"
Spain,"21,358","44,551","− 23,193"
Sweden,1926,"10,155",− 8229
Switzerland,1739,9464,− 7725
Taiwan,8453,"12,025",− 3573
Thailand,"24,463","11,176","13,287"
The Netherlands,2498,7398,− 4900
Turkey,"22,677",3234,"19,443"
Ukraine,1398,2042,− 644
UK,9928,"40,056","− 30,129"
USA,"136,888","191,663","− 54,776"
Venezuela,3232,304,2928
Vietnam,"11,944",9545,2398
