Country name,Regional indicator,Avg Ladder Score,Dystopia + residual,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Freedom to make life choices,Generosity,Healthy life expectancy,Ladder score,Ladder score in Dystopia,Logged GDP per capita,Lowerwhisker,Number of Records,Perceptions of corruption,Social support,Standard error of ladder score,Upperwhisker
Kosovo,Central & Eastern Europe,6.33,2.736902714,0.56,0.325286865,0.672709167,0.840481341,0.008559024,1.183962822,0.861535907,0.190933764,63.885555267,6.33,1.972316742,9.204429626,6.222856045,1,0.922328293,0.820726514,0.052216277,6.427544117
Panama,Latin America and Caribbean,6.30,2.221176147,0.58,0.097207308,0.878546536,1.097667813,0.054230526,1.376149297,0.880366504,-0.153927714,69.603012085,6.30,1.972316742,10.034234047,6.187739372,1,0.851588905,0.902094483,0.059724931,6.421860695
Slovakia,Central & Eastern Europe,6.28,2.256422043,0.42,0.116729774,0.853465259,1.194837689,0.011291441,1.424331188,0.749952674,-0.124409303,68.906341553,6.28,1.972316742,10.347749710,6.204360962,1,0.918096125,0.922493756,0.038897570,6.356839180
Uzbekistan,Commonwealth of Independent States,6.26,2.073346615,0.69,0.363311023,0.716703713,0.696652949,0.280260265,1.434020042,0.974998116,0.248427153,65.107574463,6.26,1.972316742,8.740371704,6.151313782,1,0.501497388,0.926595807,0.054227550,6.363885880
Chile,Latin America and Caribbean,6.23,2.283012867,0.42,0.155579001,0.889260828,1.096992493,0.062849350,1.323286891,0.744896293,-0.065668367,69.900619507,6.23,1.972316742,10.032054901,6.138881207,1,0.838239431,0.879713595,0.045723889,6.318118572
Bahrain,Middle East and North Africa,6.23,1.751917362,0.61,0.287453711,0.838836372,1.296692252,0.126697257,1.315323710,0.905855775,0.133729190,68.5,6.23,1.972316742,10.676380157,6.066811085,1,0.739347100,0.876342118,0.081882261,6.387789249
Lithuania,Central & Eastern Europe,6.22,2.238146067,0.42,0.053691041,0.795421183,1.193559647,0.081350274,1.432865739,0.747381449,-0.219725296,67.294075012,6.22,1.972316742,10.343626022,6.128881454,1,0.809583843,0.926107109,0.044193108,6.302118301
Trinidad and Tobago,Latin America and Caribbean,6.19,2.190695763,0.55,0.199358255,0.658828557,1.167641521,0.015078396,1.407326221,0.857907116,0.000526841,63.5,6.19,1.972316742,10.260002136,5.967580795,1,0.912230611,0.915294170,0.114448458,6.416218758
Poland,Central & Eastern Europe,6.19,2.056797981,0.56,0.063374244,0.868038476,1.169229150,0.160541251,1.310399771,0.862055779,-0.205084071,69.311134338,6.19,1.972316742,10.265124321,6.116719246,1,0.686927021,0.874257445,0.035500165,6.255880356
Colombia,Latin America and Caribbean,6.16,2.421656609,0.53,0.092374094,0.810020149,0.932203710,0.045848370,1.334450960,0.836179912,-0.161235645,67.699584961,6.16,1.972316742,9.500369072,6.052697659,1,0.864571810,0.884440243,0.056480873,6.274102688
Cyprus,Western Europe,6.16,2.032334805,0.46,0.227932334,1.026124597,1.212799430,0.051207144,1.149170756,0.779858291,0.043731496,73.702224731,6.16,1.972316742,10.405702591,6.059812069,1,0.856271744,0.805996239,0.050605938,6.258187771
Nicaragua,Latin America and Caribbean,6.14,2.496081114,0.56,0.212871477,0.803093255,0.620033145,0.174084574,1.270812750,0.863902867,0.020959141,67.507179260,6.14,1.972316742,8.493160248,6.011881828,1,0.665950119,0.857497036,0.063886963,6.262318611
Romania,Central & Eastern Europe,6.12,2.412749767,0.53,0.068181619,0.792294860,1.120401621,0.000829569,1.194438100,0.842823207,-0.197815210,67.207237244,6.12,1.972316742,10.107584000,6.030732155,1,0.934300244,0.825161517,0.047432564,6.216668129
Kuwait,Middle East and North Africa,6.10,1.840167999,0.57,0.132751092,0.776468933,1.424833655,0.112814933,1.244779825,0.872366488,-0.100184701,66.767646790,6.10,1.972316742,11.089824677,5.997636318,1,0.760849059,0.846475244,0.053297732,6.206563473
Mauritius,Sub-Saharan Africa,6.10,2.006720543,0.59,0.186894551,0.763389409,1.073663950,0.084088229,1.395666838,0.889534533,-0.018318573,66.404342651,6.10,1.972316742,9.956786156,5.989135742,1,0.805343091,0.910357833,0.057226494,6.213463783
Kazakhstan,Commonwealth of Independent States,6.06,2.021602631,0.50,0.153713793,0.698788941,1.122594237,0.110463686,1.453267694,0.811601937,-0.068488635,64.609962463,6.06,1.972316742,10.114658356,5.973169804,1,0.764490843,0.934744895,0.043229785,6.142630100
Estonia,Central & Eastern Europe,6.02,1.629928112,0.58,0.125136748,0.842615008,1.192441225,0.201766819,1.453232527,0.877709150,-0.111697771,68.604957581,6.02,1.972316742,10.340017319,5.951269150,1,0.623073816,0.934729993,0.035985194,6.092330933
Philippines,Southeast Asia,6.01,2.501741886,0.62,0.129260212,0.602189481,0.775120676,0.130385727,1.245381713,0.915463448,-0.105463006,61.926761627,6.01,1.972316742,8.993545532,5.908277512,1,0.733634114,0.846730053,0.049858402,6.103722572
Hungary,Central & Eastern Europe,6.00,2.121845722,0.39,0.070491239,0.806793869,1.164307117,0.027548173,1.423009396,0.718964577,-0.194323018,67.609970093,6.00,1.972316742,10.249243736,5.923032761,1,0.892916501,0.921934128,0.039473221,6.077767372
Thailand,Southeast Asia,6.00,1.832384109,0.61,0.376709014,0.793855846,1.007029295,0.031837862,1.347519517,0.905063033,0.268685192,67.250595093,6.00,1.972316742,9.741791725,5.915310860,1,0.886272311,0.889973223,0.042596295,6.082288742
Argentina,Latin America and Caribbean,5.97,2.072540998,0.52,0.070100471,0.849773705,1.028465629,0.060415059,1.372543693,0.831132412,-0.194913864,68.803802490,5.97,1.972316742,9.810955048,5.869954109,1,0.842009842,0.900567949,0.053441759,6.079445839
Honduras,Latin America and Caribbean,5.95,2.464295387,0.57,0.256528199,0.791989982,0.598763585,0.086807102,1.186664104,0.870603263,0.086969115,67.198768616,5.95,1.972316742,8.424534798,5.824366093,1,0.801131904,0.821870148,0.065731592,6.082033634
Latvia,Central & Eastern Europe,5.95,2.121283054,0.33,0.075407945,0.777902424,1.141395450,0.090391524,1.414398789,0.671237648,-0.186888844,66.807464600,5.95,1.972316742,10.175319672,5.881717205,1,0.795580089,0.918288589,0.034838136,6.018282413
Ecuador,Latin America and Caribbean,5.93,2.254933834,0.56,0.115006477,0.838837743,0.853383601,0.086753383,1.221027613,0.859828949,-0.127014965,68.500038147,5.93,1.972316742,9.246058464,5.821553707,1,0.801215112,0.836418986,0.052880634,6.028846264
Portugal,Western Europe,5.91,1.752558708,0.59,0.053036947,0.979315281,1.168800831,0.027733466,1.339530349,0.888747811,-0.220714301,72.402023315,5.91,1.972316742,10.263742447,5.806710243,1,0.892629504,0.886590719,0.053158198,6.015089989
Jamaica,Latin America and Caribbean,5.89,2.214436531,0.55,0.116268493,0.788434088,0.779058397,0.030147785,1.408289194,0.858068526,-0.125106767,67.099998474,5.89,1.972316742,9.006250381,5.653442860,1,0.888890028,0.915701866,0.120590433,6.126157284
South Korea,East Asia,5.87,1.946757078,0.26,0.170303866,1.022542596,1.245300651,0.094596282,1.133560538,0.612965107,-0.043404032,73.602729797,5.87,1.972316742,10.510566711,5.785993099,1,0.789067447,0.799387157,0.044085015,5.958806515
Japan,East Asia,5.87,1.486200333,0.50,0.035711780,1.072881341,1.266724110,0.181439638,1.332338691,0.809961379,-0.246910349,75.000968933,5.87,1.972316742,10.579689026,5.789672375,1,0.654558063,0.883545935,0.041391667,5.951927662
Peru,Latin America and Caribbean,5.80,2.213499546,0.51,0.091611817,0.824444175,0.918549180,0.027032660,1.208405972,0.824766099,-0.162388220,68.100234985,5.80,1.972316742,9.456313133,5.676630020,1,0.893714964,0.831075251,0.061311204,5.916970253
Serbia,Central & Eastern Europe,5.78,2.029040098,0.40,0.150282890,0.828403294,0.988181829,0.059447147,1.327448964,0.726495862,-0.073676221,68.210205078,5.78,1.972316742,9.680980682,5.678803921,1,0.843509018,0.881475747,0.050712325,5.877596378
Bolivia,Latin America and Caribbean,5.75,2.425928593,0.57,0.138375074,0.662445664,0.730976343,0.072942637,1.142350554,0.875873327,-0.091681130,63.600471497,5.75,1.972316742,8.851115227,5.648234844,1,0.822606206,0.803108692,0.050645422,5.846765041
Pakistan,South Asia,5.69,2.976876736,0.41,0.228705063,0.469933242,0.616799474,0.122592121,0.872979581,0.734833717,0.044899870,58.253135681,5.69,1.972316742,8.482727051,5.598795891,1,0.745705426,0.689062297,0.048216224,5.787803650
Paraguay,Latin America and Caribbean,5.69,1.834125280,0.59,0.204299241,0.735869646,0.897990823,0.065077379,1.368197560,0.885923445,0.007997713,65.639938354,5.69,1.972316742,9.389982224,5.590262413,1,0.834788501,0.898727894,0.051957864,5.793937683
Dominican Republic,Latin America and Caribbean,5.69,1.844246864,0.56,0.112196781,0.741901696,0.983191848,0.115945682,1.328888893,0.866202772,-0.131263286,65.807487488,5.69,1.972316742,9.664880753,5.552330494,1,0.755999923,0.882085383,0.069831297,5.826069355
Bosnia and Herzegovina,Central & Eastern Europe,5.67,2.167242050,0.31,0.264005244,0.813928187,0.918395460,0.001172487,1.203986526,0.651352704,0.098274559,67.808135986,5.67,1.972316742,9.455817223,5.583183289,1,0.933769107,0.829204142,0.046385963,5.765016556
Moldova,Commonwealth of Independent States,5.61,2.370968342,0.39,0.174049184,0.713299453,0.707916796,0.014378744,1.237312198,0.721609175,-0.037741039,65.013015747,5.61,1.972316742,8.776714325,5.524640083,1,0.913314283,0.843313575,0.042275578,5.690360069
Tajikistan,Commonwealth of Independent States,5.56,2.256508350,0.52,0.182417125,0.680594802,0.474874616,0.221779913,1.218377709,0.831383407,-0.025088511,64.104591370,5.56,1.972316742,8.024810791,5.492349625,1,0.592076063,0.835297108,0.032321576,5.619050026
Montenegro,Central & Eastern Europe,5.55,1.880565882,0.30,0.149010330,0.839028895,1.010150075,0.098435111,1.265657902,0.649565637,-0.075600356,68.505348206,5.55,1.972316742,9.751860619,5.450088024,1,0.783121586,0.855314612,0.048985820,5.642112255
Russia,Commonwealth of Independent States,5.55,1.815716743,0.40,0.099041916,0.680445910,1.126999617,0.045699362,1.378644109,0.729892612,-0.151153743,64.100456238,5.55,1.972316742,10.128871918,5.468365192,1,0.864802599,0.903150737,0.039609671,5.623634815
Kyrgyzstan,Commonwealth of Independent States,5.54,2.060206652,0.61,0.301370740,0.680645883,0.513180971,0.030466691,1.341036677,0.909374893,0.154772058,64.106010437,5.54,1.972316742,8.148405075,5.455892086,1,0.888396084,0.887228489,0.043677468,5.627108097
Belarus,Commonwealth of Independent States,5.54,1.806991100,0.29,0.089933060,0.752588570,1.018854499,0.193607435,1.387139320,0.639163077,-0.164926544,66.104331970,5.54,1.972316742,9.779945374,5.467262268,1,0.635711670,0.906747460,0.037060037,5.612537384
North Cyprus,Western Europe,5.54,1.236687660,0.48,0.199160054,1.026124597,1.212799430,0.199802905,1.183089137,0.795293510,0.000227159,73.702224731,5.54,1.972316742,10.405702591,5.435467243,1,0.626115680,0.820356607,0.051037241,5.635532856
Greece,Western Europe,5.51,2.016179085,0.17,0,0.979431748,1.128070116,0.048844352,1.168973565,0.541345119,-0.300907373,72.405258179,5.51,1.972316742,10.132326126,5.423013687,1,0.859931409,0.814380348,0.046931833,5.606986046
Hong Kong S.A.R. of China,East Asia,5.51,0.673293114,0.46,0.288280904,1.136630654,1.376746058,0.332485437,1.243584275,0.779833794,0.134979904,76.771705627,5.51,1.972316742,10.934671402,5.420202732,1,0.420607209,0.845969081,0.046019029,5.600596905
Croatia,Central & Eastern Europe,5.50,1.676029205,0.38,0.113998979,0.900575578,1.109024286,0.012325006,1.311264873,0.714838803,-0.128538325,70.214904785,5.50,1.972316742,10.070875168,5.430644035,1,0.916495264,0.874623716,0.037783645,5.578756332
Libya,Middle East and North Africa,5.49,1.888563156,0.45,0.142757699,0.615626633,1.021913767,0.172258079,1.196283698,0.773157001,-0.085054487,62.299999237,5.49,1.972316742,9.789815903,5.369872570,1,0.668779135,0.825942934,0.060677204,5.607727528
Mongolia,East Asia,5.46,1.810527563,0.36,0.263885736,0.615788162,0.904872775,0.046533126,1.458930612,0.693351328,0.098093867,62.304485321,5.46,1.972316742,9.412186623,5.377186298,1,0.863511205,0.937142491,0.040313236,5.535213947
Malaysia,Southeast Asia,5.38,1.319420815,0.60,0.274886161,0.788511872,1.168421626,0.062163133,1.174002290,0.894626856,0.114726797,67.102157593,5.38,1.972316742,10.262518883,5.288647175,1,0.839302301,0.816509426,0.048802696,5.479953289
Vietnam,Southeast Asia,5.35,1.685977936,0.65,0.136488721,0.819133997,0.718092382,0.089848459,1.253074765,0.939592957,-0.094533332,67.952735901,5.35,1.972316742,8.809545517,5.287250519,1,0.796421230,0.849987149,0.033800762,5.419749260
Indonesia,Southeast Asia,5.29,1.479573488,0.57,0.542646527,0.610437036,0.891720712,0.038278613,1.154800892,0.870614409,0.519586504,62.155849457,5.29,1.972316742,9.369751930,5.192122936,1,0.876296401,0.808379889,0.047692381,5.379077435
Ivory Coast,Sub-Saharan Africa,5.23,3.081022501,0.40,0.169915587,0.154942513,0.537094414,0.093495794,0.799727261,0.727909327,-0.043991156,49.503772736,5.23,1.972316742,8.225561142,5.090033054,1,0.790771961,0.658048689,0.073095515,5.376567364
Benin,Sub-Saharan Africa,5.22,3.440809727,0.41,0.196670428,0.328062952,0.366244704,0.125931874,0.352428436,0.735182583,-0.003537213,54.312465668,5.22,1.972316742,7.674319744,5.063591957,1,0.740532577,0.468671143,0.077759244,5.368408203
Maldives,South Asia,5.20,1.098674774,0.55,0.224198252,0.914439559,0.937864304,0.071906492,1.402287602,0.853962779,0.038085498,70.599998474,5.20,1.972316742,9.518632889,5.056508541,1,0.824211061,0.913160920,0.071985401,5.338691235
Congo (Brazzaville),Sub-Saharan Africa,5.19,2.722619534,0.39,0.117216013,0.458101124,0.633616745,0.118670784,0.757636011,0.719058514,-0.123674095,57.924480438,5.19,1.972316742,8.536987305,5.043423176,1,0.751779079,0.640228093,0.077028967,5.345376492
Azerbaijan,Commonwealth of Independent States,5.16,1.507632971,0.47,0.040113214,0.731134057,0.990272701,0.247307181,1.180613041,0.786824107,-0.240255281,65.508399963,5.16,1.972316742,9.687726974,5.097773552,1,0.552537560,0.819308281,0.034197241,5.231826782
Macedonia,Central & Eastern Europe,5.16,1.617594957,0.41,0.185863540,0.802994132,0.935371995,0.024595059,1.183173537,0.738840938,-0.019877451,67.504425049,5.16,1.972316742,9.510591507,5.068147659,1,0.897490501,0.820392311,0.046761535,5.251452446
Ghana,Sub-Saharan Africa,5.15,2.378437281,0.48,0.261291206,0.432162255,0.575862467,0.056570381,0.966367960,0.794796526,0.094170853,57.203987122,5.15,1.972316742,8.350645065,5.033075809,1,0.847964764,0.728601098,0.058634609,5.262923717
Nepal,South Asia,5.14,2.014386892,0.48,0.300971806,0.668879390,0.444050372,0.127502963,1.100789309,0.797565043,0.154168829,63.779178619,5.14,1.972316742,7.925357342,5.024123192,1,0.738099158,0.785512447,0.057692084,5.250276566
Turkey,Middle East and North Africa,5.13,1.564816713,0.25,0.085885569,0.781335294,1.127169251,0.120983243,1.197159171,0.608830452,-0.171046436,66.902816772,5.13,1.972316742,10.129419327,5.053716660,1,0.748197377,0.826313555,0.039838459,5.209883690
China,East Asia,5.12,1.336181879,0.60,0.079021044,0.867248535,0.990533412,0.117255554,1.132080674,0.898517907,-0.181425750,69.289192200,5.12,1.972316742,9.688568115,5.073132515,1,0.753971100,0.798760593,0.025901664,5.174667358
Turkmenistan,Commonwealth of Independent States,5.12,1.115337372,0.52,0.323129326,0.612448037,1.008963585,0.033503890,1.510476947,0.826457024,0.187671542,62.211708069,5.12,1.972316742,9.748032570,5.061515808,1,0.883691847,0.958966196,0.029379817,5.176684380
Bulgaria,Central & Eastern Europe,5.10,1.294961452,0.42,0.103833713,0.777776897,1.046554685,0,1.460578918,0.745178163,-0.143908441,66.803977966,5.10,1.972316742,9.869318962,5.014826775,1,0.935585141,0.937840343,0.044221170,5.188173294
Morocco,Middle East and North Africa,5.09,2.378402472,0.45,0.040032551,0.745096922,0.758622110,0.077385604,0.645208478,0.772072434,-0.240377247,65.896240234,5.09,1.972316742,8.940313339,4.985724926,1,0.815724611,0.592628479,0.055650450,5.203875065
Cameroon,Sub-Saharan Africa,5.08,2.719370842,0.44,0.198020101,0.270189553,0.503958046,0.054393422,0.899726450,0.763051808,-0.001496450,52.704940796,5.08,1.972316742,8.118647575,4.952999592,1,0.851336598,0.700386405,0.067296073,5.216800213
Venezuela,Latin America and Caribbean,5.05,1.744840860,0.27,0.087179154,0.767025530,0.770238638,0.063624777,1.348546863,0.623278320,-0.169090509,66.505340576,5.05,1.972316742,8.977793694,4.927209854,1,0.837038398,0.890408158,0.064280510,5.179189682
Algeria,Middle East and North Africa,5.01,1.840811729,0.08,0.118915014,0.745418549,0.943856001,0.129190654,1.143003583,0.466610909,-0.121105164,65.905174255,5.01,1.972316742,9.537964821,4.918397427,1,0.735485137,0.803385139,0.044236008,5.091802120
Senegal,Sub-Saharan Africa,4.98,2.405123949,0.35,0.164397135,0.518391907,0.504061818,0.081865937,0.954593420,0.690596163,-0.052335154,59.599151611,4.98,1.972316742,8.118982315,4.877372742,1,0.808785141,0.723616004,0.052769080,5.084227562
Guinea,Sub-Saharan Africa,4.95,2.740729809,0.37,0.249490842,0.333655238,0.390007734,0.112204559,0.751365960,0.706846774,0.076328471,54.467800140,4.95,1.972316742,7.750990391,4.806137085,1,0.761794448,0.637573481,0.073042229,5.092462540
Niger,Sub-Saharan Africa,4.91,3.017630577,0.44,0.208176896,0.298816353,0.108330332,0.137554765,0.703800142,0.759772122,0.013860817,53.500095367,4.91,1.972316742,6.842166901,4.758271694,1,0.722530186,0.617435038,0.077208281,5.060927868
Laos,Southeast Asia,4.89,1.621152639,0.61,0.272667110,0.486378282,0.714693844,0.194273964,0.987391889,0.907213569,0.111371480,58.709922791,4.89,1.972316742,8.798580170,4.809673309,1,0.634679317,0.737502217,0.040268615,4.967526436
Albania,Central & Eastern Europe,4.88,1.640897036,0.46,0.171027765,0.846329629,0.906653047,0.025361285,0.830483913,0.781994224,-0.042309489,68.708137512,4.88,1.972316742,9.417930603,4.772713184,1,0.896303713,0.671070457,0.056115732,4.992686749
Cambodia,Southeast Asia,4.85,1.663300037,0.67,0.233342081,0.587904334,0.544634938,0.072837502,1.071426034,0.959704638,0.051911179,61.529968262,4.85,1.972316742,8.249890327,4.734706879,1,0.822769046,0.773080647,0.058006871,4.962093353
