Metal,Expected Demand Growth Increase to 2030 in the EV Industry
Nickel,14x
Aluminum,14x
Phosphorus,13x
Iron,13x
Copper,10x
Graphite,10x
Lithium,9x
Cobalt,3x
Manganese,3x
