Country,Latitude (generated),Longitude (generated),Total operating Capacity
Zimbabwe,-19.098,30.047,950
Zambia,-15.13,25.268,330
Vietnam,21.75,105.373,20317
Uzbekistan,41.757,63.958,2522
United States,40.0792,-98.8164,233621
United Kingdom,52.289,-1.259,6328
Ukraine,49.364,32.132,22265
Turkey,39.144,34.188,18113
Thailand,15.688,100.845,5933
Tajikistan,38.367,72.597,400
Taiwan,23.6091,120.8353,18873
Syria,35.303,38.322,60
Sri Lanka,7.3,80.727,900
Spain,40.617,-3.388,4875
South Korea,36.338,128.16,36380
South Africa,-31.7,23.441,41904
Slovenia,46.037,14.534,1069
Slovakia,48.8595,19.4434,769
Serbia,44.021,20.699,4405
Senegal,15.044,-15.081,30
Russia,64.736,104.062,44845
Romania,45.933,25.119,4675
Reunion,-21.1313,55.537,0
Portugal,40.957,-7.9373,1978
Poland,52.442,19.72,30200
Philippines,17.181,121.256,10289
Peru,-12.664,-72.98,135
Panama,8.348,-81.005,426
Pakistan,28.1854,66.6429,5090
North Macedonia,41.636,21.676,800
North Korea,39.767,126.389,3700
New Zealand,-42.558,172.377,500
Netherlands,52.1704,5.0102,4152
Namibia,-21.276,17.219,120
Myanmar,21.841,96.05,160
Morocco,31.129,-7.355,4257
Montenegro,42.857,19.096,225
Mongolia,46.516,102.564,816
Moldova,47.524,28.444,1610
Mexico,22.925,-101.68,5378
Mauritius,-20.2529,57.5902,195
Malaysia,4.416,102.099,13529
Madagascar,-19.615,46.645,120
Laos,19.595,102.538,1878
Kyrgyzstan,41.741,75.043,910
Kosovo,42.546,20.921,1290
Kazakhstan,48.866,69.772,12704
Jordan,30.681,36.279,30
Japan,35.962,137.855,47872
Jamaica,18.163,-77.477,0
Italy,44.3713,11.1084,7892
Israel,30.992,34.834,4900
Ireland,53.214,-7.588,915
Indonesia,-0.739,114.045,33966
India,22.741,78.236,229247
Hungary,47.174,19.618,944
Hong Kong,22.4114,114.0599,6110
Honduras,14.881,-87.123,105
Guatemala,15.124,-90.711,1010
Guadeloupe,16.2495,-61.5527,102
Greece,39.787,21.617,2575
Germany,51.3819,9.9877,42528
France,46.656,2.543,3029
Finland,62.716,26.192,1558
Eswatini,-26.5203,31.4607,0
El Salvador,13.848,-89.229,0
Dominican Republic,19.01,-70.1685,1057
Denmark,56.113,9.096,1180
Czech Republic,49.848,15.2812,8007
Croatia,45.754,16.385,210
Colombia,3.794,-73.606,1634
China,35.1753,99.3877,1042947
Chile,-23.176,-69.201,4882
Canada,59.2067,-111.1937,8333
Cambodia,12.69,104.444,655
Bulgaria,42.625,24.521,4829
Brunei,4.452,114.557,220
Brazil,-11.694,-48.978,3149
Botswana,-22.126,23.662,732
Bosnia and Herzegovina,44.342,17.804,2073
Bangladesh,24.598,90.1963,1185
Australia,-24.578,133.582,25107
Argentina,-33.166,-64.31,350
Albania,40.654,20.076,0
