year,month,investor,quantity,share,partner,sector,subsector,country,region
2013,April,State Grid,1000,,,Energy,Hydro,Ethiopia,Sub-Saharan Africa
2013,April,China Communications Construction,480,,,Transport,Shipping,Kenya,Sub-Saharan Africa
2013,April,Huawei,750,,Globacom,Technology,Telecom,Nigeria,Sub-Saharan Africa
2013,April,ZTE,500,,Globacom,Technology,Telecom,Nigeria,Sub-Saharan Africa
2013,April,Sinomach,220,,,Real estate,Construction,South Sudan,Sub-Saharan Africa
2013,April,China Jiangsu International Group,200,,,Transport,Aviation,Zimbabwe,Sub-Saharan Africa
2013,April,Hongye International,100,,Singpoli,Finance,Investment,USA,USA
2013,April,China National Chemical Engineering,180,,,Energy,Gas,Bangladesh,West Asia
2013,April,China Nonferrous,750,50%,East Siberian Metals,Metals,,Russia,West Asia
2013,April,CIC,100,21%,Russia Forest Products,Other,Timber,Russia,West Asia
2013,May,Qixing Group,140,,Stonewall Resources,Metals,,Australia,Australia
2013,May,State Grid,810,20%,Singapore Power,Energy,,Australia,Australia
2013,May,State Grid,2350,60%,Singapore Power,Energy,,Australia,Australia
2013,May,Power Construction Corp,240,,Tenaga,Energy,Gas,Malaysia,East Asia
2013,May,CDH,110,10%,Mobile World,Technology,Telecom,Vietnam,East Asia
2013,May,Shenzhou International,120,,,Other,Textiles,Vietnam,East Asia
2013,May,Fosun,360,46%,Club Med,Other,,France,Europe
2013,May,China Energy Engineering,560,33%,Rafako,Energy,Coal,Poland,Europe
2013,May,China Communications Construction,120,,,Transport,Shipping,Gabon,Sub-Saharan Africa
2013,May,Power Construction Corp. and Sinomach,1290,,,Energy,Hydro,Nigeria,Sub-Saharan Africa
2013,May,Shuanghui,7100,100%,Smithfield Foods,Agriculture,,USA,USA
2013,May,State Construction Engineering,130,,,Transport,Autos,USA,USA
2013,May,Sinomach,130,,,Technology,Telecom,Bangladesh,West Asia
2013,May,Sinomach,150,,,Transport,Aviation,Nepal,West Asia
2013,May,China Construction Bank,100,2%,VTB Bank,Finance,Banking,Russia,West Asia
2013,May,Sinomach,230,,,Agriculture,,Sri Lanka,West Asia
2013,May,Harbin Electric,2400,,Hattat Holding,Energy,Coal,Turkey,West Asia
2013,June,China Communications Construction,600,,,Transport,Autos,Qatar,Arab World
2013,June,Comtec Solar,380,,,Energy,Alternative,Malaysia,East Asia
2013,June,China Communications Construction,140,,,Transport,Autos,Papua New Guinea,East Asia
2013,June,Wanda,1090,,,Real estate,Property,Britain,Europe
2013,June,Wanda,500,92%,Sunseeker,Transport,Shipping,Britain,Europe
2013,June,Shandong Gaosu,330,,,Transport,Autos,Serbia,Europe
2013,June,Shanghai Construction Group,160,,,Real estate,Construction,Trinidad-Tobago,North America
2013,June,Sinopec,1520,10%,Marathon,Energy,Oil,Angola,Sub-Saharan Africa
2013,June,State Construction Engineering,240,,Bata Univeristy,Real estate,Construction,Equatorial Guinea,Sub-Saharan Africa
2013,June,Sinomach,650,,,Agriculture,,Ethiopia,Sub-Saharan Africa
