ISO3,RANK,COUNTRY,REGION,LDI,SP_POP_TOTL_2017
ABW,120,Aruba,Americas,0.429,105264
AFG,34,Afghanistan,Asia,0.79,35530081
AGO,46,Angola,Africa,0.748,29784193
ALB,98,Albania,Europe,0.503,2873457
AND,66,Andorra,Europe,0.671,76965
ARE,56,United Arab Emirates,Asia,0.707,9400145
ARG,174,Argentina,Americas,0.165,44271041
ARM,201,Armenia,Asia,0.053,2930450
ASM,162,American Samoa,Oceania,0.21,55641
ATG,91,Antigua and Barbuda,Americas,0.515,102012
AUS,146,Australia,Oceania,0.274,24598933
AUT,154,Austria,Europe,0.234,8809212
AZE,165,Azerbaijan,Asia,0.202,9862429
BDI,222,Burundi,Africa,0.007,10864245
BEL,57,Belgium,Europe,0.7,11372068
BEN,7,Benin,Africa,0.933,11175692
BFA,51,Burkina Faso,Africa,0.721,19193382
BGD,135,Bangladesh,Asia,0.318,164669751
BGR,157,Bulgaria,Europe,0.226,7075991
BHR,67,Bahrain,Asia,0.658,1492584
BHS,96,The Bahamas,Americas,0.509,395361
BIH,60,Bosnia and Herzegovina,Europe,0.694,3507017
BLR,122,Belarus,Europe,0.411,9507875
BLZ,50,Belize,Americas,0.721,374681
BMU,195,Bermuda,Americas,0.076,65441
BOL,80,Bolivia,Americas,0.565,11051600
BRA,189,Brazil,Americas,0.099,209288278
BRB,99,Barbados,Americas,0.5,285719
BRN,79,Brunei,Asia,0.57,428697
BTN,28,Bhutan,Asia,0.827,807610
BWA,125,Botswana,Africa,0.397,2291661
CAF,5,Central African Republic,Africa,0.959,4659080
CAN,74,Canada,Americas,0.603,36708083
CHE,63,Switzerland,Europe,0.683,8466017
CHL,209,Chile,Americas,0.036,18054726
CHN,89,China,Asia,0.521,1386395000
CIV,16,Ivory Coast,Africa,0.9,24294750
CMR,2,Cameroon,Africa,0.974,24053727
COD,6,Democratic Republic of the Congo,Africa,0.948,81339988
COG,30,Republic of the Congo,Africa,0.821,5260750
COL,216,Colombia,Americas,0.019,49065615
COM,81,Comoros,Africa,0.551,813912
CRI,210,Costa Rica,Americas,0.036,4905769
CUB,226,Cuba,Americas,0.001,11484636
CUW,141,Curaçao,Americas,0.285,161014
CYM,106,Cayman Islands,Americas,0.475,61559
CYP,118,Cyprus,Asia,0.444,1179551
CZE,196,Czech Republic,Europe,0.072,10591323
DEU,132,Germany,Europe,0.336,82695000
DJI,97,Djibouti,Africa,0.504,956985
DMA,136,Dominica,Americas,0.313,73925
DNK,192,Denmark,Europe,0.089,5769603
DOM,206,Dominican Republic,Americas,0.04,10766998
DZA,128,Algeria,Africa,0.36,41318142
ECU,169,Ecuador,Americas,0.182,16624858
EGY,94,Egypt,Africa,0.512,97553151
ERI,65,Eritrea,Africa,0.672,NA
ESP,144,Spain,Europe,0.276,46572028
