X,Y,osm_id,amenity,addrfull,network,operator,addrcity,name,source
38.7928962,8.9903426,1711445680,bank,,,,,Dashen Bank (Airport Area),
38.7694673,9.0023173,1788412621,atm,,,Dashen Bank,,,
38.7695043,9.0023333,1788412622,atm,,,Wegagen Bank,,,
38.7675512,9.0045847,1788412623,atm,,,Dashen Bank,,,
38.7674482,9.0047795,1788412624,atm,,,Wegagen Bank,,,
38.7469365,9.0123343,1788412626,atm,,,Wegagen Bank,,,
38.7469158,9.012362,1788412627,atm,,,Dashen Bank,,,
38.7469596,9.0123745,1788412628,atm,,,Zemen Bank,,,
38.7719983,8.9979547,1788523673,atm,,,CBE,,,
38.7526496,9.0149565,1788523679,atm,,,Dashen Bank,,,
38.7532577,9.016983,1788523683,atm,,,Dashen Bank,,,
38.7544113,9.0176387,1788523691,atm,,,Dashen Bank,,,
34.5384649,10.0637286,1829439685,post_office,,,,,Assosa Post,
34.5427386,10.0597806,1829439697,bank,,,Ethiopian Commercial Bank,,Commercial Bank of Ethiopia - New Branch,
34.5377917,10.0636556,1829439702,bank,,,Ethiopian Commercial Bank,,Commercial Bank of Ethiopia - Old Branch,
37.5998156,10.8511848,1918405129,post_office,,,,,,
38.7001086,9.0525456,1960083930,post_office,,,ethiopian postal service,,post office,
38.7732497,9.0125566,2038198159,bank,,,,,United Bank,
38.7737234,9.010772,2038213777,bank,,,,,Awash International Bank,
38.7732497,9.0125566,2038213804,bank,,,,,United Bank S.C. - Urael Branch,
38.7590934,9.0046188,2041627191,bank,,,,,Berhane International Bank,
38.7744595,8.9811553,2041750980,bank,,,Government,,Commercial Bank Of Ethiopia (Bole Michael Branch),
38.7738546,8.9820757,2041750981,bank,,,Government,,Commercial Bank of Ethiopia (Ayer Amba Michael Branch),
38.7677939,8.9856504,2041839750,bank,,,,,Wegagen Bank,
38.7761581,9.0257771,2047651254,bank,,,Government,,Ethiopian commercial Bank,
38.7496345,8.9839489,2087200952,bank,,,,,Awash International Bank (Gofa Sefer Branch),
38.7496497,8.9840389,2087200962,bank,,,Government,,Commercial Bank of Ethiopia,
38.7358659,9.0609058,2104396904,bank,,,,,United Bank (Addisu Gebeya Branch),
39.6329261,11.1164014,2206470645,atm,,,,,Dashen Bank ATM,
38.7344535,8.9479457,2348648179,bank,,,,,Dashen Bank,
38.7533336,9.0298716,2348681658,bank,,,,,Dashen Bank,
38.7545031,9.0326954,2348685486,bank,,,Government,,Commercial Bank of Ethiopia (Arvada Giorgis Branch),
38.7500077,9.0329736,2348685567,post_office,,,,,The Old Post Office,
38.7279662,14.1242263,2465451214,bank,,,,,CBE-Commercial Bank of Ethiopia Main Barach,
38.7278577,14.1242333,2465451778,atm,,,,,,
38.7213434,14.1276366,2465454970,post_office,,,,,Aksum Post Office,
36.5650058,5.786781,2466760474,post_office,,,,,,
37.437323,5.3406958,2722038540,bank,,,,,Bank ETHIOPIA,
36.56729,5.7877749,2722038541,bank,,,,,Dashen Bank,
38.5926362,7.1929389,2722038542,bank,,,,,Dashen Bank,
37.4400334,5.3409549,2722038550,post_office,,,,,,
36.5679563,5.788385,2722038560,bureau_de_change,,,,,Western Union,
36.2452214,7.2653693,2729973210,post_office,,,,,Bonga Post Office,
36.2447977,7.2661596,2729973213,bank,,,,,Dashen Bank,
37.3930603,11.5944967,2820854492,post_office,,,,,የኢትዮጵያ ፖስታ አገልግሎት,
39.0454247,12.037557,2822076159,post_office,,,,,,
36.5680408,5.7893596,2849013434,bank,,,,,Commercial Bank Ethiopia,
38.7846493,9.0155327,2898539181,bank,,,,Addis Ababa,United Bank Misrak Branch,
38.7589707,8.9926713,3199594506,bank,,,,,United Bank,
37.4657514,12.6033874,3247277828,bank,,,,,Addis Int. Bank S.C.,
38.7680769,8.9861854,3343674140,bank,,,,,Bunna Bank Corporate Office,
37.4658468,12.6035271,3429883304,atm,,,,,,
37.4690172,12.6121019,3429883306,atm,,,,,,
37.46737,12.6064535,3429883308,bank,,,,,Bank of Abyssinia,
38.7379246,9.0129816,3442834470,bank,,,Government,,,
37.3871668,11.5879635,3445076319,bank,,,,,ዳሸን ባንክ ባህር ዳር,
37.4699165,12.6124199,3459794762,post_office,,,,,,
38.7676212,8.9291495,3550575171,bank,,,,,Wegagen Bank,
38.7900642,8.9939935,3550753554,bank,,,,Addis Ababa,Enat Bank,
42.1268701,9.3110876,3574111994,post_office,,,,,Harar Post Office,
36.5679564,5.788496,3740525154,bank,,,,,Construction & Business Bank,
37.9286778,8.1194197,3772974680,bank,,,,,Commercial Bank of Ethiopia,
37.9258937,8.1216448,3772977871,bank,,,,,NibBank,
38.7845284,8.9901018,3959878839,bank,,,,,Zemen Bank,
38.779602,8.991369,4041227889,bank,,,,,Bank of Abyssinia,
38.7377365,8.9853694,4178346290,atm,,,Commercial Bank of Ethiopia,,,
38.6287275,7.10153,4210311970,bank,,,,,Bank of Montreal,
38.9105014,8.7878915,4221711889,bank,,,Commercial Bank of Ethiopia,,የኢትዮጵያ ንግድ ባንክ(ጠዴቻ ቅርንጫፍ),
38.7518593,9.0221622,4246075691,bank,,,,,Awash bank (Tikur Anbessa Branch),
43.5507622,5.9513001,4253875890,bank,,,,,Lion international Bank,
43.5503246,5.9528474,4253875891,bank,,,,,Commercial Bank of Ethiopian-Kali Branch,
43.5543269,5.9544226,4253877690,bank,,,,,Oromia Bank,
43.5542749,5.9544235,4253889090,bank,,,,,Commercial Bank Of Ethiopia-Gode Branch,
38.7311178,8.9744918,4268076289,bank,,,,,Awash International Bank (Mekanisa Branch),
42.793438,9.3675475,4280290689,bank,,,,,Commercial Bank of Ethiopian-Fafan Branch,
38.7230185,8.9702534,4295718962,bank,,,Government,,Commercial Bank of Ethiopia (Jemo Mikael Branch),
38.7232641,8.9704129,4295757077,bank,,,,,Dashen Bank (Mekanisa Mikael Beranch),
39.2655724,8.5408627,4298830692,bank,,,,,Commercial Bank of Ethiopia Aba Geda Branch,
38.8766523,9.0209717,4303788491,bank,,,ወጋገን፡ባንክ,,Wegagen Bank Ayat Square Branch,
38.8770157,9.0217854,4303802495,bank,,,አዋሽ፡ኢንተርናሽናል፡ባንክ,,Awash International Bank Ayat Square Branch,
38.8139801,9.0009318,4305934091,bank,,,Government,,Commercial Bank of Ethiopia Gerji Branch,
38.8155561,9.0039237,4305996093,bank,,,,,United Bank Yerer ber Branch,
38.8157576,9.0039613,4306070289,bank,,,,,Oromia International Bank Yerer Branch,
38.8168128,9.0032668,4306071191,bank,,,,,Bank of Abyssinia yerer Ber Branch,
38.8166487,9.0034203,4306075189,bank,,,,,Debub Global Bank Yerer Ber Branch,
38.7924291,8.9916629,4316808192,bank,,,,,Awash International Bank,
38.7906688,8.9939295,4316819894,bank,,,Bank of Abyssinia,Addis Ababa,አቢሲንያ ባንክ - ቦሌ መድኃኔዓለም ቅርንጫፍ,
38.9034411,9.804854,4316864185,bank,,,,,Commercial Bank,
38.7870634,8.9971232,4316867992,bank,,,,,United Bank (Bole Medhanialem Branch),
38.7609763,8.9730095,4316889789,bank,,,Government,,የኢትዮጵያ ንግድ ባንክ (ሼል ዴፖ ቅርንጫፍ),
38.7621981,8.9681769,4316889791,bank,,,Government,,የኢትዮጵያ ንግድ ባንክ (ቡና ቦርድ ቅርንጫፍ),
38.8175104,9.0031166,4317962290,bank,,,,,Berhan International Bank (Yerer ber Branch),
41.8627672,9.6015768,4318453344,atm,,,,,,
38.8526797,9.0151703,4319747696,bank,,,Government,,Commercial bank of Ethiopia Summit branch,
38.8138998,9.0010318,4319761191,bank,,,Government,,Commercial bank of Ethiopia Gerji branch,
37.5199084,9.1285678,4329165489,bank,,,,,Commercial Bank of Ethiopia,
38.7659642,8.9840561,4335086790,bank,,,,,Oromiya International Bank Wello Sefer Branch,
37.5570201,6.0371431,4340718690,bank,,,,,Berhan Bank,
43.5503155,5.9528545,4348222590,atm,,,Commercial Bank of Ethiopia,,,
38.7825213,9.0144589,4369030692,bank,,,,Addis Ababa,Lion International Bank - Wuha Limat Branch,
38.7821924,9.0148578,4369116391,atm,,,Government,,,
38.7867827,9.0153633,4369176789,bank,,,Government,,commercial bank of Ethiopia,
38.7867539,9.0153764,4369176790,atm,,,Government,,,
38.752435,9.0299898,4375191600,atm,,,,,,
38.7474016,9.0103571,4379513290,bank,,,,,CBE Mexico branch,
38.7832379,9.0145798,4384898401,bank,,,Government,,,
39.2482685,7.5283871,4406855600,bank,,,,,,
39.2545562,7.5343149,4406891596,bank,,,,,,
39.2485098,7.5278904,4406891599,bank,,,,,,
39.2484133,7.5282074,4406891602,atm,,,,,,
39.2480837,7.5314581,4406898592,bank,,,,,,
39.2488279,7.527615,4406898598,bank,,,,,,
39.2479991,7.5315404,4406935989,atm,,,,,,
39.2483809,7.5282049,4406935990,bank,,,,,አዋሽ  ባንክ,
39.2483625,7.5285196,4406936290,bank,,,,,,
39.2507765,7.5328156,4409356994,post_office,,,,,,
38.7613672,9.0477677,4416504292,bank,,,Government,,የኢትዮጵያ ንግድ ባንክ ስድስት ኪሎ ቅርንጫፍ,
38.7603182,9.0442226,4416504293,bank,,,,,ህብረት ባንክ ስድስት ኪሎ ቅርንጫፍ,
38.7196313,8.9501886,4418588090,bank,,,,,ዳሽን ባንክ,
38.7341703,8.947612,4418624792,bank,,,Government,,,
38.7417199,9.027713,4418774190,bank,,,,,ሕብረት ባንክ ተክለሃይማኖት ቅርንጫፍ,
38.7415873,9.0275916,4421490889,bank,,,,,ንብ ባንክ ተክለሃይማኖት ቅርንጫፍ,
37.3948664,11.5964959,4447866392,atm,,,,,,
38.7190947,8.95,4452903089,bank,,,Government,,Commercial bank of Ethiopia,
38.7444833,9.0092258,4453018993,atm,,,Wegagen Bank,,,
38.7445439,9.0092319,4453059691,atm,,,Dashen Bank,,,
38.7453187,9.005279,4453059893,atm,,,Awash International Bank,,,
38.7469405,9.0123921,4453116190,atm,,,Awash International Bank,,,
38.7443305,9.0092247,4453116289,atm,,,Addis International Bank,,,
38.7473488,9.0103755,4453116290,atm,,,Government,,,
38.7075414,8.9910978,4476165989,post_office,,,,,The press,
38.4868688,7.0366142,4504594493,bank,,,,,,
38.4784598,7.0473864,4504605390,bank,,,,,,
38.4771217,7.0486063,4504644590,bank,,,,,ቡና ኢንተርናሽናል ባንክ,
38.4800233,7.0415068,4504644593,bank,,,,,,
38.4879485,7.0479432,4515255248,bank,,,,,Commercial Bank of Ethiopia,
37.7946644,8.1966135,4517993137,bank,,,,,,
39.2708806,8.5469516,4522507794,bank,,,,,Oromia Cooperative Bank,
39.2709599,8.5465868,4522527891,bank,,,,,Awash Bank,
39.2707866,8.5467346,4522528092,bank,,,,,United Bank,
39.2789239,8.542914,4522534990,bank,,,,,,
39.270794,8.5469842,4522535390,bank,,,,,Dashen Bank,
39.2826902,8.5421554,4522535691,bank,,,Awash Bank,,Awash bank (Boste Branch),
37.7634474,8.2780424,4530586094,bank,,,,,,
38.7579672,8.9865409,4535242705,bank,,,,,ንግድ ባንክ ጎተራ ቅርንጫፍ,
37.3876901,11.5945688,4535242706,bank,,,,,ኣቢሲኒያ ባንክ,
37.38682,11.5954637,4535242707,bank,,,,,የኢትዮጵያ ንግድ ባንክ,
38.7149395,8.9610241,4544481193,bank,,,,,ሕብረት ባንክ,
38.7491939,9.0138372,4544774826,bank,,,,Addis Ababa,Oromia International Bank S.C. Finfine Branch,
38.7845901,9.0065298,4546921895,bank,,,,,ዳሽን ባንክ,
38.7931395,8.9905158,4550849106,bank,,,,Addis Ababa,Awash International Bank,
38.7509413,9.0188364,4552406744,bank,,,,Addis Ababa,Dashen International Bank Head Quarter,
39.472244,13.4951216,4558110191,atm,,,CBE,,,
39.4722066,13.4925295,4558114095,bank,,,,,,
39.4731061,13.4934396,4558114096,atm,,,CBE,,,
39.4655802,13.479123,4558117391,bank,,,,,,
39.4723015,13.4925547,4558121690,atm,,,Dashen Bank,,,
39.4716841,13.4948832,4558124889,bank,,,,,,
39.4655313,13.4790735,4558125089,atm,,,CBE,,,
39.4619563,13.4999263,4563551190,bank,,,,,ደደቢት ማይክሮ ፋይናንስ ዋና ቢሮ ህንፃ,
38.7634051,9.0340605,4564451389,atm,,,Government,,,
38.7629121,9.0349258,4564459290,atm,,,Government,,,
38.7625586,9.0331311,4564459889,bank,,,Government,,Commercial Bank of Ethiopia,
38.7629205,9.0348942,4564459989,bank,,,Government,,የኢትዮጵያ ንግድ ባንክ,
37.3702743,11.5851665,4574373090,atm,,,CBE,,Commercial Bank,
38.7893746,9.0215321,4581265399,bank,,,,,ዳሽን ባንክ,
38.7746849,9.0325053,4581266092,atm,,,United Bank,,,
38.7746663,9.0325023,4581318090,bank,,,,,ሕብረት ባንክ ቀበና ቅርንጫፍ,
39.4721311,13.4924871,4582466890,bank,,,,,,
38.8568693,9.0204959,4592167090,bank,,,,,,
39.248336,7.5285191,4592675189,atm,,,,,,
37.3688433,11.5850779,4596274889,bank,,,,,,
43.5523347,5.9513334,4607620352,bank,,,,,Wegagan Bank,
38.768778,8.9864549,4607942599,atm,,,Dashen Bank,,,
38.792973,8.9954547,4608029692,bank,,,,,,
38.2820726,14.1056606,4622529591,atm,,,cbe,,,
37.7714459,14.3929134,4633937295,bank,,,,,ንግዲ ባንኪ ኢትዮጵያ ሸራሮ ጨንፈር Commercial Bank of Ethiopia Sheraro Branch,
37.6380053,6.4754593,4641551690,bank,,,,,Omo MicroFinance Zefine,
39.4607097,14.2784723,4658985597,bank,,,,,,
38.9681919,8.7507269,4681740403,bank,,,,,,
38.0077704,11.8568496,4698774291,bank,,,,,Commercial Bank of Ethiopia Guna Branch,
42.7992241,9.3484955,4702593337,bank,,,Commercial Bank of Ethiopia,,Commercial Bank of Ethiopia ATM,
35.8348745,9.1708737,4706032990,bank,,,,,,
38.746715,9.0121248,4711049592,atm,,,Government,,,
38.7464517,9.012127,4711049593,atm,,,Government,,,
37.3868273,11.5879587,4720177591,bank,,,,,,
37.3867944,11.5954129,4720178593,bank,,,,,,
37.3877191,11.594689,4720178594,bank,,,,,,
37.3882535,11.5905976,4731719722,bank,,,,,,
37.3882386,11.5904607,4731719723,bank,,,,,,
37.3883066,11.5891992,4731719724,bank,,,,,,
37.2615153,10.6798814,4731719725,bank,,,,,,
37.7284478,10.3357339,4731719726,bank,,,,,,
37.261097,10.6799729,4731728622,bank,,,,,,
37.2613358,10.6798892,4731728623,bank,,,,,,
38.7261073,9.0336789,4731751317,bank,,,Government,,,
38.7279724,9.0340936,4731758742,bank,,,,,,
38.732155,9.0313857,4731809355,bank,,,,,,
38.7323083,9.031298,4731809356,bank,,,,,Addis International Bank (Sebategna Branch),
38.7329077,9.0279219,4731809357,bank,,,Government,,,
38.7328999,9.0279796,4731809358,bank,,,,,,
38.7328947,9.0280279,4731809359,bank,,,,,,
38.7329163,9.0278697,4731848731,bank,,,,,,
38.7532459,9.0169971,4732428122,atm,,,Government,,,
38.7447027,9.0085265,4732440021,bank,,,,,,
38.7444129,9.0089717,4732440022,bank,,,,,,
38.7465667,9.0079283,4732440023,bank,,,,,,
38.7495011,8.9819539,4732440024,bank,,,,,,
38.7496474,8.9840846,4732440121,bank,,,,,,
38.7867817,9.0222812,4732443422,bank,,,Government,,,
38.8003021,9.0204643,4732448422,bank,,,,,Awash International Bank  Megenagna Branch,
38.7993731,9.0202667,4732448423,bank,,,,,,
38.7995559,9.0202167,4732455121,bank,,,,,,
38.8010963,9.0200605,4732455122,bank,,,Government,,,
38.8009065,9.0201228,4732455221,bank,,,,,,
38.8011768,9.0201248,4732455521,bank,,,,,,
38.8003193,9.0186773,4732473922,bank,,,,,,
38.8010409,9.0190775,4732477321,bank,,,Government,,ህዳሴ ህንፃ,
38.8010811,9.0201219,4735480825,bank,,,,,,
38.7919856,9.0211753,4735486122,bank,,,,,,
38.7510733,9.0302803,4735499022,bank,,,,,,
38.751102,9.0298439,4735501222,bank,,,,,,
38.7501701,9.0308584,4735501223,bank,,,,,Nib International Bank Chatedral Branch ንብ ባንክ ካቴድራል ቅርንጫፍ,
38.7399919,9.0331647,4735501224,bank,,,,,,
38.7283506,9.0336145,4737648922,bank,,,,,,
38.7404027,9.0110222,4737648923,bank,,,,,,
38.7634406,8.9817007,4737648924,bank,,,,,,
38.7671828,8.9851663,4737648925,bank,,,Government,,,
38.7346232,9.0341061,4737649822,bank,,,Government,,,
38.7276845,9.0336804,4737660621,bank,,,,,,
38.7271568,9.0340372,4737660721,bank,,,Government,,,
38.7755397,8.9937063,4737787025,bank,,,,,,
38.7849186,8.9904104,4737787026,bank,,,Government,,,
38.7741087,8.993504,4737794723,bank,,,,,,
38.7738047,8.9922294,4737797621,bank,,,,,,
38.7555456,9.0377673,4739170222,bank,,,Government,,,
38.7601661,9.0341589,4739170223,bank,,,,,,
38.764854,9.0320488,4739178122,bank,,,Government,,,
38.7594526,9.0350731,4739178221,bank,,,Government,,,
38.7612431,9.0339879,4739178222,bank,,,,,,
38.7774577,9.0353858,4739178223,bank,,,,,,
38.7928876,9.0261984,4739178224,bank,,,,,,
38.7730635,9.0327407,4739178421,bank,,,,,,
