X,Y,osm_id,operatorty,amenity,addrfull,capacitype,addrcity,name,source,building
35.6092423,7.5443362,1576554247,,school,,,,,,
35.8566096,7.5653822,1576554472,,school,,,,,,
35.6570029,7.569212,1576554494,,school,,,,,,
36.0388888,7.5789578,1576554610,,school,,,,,,
35.9477513,7.5911324,1576554757,,school,,,,,,
35.7631188,7.5965135,1576554799,,school,,,,,,
35.8570813,7.6058102,1576554835,,school,,,,,,
36.0051815,7.6069649,1576554836,,school,,,,,,
35.6903339,7.6099174,1576554862,,school,,,,,,
35.7874108,7.6271441,1576555005,,school,,,,,,
35.8388488,7.6527702,1576555148,,school,,,,,,
35.7624658,7.6545993,1576555152,,school,,,,,,
35.6321292,7.6608342,1576555162,,school,,,,,,
35.9272125,7.6818911,1576555279,,school,,,,,,
35.9711639,7.6836325,1576555302,,school,,,,,,
35.7455786,7.7098414,1576555572,,school,,,,,,
35.9960726,7.7317353,1576555641,,school,,,,,,
35.803505,7.7477839,1576555686,,school,,,,,,
35.7241003,7.7637464,1576555831,,school,,,,,,
35.6742139,7.7720904,1576555845,,school,,,,,,
35.7945561,7.7708806,1576555846,,school,,,,,,
35.7534203,7.777058,1576555861,,school,,,,,,
35.7380488,7.8025814,1576555899,,school,,,,,,
35.6580813,7.8256881,1576555914,,school,,,,,,
35.8230211,7.832845,1576555922,,school,,,,,,
35.8096134,7.8988127,1576555978,,school,,,,,,
38.9991009,8.7588205,1592291953,,college,,,,Defense Engineering College,,
38.7286281,7.4889909,1592291992,,school,,,,Economy School,GPS,
38.6258202,7.2214914,1592292154,,school,,,,Primary School,,
38.7720994,7.5197831,1592292172,,school,,,,SIM/KHC Langano School,"GPS,Photo",
38.7672992,8.9989084,1592429618,,college,,,,GAGE Technology and Business College,,
38.6709967,7.341238,1592575221,,school,,,,Shala Secondary & Preparatory School,Photo of Sign,
38.4856143,7.0795235,1592799313,,school,,,,Ayni's School,"GPS,Photo",
38.4859312,7.0808441,1592799323,,college,,,,General Para Medical College Main Campus,"GPS,Photo",
38.4862647,7.0815747,1592799325,,school,,,,"Hiyawtesfa Kindergarden, Primary and Secondary School","GPS,Photo",
38.7149068,9.0246862,1690616971,,school,,,,Meserete Ediget Primary School,,
42.1234241,9.3088306,1705937310,,university,,,,Haramaya University,,
