end_year,adm_1,best
2014,Jonglei state,47
2014,Unity state,2
2014,Jonglei state,1
2014,Unity state,63
2014,Unity state,1
2014,Unity state,1
2014,Unity state,1
2014,Unity state,5
2014,Unity state,0
2014,Unity state,1
2014,Unity state,1
2014,Jonglei state,0
2015,Unity state,4
2015,Upper Nile state,7
2015,Unity state,1
2015,West Equatoria state,7
2015,Unity state,37
2015,Unity state,7
2015,Unity state,1
2015,Jonglei state,1
2015,Unity state,1
2015,Unity state,2
2015,Unity state,2
2015,Unity state,4
2015,Unity state,4
2015,Unity state,3
2015,Unity state,4
2015,Unity state,1
2015,Unity state,3
2015,Unity state,2
2015,Unity state,14
2015,Unity state,1
2015,Unity state,2
2015,Unity state,2
2015,Unity state,1
2015,Unity state,0
2015,Unity state,1
2015,Unity state,26
2015,Unity state,2
2015,Unity state,4
2015,Unity state,9
2015,Unity state,3
2015,Unity state,3
2015,Unity state,2
2015,Unity state,3
2015,Unity state,10
2015,Unity state,5
2015,Upper Nile state,15
2015,Unity state,1
2015,Unity state,1
2015,Unity state,2
2015,West Equatoria state,8
2015,Upper Nile state,3
2015,East Equatoria state,2
2015,West Equatoria state,8
2015,Unity state,1
2015,Central Equatoria state,5
2015,Central Equatoria state,1
2015,Unity state,62
2015,Unity state,14
2015,Unity state,13
2015,Unity state,13
2015,Unity state,13
2015,West Bahr-al-Ghazal state,2
2015,West Bahr-al-Ghazal state,1
2015,West Bahr-al-Ghazal state,5
2016,Central Equatoria state,2
2016,Central Equatoria state,0
2016,East Equatoria state,2
2016,West Bahr-al-Ghazal state,4
2016,West Bahr-al-Ghazal state,2
2016,Upper Nile state,30
2016,West Bahr-al-Ghazal state,4
2016,West Bahr-al-Ghazal state,3
2016,Central Equatoria state,1
2016,West Bahr-al-Ghazal state,24
2016,Central Equatoria state,2
2016,Central Equatoria state,0
2016,East Equatoria state,7
2016,Central Equatoria state,3
2016,Central Equatoria state,1
2016,Central Equatoria state,5
2016,Central Equatoria state,3
2016,Central Equatoria state,4
2016,East Equatoria state,7
2016,Central Equatoria state,4
2016,Central Equatoria state,1
2016,Central Equatoria state,3
2016,Central Equatoria state,2
2016,Central Equatoria state,3
2016,Central Equatoria state,0
2016,Central Equatoria state,7
2017,Central Equatoria state,1
2017,West Equatoria state,1
2017,Central Equatoria state,1
2017,Central Equatoria state,4
2017,Central Equatoria state,6
2017,Central Equatoria state,2
2017,Central Equatoria state,7
2017,Central Equatoria state,3
2017,Central Equatoria state,0
2017,Central Equatoria state,12
2017,Central Equatoria state,3
2017,Upper Nile state,0
2017,,7
2017,West Bahr-al-Ghazal state,6
2017,East Equatoria state,14
2017,East Equatoria state,50
2017,West Bahr-al-Ghazal state,28
2017,Central Equatoria state,3
2017,Central Equatoria state,3
2017,Upper Nile state,1
2017,Upper Nile state,3
2017,Central Equatoria state,3
2017,Central Equatoria state,6
2017,Central Equatoria state,1
2017,Central Equatoria state,6
2017,Central Equatoria state,6
2017,Central Equatoria state,9
2017,Central Equatoria state,5
2017,Central Equatoria state,3
2017,Upper Nile state,3
2017,Upper Nile state,3
2017,Upper Nile state,1
2017,Upper Nile state,0
2017,Upper Nile state,1
2017,Upper Nile state,1
2017,Unity state,2
2017,Central Equatoria state,17
2017,Central Equatoria state,0
2017,Unity state,1
2017,Central Equatoria state,4
2017,Unity state,1
2017,Unity state,1
2017,Central Equatoria state,1
2018,Central Equatoria state,7
2018,Unity state,1
2018,Central Equatoria state,2
2018,Central Equatoria state,2
2018,Upper Nile state,22
2018,Lakes state,2
2018,Jonglei state,4
2018,Central Equatoria state,0
2018,Central Equatoria state,1
2018,Lakes state,1
2018,West Bahr-al-Ghazal state,3
2018,Unity state,3
2018,Unity state,1
2018,Unity state,10
2018,Unity state,5
2018,Unity state,1
2018,Unity state,3
2018,Unity state,1
2018,Unity state,0
2018,Unity state,6
2018,West Equatoria state,4
2018,Unity state,3
2018,West Bahr-al-Ghazal state,4
2018,Unity state,1
2018,Unity state,1
2018,Unity state,21
2018,Unity state,20
2018,Central Equatoria state,10
2018,Unity state,2
2018,Unity state,2
2018,Unity state,2
2018,Central Equatoria state,3
2018,Central Equatoria state,2
2018,Central Equatoria state,1
2018,West Bahr-al-Ghazal state,3
2018,West Bahr-al-Ghazal state,1
2018,West Bahr-al-Ghazal state,0
2018,West Bahr-al-Ghazal state,2
2018,Central Equatoria state,1
2018,Jonglei state,5
2019,Central Equatoria state,3
2019,Central Equatoria state,5
2019,Central Equatoria state,1
2019,West Bahr-al-Ghazal state,0
2019,Upper Nile state,1
2019,Central Equatoria state,6
2019,Central Equatoria state,2
2019,Central Equatoria state,1
2019,Unity state,2
2019,Central Equatoria state,13
2019,Unity state,11
2019,,38
2019,Central Equatoria state,0
2013,Jonglei state,3
2014,Lakes state,5
2011,Jonglei state,4
2011,Jonglei state,4
2011,Jonglei state,18
2011,Jonglei state,18
2012,Jonglei state,2
2012,Jonglei state,83
2012,Jonglei state,3
2012,Jonglei state,22
2012,Jonglei state,4
2012,Jonglei state,2
2012,Jonglei state,2
2012,Jonglei state,0
2016,Jonglei state,2
2016,Jonglei state,2
2016,Jonglei state,3
2016,Jonglei state,3
2016,Jonglei state,4
2017,Jonglei state,12
2017,Jonglei state,31
2017,Jonglei state,8
2017,Jonglei state,45
2011,Jonglei state,245
2011,Jonglei state,138
2011,Jonglei state,257
2011,Jonglei state,0
2011,Jonglei state,0
2011,Jonglei state,152
2011,Jonglei state,64
2011,Jonglei state,24
2011,Jonglei state,2
2012,Jonglei state,52
2012,Jonglei state,20
2012,Jonglei state,5
2012,Jonglei state,32
2012,Jonglei state,5
2012,Jonglei state,57
2012,Jonglei state,1
2012,Jonglei state,11
2012,Jonglei state,15
2012,Jonglei state,3
2013,Jonglei state,99
2013,Jonglei state,19
2013,Jonglei state,0
2016,Jonglei state,101
2017,Jonglei state,32
2018,Jonglei state,0
2018,Jonglei state,8
2019,Jonglei state,5
2019,Jonglei state,41
2019,Jonglei state,1
2019,Jonglei state,4
2018,East Equatoria state,26
2011,Unity state,16
2011,Unity state,28
2011,Unity state,2
2011,Warap state,1
2013,Unity state,6
2013,Jonglei state,22
2013,Unity state,16
2014,Upper Nile state,10
2015,Lakes state,100
2019,Warap state,14
2019,Warap state,14
2019,Lakes state,11
2019,Upper Nile state,36
2015,Central Equatoria state,11
2017,Central Equatoria state,40
2012,Warap state,31
2012,Warap state,50
2011,Lakes state,1
2015,Lakes state,9
2019,Lakes state,4
2019,Lakes state,10
2019,Lakes state,11
2012,Warap state,76
2012,Warap state,11
2019,Warap state,0
2019,Warap state,0
2019,Unity state,0
2012,West Bahr-al-Ghazal state,26
2012,West Bahr-al-Ghazal state,2
2013,Jonglei state,2
2013,Jonglei state,4
2013,Jonglei state,30
2013,Jonglei state,40
2012,Lakes state,13
2013,Lakes state,10
2013,Lakes state,15
2015,Upper Nile state,0
2011,Upper Nile state,60
2011,Jonglei state,2
2011,Jonglei state,4
2011,Jonglei state,19
2011,Jonglei state,17
2011,Central Equatoria state,3
2011,Unity state,24
2011,Unity state,0
2011,Unity state,78
2011,Unity state,6
2011,Unity state,0
2011,Unity state,3
2012,Unity state,2
2012,Unity state,127
2012,Unity state,8
2014,Upper Nile state,7
2015,Upper Nile state,0
2012,Unity state,24
2012,Unity state,0
2012,Unity state,2
2012,Unity state,5
2012,Unity state,7
2012,Unity state,3
2012,Unity state,0
2012,,24
2012,Unity state,30
2012,North Bahr-al-Ghazal state,1
2012,North Bahr-al-Ghazal state,10
2012,North Bahr-al-Ghazal state,10
2012,North Bahr-al-Ghazal state,5
2012,North Bahr-al-Ghazal state,8
2013,West Bahr-al-Ghazal state,0
2013,Upper Nile state,1
2013,Upper Nile state,0
2013,North Bahr-al-Ghazal state,0
2014,West Bahr-al-Ghazal state,0
2018,Unity state,32
2013,Unity state,1
2013,,0
2013,Jonglei state,20
2013,,2
2013,,3
2013,Jonglei state,3
2013,Upper Nile state,1
2013,,385
2013,Unity state,34
2013,Central Equatoria state,99
2013,Central Equatoria state,1
2013,Central Equatoria state,97
2013,Jonglei state,0
2013,Central Equatoria state,4
2013,Central Equatoria state,3
2013,Central Equatoria state,29
2013,Jonglei state,3
2013,Jonglei state,12
2013,Jonglei state,11
2013,Jonglei state,16
2013,Central Equatoria state,5
2013,Unity state,4
2013,Unity state,0
2013,Unity state,82
2013,Upper Nile state,20
2013,Jonglei state,4
2013,Upper Nile state,7
2013,Jonglei state,2
2013,Upper Nile state,0
2013,Unity state,0
2013,Upper Nile state,2
2014,Jonglei state,13
2014,Jonglei state,50
2014,,10
2014,Jonglei state,3
2014,Unity state,5
2014,Upper Nile state,9
2014,Unity state,2
2014,Upper Nile state,3
2014,Central Equatoria state,9
2014,Upper Nile state,1
2014,,1
2014,Upper Nile state,2
2014,Jonglei state,4
2014,Jonglei state,0
2014,Lakes state,4
2014,Unity state,3
