"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1990",39875.3457023889,
"AUS","AVWAGE","TOT","USD","A","1991",39685.2596299508,
"AUS","AVWAGE","TOT","USD","A","1992",40481.9942762401,
"AUS","AVWAGE","TOT","USD","A","1993",40854.7038466573,
"AUS","AVWAGE","TOT","USD","A","1994",41131.5756387698,
"AUS","AVWAGE","TOT","USD","A","1995",40973.5289636498,
"AUS","AVWAGE","TOT","USD","A","1996",42187.475278892,
"AUS","AVWAGE","TOT","USD","A","1997",43450.0360242148,
"AUS","AVWAGE","TOT","USD","A","1998",44066.5199498077,
"AUS","AVWAGE","TOT","USD","A","1999",45103.5014853406,
"AUS","AVWAGE","TOT","USD","A","2000",45201.3198979376,
"AUS","AVWAGE","TOT","USD","A","2001",45693.2368983185,
"AUS","AVWAGE","TOT","USD","A","2002",46007.8194769526,
"AUS","AVWAGE","TOT","USD","A","2003",46545.9762787039,
"AUS","AVWAGE","TOT","USD","A","2004",47994.2551304069,
"AUS","AVWAGE","TOT","USD","A","2005",48614.8923837984,
"AUS","AVWAGE","TOT","USD","A","2006",48929.0689909993,
"AUS","AVWAGE","TOT","USD","A","2007",50279.2482768596,
"AUS","AVWAGE","TOT","USD","A","2008",50684.7693032932,
"AUS","AVWAGE","TOT","USD","A","2009",50225.1928494414,
"AUS","AVWAGE","TOT","USD","A","2010",51957.4061139585,
"AUS","AVWAGE","TOT","USD","A","2011",53600.6798454773,
"AUS","AVWAGE","TOT","USD","A","2012",53919.3282440152,
"AUS","AVWAGE","TOT","USD","A","2013",53672.2717426346,
"AUS","AVWAGE","TOT","USD","A","2014",54085.1342419058,
"AUS","AVWAGE","TOT","USD","A","2015",53635.8414091431,
"AUS","AVWAGE","TOT","USD","A","2016",53724.0891622131,
"AUS","AVWAGE","TOT","USD","A","2017",53437.0587542119,
"AUS","AVWAGE","TOT","USD","A","2018",53514.8272246821,
"AUS","AVWAGE","TOT","USD","A","2019",54020.7914912353,
"AUS","AVWAGE","TOT","USD","A","2020",55206.3936635827,
"AUT","AVWAGE","TOT","USD","A","1990",42551.7590367744,
"AUT","AVWAGE","TOT","USD","A","1991",43881.8669702909,
"AUT","AVWAGE","TOT","USD","A","1992",44765.9262872876,
"AUT","AVWAGE","TOT","USD","A","1993",45130.9157654398,
"AUT","AVWAGE","TOT","USD","A","1994",45585.6229416628,
"AUT","AVWAGE","TOT","USD","A","1995",45952.8670777328,
"AUT","AVWAGE","TOT","USD","A","1996",45628.6027110581,
"AUT","AVWAGE","TOT","USD","A","1997",45227.5798086875,
"AUT","AVWAGE","TOT","USD","A","1998",46686.6362023384,
"AUT","AVWAGE","TOT","USD","A","1999",47726.933898762,
"AUT","AVWAGE","TOT","USD","A","2000",47860.0986214107,
"AUT","AVWAGE","TOT","USD","A","2001",47714.711314757,
"AUT","AVWAGE","TOT","USD","A","2002",48453.1637884007,
"AUT","AVWAGE","TOT","USD","A","2003",48581.8194610465,
"AUT","AVWAGE","TOT","USD","A","2004",49484.4436736349,
"AUT","AVWAGE","TOT","USD","A","2005",49763.891701897,
"AUT","AVWAGE","TOT","USD","A","2006",50524.506564447,
"AUT","AVWAGE","TOT","USD","A","2007",50814.3254362109,
"AUT","AVWAGE","TOT","USD","A","2008",51677.7103028473,
"AUT","AVWAGE","TOT","USD","A","2009",52578.2720365933,
