"GEO","Marital status of deceased","value"
"Alberta","divorced",224000
"Alberta","married",951932
"Alberta","not stated",26884
"Alberta","separated",356
"Alberta","single",324300
"Alberta","widowed",754600
"British Columbia","divorced",308024
"British Columbia","married",1439044
"British Columbia","not stated",100840
"British Columbia","separated",71896
"British Columbia","single",402764
"British Columbia","widowed",1227364
"Canada","divorced",1923848
"Canada","married",11104028
"Canada","not stated",724412
"Canada","separated",217488
"Canada","single",3696444
"Canada","widowed",9464896
"Manitoba","divorced",75820
"Manitoba","married",449772
"Manitoba","not stated",5884
"Manitoba","separated",16984
"Manitoba","single",173840
"Manitoba","widowed",435036
"New Brunswick","divorced",44596
"New Brunswick","married",303504
"New Brunswick","not stated",5408
"New Brunswick","separated",12680
"New Brunswick","single",100360
"New Brunswick","widowed",273292
"Newfoundland and Labrador","divorced",24284
"Newfoundland and Labrador","married",228348
"Newfoundland and Labrador","not stated",976
"Newfoundland and Labrador","separated",5772
"Newfoundland and Labrador","single",64376
"Newfoundland and Labrador","widowed",192508
"Northwest Territories","divorced",356
"Northwest Territories","married",3272
"Northwest Territories","not stated",84
"Northwest Territories","separated",40
"Northwest Territories","single",3620
"Northwest Territories","widowed",1940
"Northwest Territories","divorced",1020
"Northwest Territories","married",4996
"Northwest Territories","not stated",760
"Northwest Territories","separated",228
"Northwest Territories","single",5168
"Northwest Territories","widowed",3952
"Nova Scotia","divorced",66628
"Nova Scotia","married",396632
"Nova Scotia","not stated",2656
"Nova Scotia","separated",712
"Nova Scotia","single",132556
"Nova Scotia","widowed",364196
"Nunavut","divorced",244
"Nunavut","married",3692
"Nunavut","not stated",852
"Nunavut","separated",80
"Nunavut","single",5620
"Nunavut","widowed",2308
"Ontario","divorced",671004
"Ontario","married",4327232
"Ontario","not stated",210744
"Ontario","separated",568
"Ontario","single",1150360
"Ontario","widowed",3710868
"Prince Edward Island","divorced",6648
"Prince Edward Island","married",57292
"Prince Edward Island","not stated",184
"Prince Edward Island","separated",1504
"Prince Edward Island","single",21924
"Prince Edward Island","widowed",52156
"Quebec","divorced",436888
"Quebec","married",2515680
"Quebec","not stated",346524
"Quebec","separated",106360
"Quebec","single",1155980
"Quebec","widowed",2056384
"Saskatchewan","divorced",62084
"Saskatchewan","married",416828
"Saskatchewan","not stated",22288
"Saskatchewan","separated",160
"Saskatchewan","single",151124
"Saskatchewan","widowed",386464
"Unknown","divorced",96
"Unknown","married",256
"Unknown","not stated",112
"Unknown","separated",8
"Unknown","single",296
"Unknown","widowed",120
"Yukon","divorced",2196
"Yukon","married",5908
"Yukon","not stated",240
"Yukon","separated",156
"Yukon","single",4636
"Yukon","widowed",3944
