_id,_source,_target,_label,ownership_type
e19676,n21381,n21380,IS_OWNER,Directly Controlled
e19677,n21383,n21382,IS_OWNER,Directly Controlled
e19678,n21385,n21384,IS_OWNER,Directly Controlled
e19679,n21387,n21386,IS_OWNER,Directly Controlled
e19680,n21387,n21388,IS_OWNER,Directly Controlled
e19681,n21390,n21389,IS_OWNER,Directly Controlled
e19682,n21392,n21391,IS_OWNER,Directly Controlled
e19683,n21391,n21393,IS_OWNER,Directly Controlled
e19684,n21395,n21394,IS_OWNER,Directly Controlled
e19685,n21395,n21396,IS_OWNER,Directly Controlled
e19686,n21392,n21397,IS_OWNER,Directly Controlled
e19687,n21399,n21398,IS_OWNER,Directly Controlled
e19688,n21401,n21400,IS_OWNER,Directly Controlled
e19689,n21403,n21402,IS_OWNER,Directly Controlled
e19690,n21395,n21404,IS_OWNER,Directly Controlled
e19691,n21406,n21405,IS_OWNER,Directly Controlled
e19692,n21403,n21406,IS_OWNER,Directly Controlled
e19693,n21401,n21407,IS_OWNER,Directly Controlled
e19694,n21401,n21395,IS_OWNER,Directly Controlled
e19695,n21401,n21408,IS_OWNER,Directly Controlled
e19696,n21410,n21409,IS_OWNER,Directly Controlled
e19697,n21405,n21410,IS_OWNER,Directly Controlled
e19698,n21406,n21411,IS_OWNER,Directly Controlled
e19699,n21401,n21412,IS_OWNER,Directly Controlled
e19700,n21406,n21413,IS_OWNER,Directly Controlled
e19701,n21401,n21414,IS_OWNER,Directly Controlled
e19702,n21405,n21401,IS_OWNER,Directly Controlled
e19703,n21395,n21415,IS_OWNER,Directly Controlled
e19704,n21401,n21416,IS_OWNER,Directly Controlled
e19705,n21418,n21417,IS_OWNER,Directly Controlled
e19706,n21392,n21419,IS_OWNER,Directly Controlled
e19707,n21405,n21420,IS_OWNER,Directly Controlled
e19708,n21420,n21421,IS_OWNER,Directly Controlled
e19709,n21395,n21422,IS_OWNER,Directly Controlled
e19710,n21420,n21423,IS_OWNER,Directly Controlled
e19711,n21395,n21392,IS_OWNER,Directly Controlled
e19712,n21397,n21424,IS_OWNER,Directly Controlled
e19713,n21410,n21425,IS_OWNER,Directly Controlled
e19714,n21427,n21426,IS_OWNER,Directly Controlled
e19715,n21427,n21428,IS_OWNER,Directly Controlled
e19716,n21427,n21429,IS_OWNER,Directly Controlled
e19717,n21392,n21427,IS_OWNER,Directly Controlled
e19718,n21401,n21430,IS_OWNER,Directly Controlled
e19719,n21432,n21431,IS_OWNER,Directly Controlled
e19720,n21392,n21433,IS_OWNER,Directly Controlled
e19721,n21395,n21434,IS_OWNER,Directly Controlled
e19722,n21395,n21435,IS_OWNER,Directly Controlled
e19723,n21410,n21436,IS_OWNER,Directly Controlled
e19724,n21410,n21437,IS_OWNER,Directly Controlled
e19725,n21408,n21438,IS_OWNER,Directly Controlled
e19726,n21408,n21439,IS_OWNER,Directly Controlled
e19727,n21395,n21432,IS_OWNER,Directly Controlled
e19728,n21395,n21440,IS_OWNER,Directly Controlled
e19729,n21392,n21441,IS_OWNER,Directly Controlled
e19730,n21401,n21442,IS_OWNER,Directly Controlled
e19731,n21444,n21443,IS_OWNER,Directly Controlled
e19732,n21444,n21445,IS_OWNER,Directly Controlled
e19733,n21444,n21446,IS_OWNER,Directly Controlled
e19734,n21444,n21447,IS_OWNER,Directly Controlled
e19735,n21444,n21448,IS_OWNER,Directly Controlled
e19736,n21450,n21449,IS_OWNER,Directly Controlled
e19737,n21444,n21451,IS_OWNER,Directly Controlled
e19738,n21444,n21452,IS_OWNER,Directly Controlled
e19739,n21444,n21453,IS_OWNER,Directly Controlled
e19740,n21455,n21454,IS_OWNER,Directly Controlled
e19741,n21444,n21456,IS_OWNER,Directly Controlled
e19742,n21458,n21457,IS_OWNER,Directly Controlled
