id,source,target,SUID,source_url,interaction,confidence,shared_interaction,name,shared_name,contract_share,log_message,ownership_type,start_date,source_date,ownership_status
5324,1916,1601,5324,http://investor.serinusenergy.com/en/pr/199489/nigeria-oml-42-purchase-completed-by-neconde-kov-retains-option-to-participate,-,Low,-,n23296 (-) n22981,n23296 (-) n22981,45,,,,,
5323,1916,1914,5323,http://investor.serinusenergy.com/en/pr/199489/nigeria-oml-42-purchase-completed-by-neconde-kov-retains-option-to-participate,-,Low,-,n23296 (-) n23294,n23296 (-) n23294,55,,,,,
5614,1915,1893,5614,http://www.fhnigeria.com/assets/,-,Low,-,n23295 (-) n23273,n23295 (-) n23273,,,,,,
5322,1915,1600,5322,http://www.fhnigeria.com/assets/,-,Low,-,n23295 (-) n22980,n23295 (-) n22980,45,,,,,
5321,1915,1914,5321,http://www.fhnigeria.com/assets/,-,Low,-,n23295 (-) n23294,n23295 (-) n23294,55,,,,,
5613,1913,1893,5613,http://newcrosspet.com/news.php?page=48,-,Low,-,n23293 (-) n23273,n23293 (-) n23273,,,,,,
5320,1913,1599,5320,http://newcrosspet.com/news.php?page=48,-,Low,-,n23293 (-) n22979,n23293 (-) n22979,40,,,,,
5319,1913,1548,5319,http://newcrosspet.com/news.php?page=48,-,Low,-,n23293 (-) n22928,n23293 (-) n22928,60,,,,,
5612,1912,1893,5612,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,-,Low,-,n23292 (-) n23273,n23292 (-) n23273,,,,,,
5318,1912,1548,5318,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,-,Low,-,n23292 (-) n22928,n23292 (-) n22928,40,,,,,
5317,1912,1598,5317,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,-,Low,-,n23292 (-) n22978,n23292 (-) n22978,60,,,,,
5611,1911,1893,5611,http://suntrustoil.com/,-,Low,-,n23291 (-) n23273,n23291 (-) n23273,,,,,,
5316,1911,1597,5316,http://suntrustoil.com/,-,Low,-,n23291 (-) n22977,n23291 (-) n22977,30,,,,,
5315,1911,1596,5315,http://suntrustoil.com/,-,Low,-,n23291 (-) n22976,n23291 (-) n22976,70,,,,,
5610,1910,1893,5610,http://www.nairaland.com/1022409/real-owners-nigeria,-,Low,-,n23290 (-) n23273,n23290 (-) n23273,,,,,,
5314,1910,1595,5314,http://www.nairaland.com/1022409/real-owners-nigeria,-,Low,-,n23290 (-) n22975,n23290 (-) n22975,60,,,,,
5313,1910,1892,5313,http://www.nairaland.com/1022409/real-owners-nigeria,-,Low,-,n23290 (-) n23272,n23290 (-) n23272,40,,,,,
5609,1909,1893,5609,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23289 (-) n23273,n23289 (-) n23273,,,,,,
5312,1909,1594,5312,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23289 (-) n22974,n23289 (-) n22974,19.5,,,,,
5311,1909,1589,5311,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23289 (-) n22969,n23289 (-) n22969,25,,,,,
5310,1909,1892,5310,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23289 (-) n23272,n23289 (-) n23272,45.5,,,,,
5608,1908,1893,5608,http://total.com/en/media/news/press-releases/20100624-nigeria-hydrocarbon-discovery-oml-136,-,Low,-,n23288 (-) n23273,n23288 (-) n23273,,,,,,
5309,1908,1451,5309,http://total.com/en/media/news/press-releases/20100624-nigeria-hydrocarbon-discovery-oml-136,-,Low,-,n23288 (-) n22831,n23288 (-) n22831,40,,,,,
5308,1908,1356,5308,http://total.com/en/media/news/press-releases/20100624-nigeria-hydrocarbon-discovery-oml-136,-,Low,-,n23288 (-) n22736,n23288 (-) n22736,40,,,,,
5307,1908,1589,5307,http://total.com/en/media/news/press-releases/20100624-nigeria-hydrocarbon-discovery-oml-136,-,Low,-,n23288 (-) n22969,n23288 (-) n22969,60,,,,,
5607,1907,1893,5607,http://www.sec.gov/Archives/edgar/data/1402281/000135448809002525/pap_pre14a.htm,-,Low,-,n23287 (-) n23273,n23287 (-) n23273,,,,,,
5306,1907,1593,5306,http://www.sec.gov/Archives/edgar/data/1402281/000135448809002525/pap_pre14a.htm,-,Low,-,n23287 (-) n22973,n23287 (-) n22973,2.5,,,,,
5305,1907,1587,5305,http://www.sec.gov/Archives/edgar/data/1402281/000135448809002525/pap_pre14a.htm,-,Low,-,n23287 (-) n22967,n23287 (-) n22967,97.5,,,,,
