id,SUID,field,selected,name,shared_name,license_area,description,end_date,start_date,duration_months,value_currency_unit,directors,foundation_date,other_names,shareholders,headquarters,oc_id,website
1886,1886,,FALSE,QA/QC services on the OPL 283 3D Seismic data Acquisition,QA/QC services on the OPL 283 3D Seismic data Acquisition,OPL 283,QA/QC services on the OPL 283 3D Seismic data Acquisition,,,,,,,,,,,
1885,1885,,FALSE,QA/QC services of the onshore ADOFI OPL 135 - 3D Seismic Data acquisition Survey,QA/QC services of the onshore ADOFI OPL 135 - 3D Seismic Data acquisition Survey,OML 116,QA/QC services of the onshore ADOFI OPL 135 - 3D Seismic Data acquisition Survey,,,,,,,,,,,
1884,1884,Ijebu-Ode,FALSE,Training on Terminal Operations Management for the staff of NNPC-NAPIMS,Training on Terminal Operations Management for the staff of NNPC-NAPIMS,,Training on Terminal Operations Management for the staff of NNPC-NAPIMS,,2010-01,,,,,,,,,
1883,1883,,FALSE,QC on OML 67-70 JV Priority 3D OBC Seismic Data Acquisition and Navigation,QC on OML 67-70 JV Priority 3D OBC Seismic Data Acquisition and Navigation,"OML 67, OML 70",QC on OML 67-70 JV Priority 3D OBC Seismic Data Acquisition and Navigation,2010,2007,,,,,,,,,
1882,1882,"Finima, Bonny",FALSE, Installation of Water Treatment Plants (Ongoing), Installation of Water Treatment Plants (Ongoing),, Installation of Water Treatment Plants (Ongoing),,,,,,,,,,,
1881,1881,,FALSE,M) For OML-26 Asset (Ongoing),M) For OML-26 Asset (Ongoing),OML 26,M) For OML-26 Asset (Ongoing),,,,,,,,,,,
1880,1880,,FALSE,General Goods Price Agreement (ongoing),General Goods Price Agreement (ongoing),,General Goods Price Agreement (ongoing),,,,,,,,,,,
1879,1879,"Ime, Edikan",FALSE, Edikan, Edikan,, Edikan,,,,,,,,,,,
1878,1878,Gbaran-Ubie,FALSE,Early Production Facility (EPF) Gbaran-Ubie Project,Early Production Facility (EPF) Gbaran-Ubie Project,,Early Production Facility (EPF) Gbaran-Ubie Project,,,,,,,,,,,
1877,1877,,FALSE,Egi electrification project study of the 33KV distribution network,Egi electrification project study of the 33KV distribution network,,Egi electrification project study of the 33KV distribution network,,2002,,,,,,,,,
1876,1876,,FALSE,Industrial and electrical installation Phase II For Schlumberger Wireline,Industrial and electrical installation Phase II For Schlumberger Wireline,,Industrial and electrical installation Phase II For Schlumberger Wireline,,1998,,,,,,,,,
1875,1875,,FALSE,"Design, Construction and Installation of electrical distribution and Control Panels at Bonny LNG Project","Design, Construction and Installation of electrical distribution and Control Panels at Bonny LNG Project",,"Design, Construction and Installation of electrical distribution and Control Panels at Bonny LNG Project",,1998,,,,,,,,,
1874,1874,,FALSE,Rewinding of 560KW electric motor,Rewinding of 560KW electric motor,,Rewinding of 560KW electric motor,,1999,,,,,,,,,
1873,1873,,FALSE,Supply of room thermostats,Supply of room thermostats,,Supply of room thermostats,,1999,,,,,,,,,
1872,1872,,FALSE,"Installation of Lighting Fittings, fire-fighting system; Installation of fire alarm panel; Electrical Installation","Installation of Lighting Fittings, fire-fighting system; Installation of fire alarm panel; Electrical Installation",,"Installation of Lighting Fittings, fire-fighting system; Installation of fire alarm panel; Electrical Installation",,1999,,,,,,,,,
1871,1871,,FALSE,Supply and installation of 1.8km NEPA overhead line for Galba factory,Supply and installation of 1.8km NEPA overhead line for Galba factory,,Supply and installation of 1.8km NEPA overhead line for Galba factory,,2000,,,,,,,,,
1870,1870,Rumuolomeni,FALSE,EPC of Power Panel,EPC of Power Panel,,EPC of Power Panel,,2004,,,,,,,,,
1869,1869,Biseni,FALSE,Supply and Installation of various LV cables at Samabri Biseni Flow Station,Supply and Installation of various LV cables at Samabri Biseni Flow Station,,Supply and Installation of various LV cables at Samabri Biseni Flow Station,,2004,,,,,,,,,
1868,1868,Ebocha,FALSE,"Supply and Installation of one Transformer 33/11KV 7,5 MVA Ebocha Flow Station","Supply and Installation of one Transformer 33/11KV 7,5 MVA Ebocha Flow Station",,"Supply and Installation of one Transformer 33/11KV 7,5 MVA Ebocha Flow Station",,2004,,,,,,,,,
1867,1867,Bille,FALSE,EPC Contract for Bille Community Electrification,EPC Contract for Bille Community Electrification,,EPC Contract for Bille Community Electrification,,2004,,,,,,,,,
1866,1866,Port Harcourt and Warri,FALSE,Environmental Audit,Environmental Audit,,Environmental Audit,,1999,,,,,,,,,
1865,1865,Port Harcourt,FALSE,Environmental Audit,Environmental Audit,,Environmental Audit,,1999,,,,,,,,,
1864,1864,Port Harcourt,FALSE,Environmental Audit,Environmental Audit,,Environmental Audit,,1998,,,,,,,,,
1863,1863,Warri,FALSE,Environmental Audit,Environmental Audit,,Environmental Audit,,1997,,,,,,,,,
1862,1862,Port Harcourt,FALSE,Environmental Audit,Environmental Audit,,Environmental Audit,,1997,,,,,,,,,
1861,1861,Port Harcourt,FALSE,Environmental Audit,Environmental Audit,,Environmental Audit,,1996,,,,,,,,,
1860,1860,Port Harcourt,FALSE,Environmental Audit,Environmental Audit,,Environmental Audit,,1995,,,,,,,,,
1859,1859,,FALSE,EIA of OPL 98,EIA of OPL 98,,EIA of OPL 98,,2000,,,,,,,,,
1858,1858,Forcados-Yorki,FALSE,EIA Forcados-Yokri Integrated Project,EIA Forcados-Yokri Integrated Project,,EIA Forcados-Yokri Integrated Project,1999-02,1998-08,,,,,,,,,
1857,1857,Alesa-Eleme,FALSE,EER of the Refinery,EER of the Refinery,,EER of the Refinery,,1995,,,,,,,,,
1856,1856,,FALSE,EIA of ALSCON Pipeline Route,EIA of ALSCON Pipeline Route,,"EIA of ALSCON Pipeline Route in Rivers, Abia and Akwa Ibom States",,1995,,,,,,,,,
1855,1855,Trans-Amadi,FALSE,EIA of the Proposed Cast Iron Foundry. Contract No. GL/252/94,EIA of the Proposed Cast Iron Foundry. Contract No. GL/252/94,,EIA of the Proposed Cast Iron Foundry. Contract No. GL/252/94,,1994,,,,,,,,,
1854,1854,Escravos,FALSE,Prelim. Impact Assessment of the Escravos Terminal Expansion Project,Prelim. Impact Assessment of the Escravos Terminal Expansion Project,,Prelim. Impact Assessment of the Escravos Terminal Expansion Project,,1997,,,,,,,,,
1853,1853,Ukpokiti,FALSE,EIA of Ukpokiti Field,EIA of Ukpokiti Field,,EIA of Ukpokiti Field,,1996,,,,,,,,,
1852,1852,,FALSE, Seabed Survey of OML 246, Seabed Survey of OML 246,, Seabed Survey of OML 246,,2001,,,,,,,,,
1851,1851,,FALSE, Seabed Survey of OML 119, Seabed Survey of OML 119,, Seabed Survey of OML 119,,2002,,,,,,,,,
1850,1850,,FALSE,EIA of Rumuji-Bonny (GTS 4) Pipeline Project,EIA of Rumuji-Bonny (GTS 4) Pipeline Project,,EIA of Rumuji-Bonny (GTS 4) Pipeline Project,,2003,,,,,,,,,
1849,1849,Port Harcourt,FALSE,OML 58 material Recovery Facility,OML 58 material Recovery Facility,,OML 58 material Recovery Facility,,2004,,,,,,,,,
1848,1848,Asaokpo/Umutu,FALSE,EER of Asaokpo/Umutu Marginal Field,EER of Asaokpo/Umutu Marginal Field,,EER of Asaokpo/Umutu Marginal Field,,2004,,,,,,,,,
1847,1847,Aba,FALSE,EIA of Independent Power Plant (IPP) Scheme,EIA of Independent Power Plant (IPP) Scheme,,EIA of Independent Power Plant (IPP) Scheme,,2004,,,,,,,,,
1846,1846,"Kwale, Oshie, Idu",FALSE,EIA for B-LNG Gas Supply Project (Land Area),EIA for B-LNG Gas Supply Project (Land Area),,EIA for B-LNG Gas Supply Project (Land Area),,2005,,,,,,,,,
1845,1845,,FALSE,Field Development,Field Development,,Field Development,,,,,,,,,,,
1844,1844,,FALSE,Studies on Recovery Factors,Studies on Recovery Factors,,Studies on Recovery Factors,,,,,,,,,,,
1843,1843,,FALSE,Crude Oil Analysis,Crude Oil Analysis,,Crude Oil Analysis,,,,,,,,,,,
1842,1842,,FALSE,Compilation of Well Reports,Compilation of Well Reports,,Compilation of Well Reports,,,,,,,,,,,
1841,1841,,FALSE,Study of Dubri's Well-4 for completion purposes,Study of Dubri's Well-4 for completion purposes,,Study of Dubri's Well-4 for completion purposes,,,,,,,,,,,
1840,1840,Egbema,FALSE,Egbema West (G1.0) Studies,Egbema West (G1.0) Studies,,Egbema West (G1.0) Studies,,,,,,,,,,,
1839,1839,Brass,FALSE,"Agip base water project, brass: (water boreholes, pump installation, connection to existing tank and reticulation)","Agip base water project, brass: (water boreholes, pump installation, connection to existing tank and reticulation)",,"Agip base water project, brass: (water boreholes, pump installation, connection to existing tank and reticulation)",,,,,,,,,,,
1838,1838,Port Harcourt,FALSE,"Water project for NOLCHEM base, Port Harcourt: (water boreholes, pump installation, overhead tank and connection to existing reticulation)","Water project for NOLCHEM base, Port Harcourt: (water boreholes, pump installation, overhead tank and connection to existing reticulation)",,"Water project for NOLCHEM base, Port Harcourt: (water boreholes, pump installation, overhead tank and connection to existing reticulation)",,,,,,,,,,,
1837,1837,Brass,FALSE,"Brass Community water project (water boreholes, pump installation, connection to existing tanks and reticulation)","Brass Community water project (water boreholes, pump installation, connection to existing tanks and reticulation)",,"Brass Community water project (water boreholes, pump installation, connection to existing tanks and reticulation)",,,,,,,,,,,
1836,1836,Opolo,FALSE,Opolo water scheme: (Drilling of water boreholes),Opolo water scheme: (Drilling of water boreholes),,Opolo water scheme: (Drilling of water boreholes),,,,,,,,,,,
1835,1835,,FALSE,Pest Control Services (Onshore/Offshore),Pest Control Services (Onshore/Offshore),,Pest Control Services (Onshore/Offshore),,1993,,,,,,,,,
1834,1834,Odagwa-Ulakwo,FALSE,"Survey, Design and Construction of a 5.1km ODAGWA-ULAKWO (Flexible pavement) road and drainage systems","Survey, Design and Construction of a 5.1km ODAGWA-ULAKWO (Flexible pavement) road and drainage systems",,"Survey, Design and Construction of a 5.1km ODAGWA-ULAKWO (Flexible pavement) road and drainage systems",,1994,,,,,,,,,
1833,1833,Warri,FALSE," Construction of all Civil works for the pilot Gas Supply System at NNPC and SPDC Estates in WARRI, DELTA STATE"," Construction of all Civil works for the pilot Gas Supply System at NNPC and SPDC Estates in WARRI, DELTA STATE",," Construction of all Civil works for the pilot Gas Supply System at NNPC and SPDC Estates in WARRI, DELTA STATE",,1997,,,,,,,,,
1832,1832,Ota and Agbara,FALSE,"Modification of Designs/Construction of all civil works for the PRMS and CTS Gas Plant at OTA and AGBARA, OGUN STATE","Modification of Designs/Construction of all civil works for the PRMS and CTS Gas Plant at OTA and AGBARA, OGUN STATE",,"Modification of Designs/Construction of all civil works for the PRMS and CTS Gas Plant at OTA and AGBARA, OGUN STATE",,2002,,,,,,,,,
1831,1831,Bonny,FALSE,As-Built Survey of Section of ECTL Row from Bonny Terminal to KC Manifold,As-Built Survey of Section of ECTL Row from Bonny Terminal to KC Manifold,,As-Built Survey of Section of ECTL Row from Bonny Terminal to KC Manifold,,,0.7,,,,,,,,
1830,1830,Gokana,FALSE, Kpean, Kpean,, Kpean,,,0.33,,,,,,,,
1829,1829,Afam,FALSE,Soil Investigation Work for Afam VI Power State,Soil Investigation Work for Afam VI Power State,,Soil Investigation Work for Afam VI Power State,,,1,,,,,,,,
1828,1828,Obagi,FALSE,Pipeline Survey of Ibewa-Obagr Gas Line,Pipeline Survey of Ibewa-Obagr Gas Line,,Pipeline Survey of Ibewa-Obagr Gas Line,,,8,,,,,,,,
1827,1827,Enugu,FALSE,Pipeline Route Survey for Storm Water Discharge,Pipeline Route Survey for Storm Water Discharge,,"Pipeline Route Survey for Storm Water Discharge at Ninth Mile, Enugu",,,3,,,,,,,,
1826,1826,,FALSE, Topographical Survey Of EGP-3, Topographical Survey Of EGP-3,, Topographical Survey Of EGP-3,,,1.5,,,,,,,,
1825,1825,Awoba,FALSE,Bille Electrification Design Project Survey,Bille Electrification Design Project Survey,,Bille Electrification Design Project Survey,,,0.5,,,,,,,,
1824,1824,Port Harcourt,FALSE,Roof Repair/Rug Cleaning and Installation of ¾ Delivery Nozzle,Roof Repair/Rug Cleaning and Installation of ¾ Delivery Nozzle,,Roof Repair/Rug Cleaning and Installation of ¾ Delivery Nozzle,,,0.27,,,,,,,,
1823,1823,Biseni,FALSE,"Detail Survey Of Biseni 1,45 and Access Road","Detail Survey Of Biseni 1,45 and Access Road",,"Detail Survey Of Biseni 1,45 and Access Road",,,1.67,,,,,,,,
1822,1822,Port Harcourt,FALSE,"Supply of Theodolites, EDM and Accessories","Supply of Theodolites, EDM and Accessories",,"Supply of Theodolites, EDM and Accessories",,,1,,,,,,,,
1821,1821,Ogoda-Brass,FALSE,Positioning Survey for Pearson Survey of 100km Pipeline,Positioning Survey for Pearson Survey of 100km Pipeline,,Positioning Survey for Pearson Survey of 100km Pipeline,,,2,,,,,,,,
1820,1820,,FALSE,Nigerian Agip Oil Company Limited (NAOC),Nigerian Agip Oil Company Limited (NAOC),,,,,,,,,,,,,
1819,1819,Port Harcourt,FALSE,Detail survey of S.P.D.C. RA Golf Course,Detail survey of S.P.D.C. RA Golf Course,,Detail survey of S.P.D.C. RA Golf Course,,,0.4,,,,,,,,
1818,1818,,FALSE,Nielson Nigeria Limited,Nielson Nigeria Limited,,,,,,,,,,,,,
1817,1817,,FALSE,"Foundation construction and installation of HP/LP Scrubbers, Pipe rack, knockout Drum and Citadel Fence","Foundation construction and installation of HP/LP Scrubbers, Pipe rack, knockout Drum and Citadel Fence",,"Foundation construction and installation of HP/LP Scrubbers, Pipe rack, knockout Drum and Citadel Fence at Cawthorne Channel 1 Flow Station",,2004,,,,,,,,,
1816,1816,Yenegoa,FALSE,"Dredging of 50,000m3 of sand","Dredging of 50,000m3 of sand",,"Dredging of 50,000m3 of sand",,2006,,,,,,,,,
