id,SUID,field,selected,name,shared_name,license_area,description,end_date,start_date,duration_months,value_currency_unit,directors,foundation_date,other_names,shareholders,headquarters,oc_id,website
1704,1704,,FALSE,Manufacture of export pipeline in the Niger Delta,Manufacture of export pipeline in the Niger Delta,,Manufacture of export pipeline in the Niger Delta,,,,,,,,,,,
1703,1703,,FALSE,Manufacture of two line pipe mills,Manufacture of two line pipe mills,,Manufacture of two line pipe mills,,,,Naira,,,,,,,
1702,1702,,FALSE,Front-end subsurface maturation studies for SPDC's onshore eastern operations,Front-end subsurface maturation studies for SPDC's onshore eastern operations,,Front-end subsurface maturation studies for SPDC's onshore eastern operations,,,,,,,,,,,
1701,1701,,FALSE,Cawthorne Channel AGG Pipeline Project: Complete detailed design and engineering survey work for eleven (11) low and high pressure pipelines in the swamp terrain and major river / creek crossings (2001).,Cawthorne Channel AGG Pipeline Project: Complete detailed design and engineering survey work for eleven (11) low and high pressure pipelines in the swamp terrain and major river / creek crossings (2001).,,Cawthorne Channel AGG Pipeline Project: Complete detailed design and engineering survey work for eleven (11) low and high pressure pipelines in the swamp terrain and major river / creek crossings (2001).,,,,,,,,,,,
1700,1700,,FALSE,Engineering evaluation of failed mooring system hose and structures (2001),Engineering evaluation of failed mooring system hose and structures (2001),,Engineering evaluation of failed mooring system hose and structures at Ailsa Craig FSO (2001),,,,,,,,,,,
1699,1699,Obagi,FALSE,Basic Engineering Studies and Design for the Material Recovering Facilities (2003),Basic Engineering Studies and Design for the Material Recovering Facilities (2003),,"Basic Engineering Studies and Design for the Material Recovering Facilities at Obagi, ONELGA, Rivers state (2003)",,,,,,,,,,,
1698,1698,"Bonga SW, Aparo",FALSE,Define Phase Engineering for Bonga SW/Aparo Gas Export Pipeline (2005),Define Phase Engineering for Bonga SW/Aparo Gas Export Pipeline (2005),,Define Phase Engineering for Bonga SW/Aparo Gas Export Pipeline (2005),,,,,,,,,,,
1697,1697,Okpoho,FALSE,Gas Lift FEED and Gas Export FEED (2006),Gas Lift FEED and Gas Export FEED (2006),OML 119,Gas Lift FEED and Gas Export FEED (2006),,,,,,,,,,,
1696,1696,,FALSE,Technical Staffing Support (2006),Technical Staffing Support (2006),,Technical Staffing Support at OB-OB Gas Plant (2006),,,,,,,,,,,
1695,1695,,FALSE,Detailed Design for Brass Cana and FF Pumps Station Revamp (2007),Detailed Design for Brass Cana and FF Pumps Station Revamp (2007),,Detailed Design for Brass Cana and FF Pumps Station Revamp at Brass Terminal (2007),,,,,,,,,,,
1694,1694,,FALSE,Facility Drawings As-built Updates for 4 Production Stations (Ongoing),Facility Drawings As-built Updates for 4 Production Stations (Ongoing),,Facility Drawings As-built Updates for 4 Production Stations (Ongoing),,,,,,,,,,,
1693,1693,Obagi,FALSE,Detailed engineering for elevated Braithwaite Water Tank staging/ foundation at Obagi (2012),Detailed engineering for elevated Braithwaite Water Tank staging/ foundation at Obagi (2012),,"Detailed engineering for elevated Braithwaite Water Tank staging/ foundation at Obagi, ONELGA, Rivers state (2012)",,,,,,,,,,,
1692,1692,,FALSE,Patform Structural Analysis Project - POF Phase 2,Patform Structural Analysis Project - POF Phase 2,,Patform Structural Analysis Project - POF Phase 2,,,,,,,,,,,
1691,1691,Ogunu,FALSE,"Ogunu Fuel Depot project: a 15,000 manhours Detailed Design onshore contract (2007)","Ogunu Fuel Depot project: a 15,000 manhours Detailed Design onshore contract (2007)",,"Ogunu Fuel Depot project: a 15,000 manhours Detailed Design onshore contract (2007)",,,,,,,,,,,
1690,1690,Akri-Oguta,FALSE,"Akri-Oguta pipeline Project: an Onshore/Offshore 6,000 manhours FEED contract","Akri-Oguta pipeline Project: an Onshore/Offshore 6,000 manhours FEED contract",,"Akri-Oguta pipeline Project: an Onshore/Offshore 6,000 manhours FEED contract",,,,,,,,,,,
1689,1689,,FALSE,Egina FPSO offshore Basic Engineering project: a Front End Engineering Design [FEED] from February 2009 - March 2010.,Egina FPSO offshore Basic Engineering project: a Front End Engineering Design [FEED] from February 2009 - March 2010.,,Egina FPSO offshore Basic Engineering project: a Front End Engineering Design [FEED] from February 2009 - March 2010.,,,,,,,,,,,
1688,1688,,FALSE,"Etim project: a 10,000 manhours Etim Life extension Repairs Project [Phase II Review] December 2009 - April 2010.","Etim project: a 10,000 manhours Etim Life extension Repairs Project [Phase II Review] December 2009 - April 2010.",,"Etim project: a 10,000 manhours Etim Life extension Repairs Project [Phase II Review] December 2009 - April 2010.",,,,,,,,,,,
1687,1687,,FALSE,EGP3B Brownfield production platform modifications project (2010),EGP3B Brownfield production platform modifications project (2010),,EGP3B Brownfield production platform modifications project (2010),,,,,,,,,,,
1686,1686,,FALSE,Provision of technical manpower,Provision of technical manpower,,Provision of technical manpower,,,,,,,,,,,
1685,1685,,FALSE,Supply of completion accessories,Supply of completion accessories,,Supply of completion accessories,,,,,,,,,,,
1684,1684,,FALSE, TUBINGS Qty of Joints - 1450, TUBINGS Qty of Joints - 1450,, TUBINGS Qty of Joints - 1450,,,,,,,,,,,
1683,1683,,FALSE, TUBINGS Qty of Joints - 1200, TUBINGS Qty of Joints - 1200,, TUBINGS Qty of Joints - 1200,,,,,,,,,,,
1682,1682,,FALSE,Construction of Pile Foundation and Erection of 100m Telecommunications Tower Erection at Afam Gas Plant; Construction of Pile Foundation and Erection of 60m Telecommunications Tower Erection at Intels Camp; Construction of Pile Foundation and Erection of 56m Telecommunications Tower Erection at Afam Remote Manifold; Construction of Pile Foundation and Erection of 120m Telecommunications Tower Erection at Kidney Island (All in 2009),Construction of Pile Foundation and Erection of 100m Telecommunications Tower Erection at Afam Gas Plant; Construction of Pile Foundation and Erection of 60m Telecommunications Tower Erection at Intels Camp; Construction of Pile Foundation and Erection of 56m Telecommunications Tower Erection at Afam Remote Manifold; Construction of Pile Foundation and Erection of 120m Telecommunications Tower Erection at Kidney Island (All in 2009),,Construction of Pile Foundation and Erection of 100m Telecommunications Tower Erection at Afam Gas Plant; Construction of Pile Foundation and Erection of 60m Telecommunications Tower Erection at Intels Camp; Construction of Pile Foundation and Erection of 56m Telecommunications Tower Erection at Afam Remote Manifold; Construction of Pile Foundation and Erection of 120m Telecommunications Tower Erection at Kidney Island (All in 2009),,,,,,,,,,,
1681,1681,,FALSE,Routine Maintenance on Egbin Gas Plant Facilities (2010),Routine Maintenance on Egbin Gas Plant Facilities (2010),,Routine Maintenance on Egbin Gas Plant Facilities (2010),,,,,,,,,,,
1680,1680,,FALSE,Provision of Oil Spill Response Equipment,Provision of Oil Spill Response Equipment,,Provision of Oil Spill Response Equipment,,,,,,,,,,,
1679,1679,,FALSE,Cleanup of Crude Oil Contaminated Flare Pit (2011),Cleanup of Crude Oil Contaminated Flare Pit (2011),,Cleanup of Crude Oil Contaminated Flare Pit at OLO Flow Station (2011),,,,,,,,,,,
1678,1678,,FALSE,Funiwa Gas Project - Geotechnical and Geophysical survey (2013),Funiwa Gas Project - Geotechnical and Geophysical survey (2013),,Funiwa Gas Project - Geotechnical and Geophysical survey (2013),,,,,,,,,,,
1677,1677,,FALSE,Supply of Heavy Vehicles (2013),Supply of Heavy Vehicles (2013),,Supply of Heavy Vehicles (2013),,,,,,,,,,,
1676,1676,,FALSE,Environmental Impact Assessment (EIA) of AGBARA Phase II Project (2008),Environmental Impact Assessment (EIA) of AGBARA Phase II Project (2008),OML 116,Environmental Impact Assessment (EIA) of AGBARA Phase II Project (2008),,,,,,,,,,,
1675,1675,,FALSE,Environmental Baseline Survey (2009),Environmental Baseline Survey (2009),OPL 257,Environmental Baseline Survey (2009),,,,,,,,,,,
1674,1674,,FALSE,Post Drilling Ecological Seabed Survey (2010),Post Drilling Ecological Seabed Survey (2010),OPL 214,Post Drilling Ecological Seabed Survey (2010),,,,,,,,,,,
1673,1673,,FALSE,Effluent Monitoring (2011),Effluent Monitoring (2011),,"Effluent Monitoring at BRT, Bonny (2011)",,,,,,,,,,,
1672,1672,,FALSE,"EER of EAP Fiel (2013, ongoing)","EER of EAP Fiel (2013, ongoing)",,"EER of EAP Fiel (2013, ongoing)",,,,,,,,,,,
1671,1671,,FALSE,"Sampling of all NAOC Impacted Site (2013, ongoing)","Sampling of all NAOC Impacted Site (2013, ongoing)",,"Sampling of all NAOC Impacted Site (2013, ongoing)",,,,,,,,,,,
1670,1670,,FALSE,"Environmental Impact Assessment (EIA) (2013, still ongoing)","Environmental Impact Assessment (EIA) (2013, still ongoing)",,"Environmental Impact Assessment (EIA) at H.Block, Belema and Ekulama Flow Station (2013, ongoing)",,,,,,,,,,,
1669,1669,,FALSE,Installation and maintenance of Rotating/Static Equipment,Installation and maintenance of Rotating/Static Equipment,,Installation and maintenance of Rotating/Static Equipment,,,,,,,,,,,
1668,1668,,FALSE,"Procurement, installation, maintenance and trading of personnel on Marine Break Away Coupling (NBC) (2004)","Procurement, installation, maintenance and trading of personnel on Marine Break Away Coupling (NBC) (2004)",,"Procurement, installation, maintenance and trading of personnel on Marine Break Away Coupling (NBC) (2004) at Forcados, Bonny and Sea Eagle terminals",,,,,,,,,,,
1667,1667,,FALSE,Provision of Down Hole Equipment Services (2004/2005),Provision of Down Hole Equipment Services (2004/2005),,Provision of Down Hole Equipment Services (2004/2005),,,,,,,,,,,
1666,1666,,FALSE,"General Services Agreement for the supply of Downhole Equipment Rental and Rotating Mousehole Tool (RMT)TM and Twister Torque Tool (TT)TM used for breaking out and making up DCs, DPs (2001 - 2002)","General Services Agreement for the supply of Downhole Equipment Rental and Rotating Mousehole Tool (RMT)TM and Twister Torque Tool (TT)TM used for breaking out and making up DCs, DPs (2001 - 2002)",,"General Services Agreement for the supply of Downhole Equipment Rental and Rotating Mousehole Tool (RMT)TM and Twister Torque Tool (TT)TM used for breaking out and making up DCs, DPs (2001 - 2002)",,,,,,,,,,,
1665,1665,,FALSE," Fishing Services (2005-2007, Plus One Year Extension)"," Fishing Services (2005-2007, Plus One Year Extension)",," Fishing Services (2005-2007, Plus One Year Extension)",,,,,,,,,,,
1664,1664,,FALSE,Provision of Downhole Tools Rentals and Fishing Services (July 2002 to July 2005),Provision of Downhole Tools Rentals and Fishing Services (July 2002 to July 2005),,Provision of Downhole Tools Rentals and Fishing Services (July 2002 to July 2005),,,,,,,,,,,
1663,1663,,FALSE,Down Hole (Drilling Tools) Rentals (2005 to 2008),Down Hole (Drilling Tools) Rentals (2005 to 2008),,Down Hole (Drilling Tools) Rentals (2005 to 2008),,,,,,,,,,,
1662,1662,,FALSE,Provision of Fishing Services (on GSF High Island IX) (June 2006 to June 2008 with the Option of One Year Extension but still ongoing),Provision of Fishing Services (on GSF High Island IX) (June 2006 to June 2008 with the Option of One Year Extension but still ongoing),,Provision of Fishing Services (on GSF High Island IX) (June 2006 to June 2008 with the Option of One Year Extension but still ongoing),,,,,,,,,,,
1661,1661,,FALSE, Fishing Rental Tools Services (2007 – 2009 with the Option of One Year Extension), Fishing Rental Tools Services (2007 – 2009 with the Option of One Year Extension),, Fishing Rental Tools Services (2007 – 2009 with the Option of One Year Extension),,,,,,,,,,,
1660,1660,,FALSE,"Tubular Handling Services (March 2004 – 2006, Extended till Sept 2008 till date)","Tubular Handling Services (March 2004 – 2006, Extended till Sept 2008 till date)",,"Tubular Handling Services (March 2004 – 2006, Extended till Sept 2008 till date)",,,,,,,,,,,
1659,1659,,FALSE,"Casing / Tubing Running Services (2005-2007, Ext. till June 2010 but still ongoing)","Casing / Tubing Running Services (2005-2007, Ext. till June 2010 but still ongoing)",,"Casing / Tubing Running Services (2005-2007, Ext. till June 2010 but still ongoing)",,,,,,,,,,,
1658,1658,,FALSE,"Supply of snubbing rig(ISS 460K Hydrastar II’,) for workover intervention in NAOC land area (2009 - 2012)","Supply of snubbing rig(ISS 460K Hydrastar II’,) for workover intervention in NAOC land area (2009 - 2012)",,"Supply of snubbing rig(ISS 460K Hydrastar II’,) for workover intervention in NAOC land area (2009 - 2012)",,,,,,,,,,,
1657,1657,,FALSE, Pipe Threading Services (2009 - 2012), Pipe Threading Services (2009 - 2012),, Pipe Threading Services (2009 - 2012),,,,,,,,,,,
1656,1656,,FALSE,Trans-niger Loopline construction (30-inch x 12.5 kilometer Loopline and Fibre Optic Cable),Trans-niger Loopline construction (30-inch x 12.5 kilometer Loopline and Fibre Optic Cable),,Trans-niger Loopline construction (30-inch x 12.5 kilometer Loopline and Fibre Optic Cable) from Ogale Manifold to TPI in Rivers State,,,,,,,,,,,
1655,1655,Adanga,FALSE,"installation of subsea pipelines, fabrication and installation of decks and topsides","installation of subsea pipelines, fabrication and installation of decks and topsides",OML 123,"installation of subsea pipelines, fabrication and installation of decks and topsides",,,,,,,,,,,
1654,1654,"Nembe Creek, Bayelsa state",FALSE,"Cawthorne Channel 24""/30"" Trunkline Replacement project (Ongoing at present)","Cawthorne Channel 24""/30"" Trunkline Replacement project (Ongoing at present)",,"Cawthorne Channel 24""/30"" Trunkline Replacement project (Ongoing at present)",,,,,,,,,,,
1653,1653,"Nembe Creek, Bayelsa state",FALSE,Nembe EPIC FLB Project (Commissioned 2010),Nembe EPIC FLB Project (Commissioned 2010),,Nembe EPIC FLB Project (Commissioned 2010),,,,,,,,,,,
1652,1652,"Alaoji, Aba, Abia state",FALSE,"18"" Gas Supply Trunkline (Ongoing)","18"" Gas Supply Trunkline (Ongoing)",,"18"" Gas Supply Trunkline (Ongoing)",,,,,,,,,,,
1651,1651,Yoho,FALSE,"Engineering, procurement and construction (EPC)","Engineering, procurement and construction (EPC)",OML 104,"Engineering, procurement and construction (EPC)",,,,,,,,,,,
1650,1650,Amenam-Kpono,FALSE,"Engineering, procurement and construction (EPC)","Engineering, procurement and construction (EPC)","OML 99, OML 70","Engineering, procurement and construction (EPC)",,,,,,,,,,,
1649,1649,,FALSE,TOTAL Nigeria,TOTAL Nigeria,,,,,,,,,,,,,
1648,1648,Erha North,FALSE,Umbilical contract:- supply of subsea umbilicals for the Erha North phase 2 development,Umbilical contract:- supply of subsea umbilicals for the Erha North phase 2 development,OML 133,Umbilical contract:- supply of subsea umbilicals for the Erha North phase 2 development,,,,,,,,,,,
1647,1647,Akpo,FALSE,Supply of bulk methanol for AKPO FPSO,Supply of bulk methanol for AKPO FPSO,OML 130,Supply of bulk methanol for AKPO FPSO,,,,,,,,,,,
1646,1646,Onne,FALSE,Methanol supply services,Methanol supply services,,Methanol supply services,,,,,,,,,,,
1645,1645,Agbami,FALSE,Supply of bulk methanol,Supply of bulk methanol,"OML 127, OML 128",Supply of bulk methanol,,,,,,,,,,,
1644,1644,Akpo,FALSE,Methanol supply services,Methanol supply services,OML 130,Methanol supply services,,,,,,,,,,,
1643,1643,Bonga,FALSE,Supply of bulk methanol,Supply of bulk methanol,OML 118,Supply of bulk methanol,,,,,,,,,,,
1642,1642,,FALSE,Service Contracts,Service Contracts,,,,,,,,,,,,,
1641,1641,,FALSE,Public Limited Company,Public Limited Company,,,,,,,,,,,,,
1640,1640,,FALSE,Limited Liability Company,Limited Liability Company,,,,,,,,,,,,,
1639,1639,,FALSE,Public,Public,,,,,,,,,,,,,
1638,1638,,FALSE,Tridax SA,Tridax SA,,,,,,,"Richard Levinson, Director
Daniel Roy Joanes, Director",2010,Tridax SA,,,,
1637,1637,,FALSE,Mezcor Limited,Mezcor Limited,,,,,,,,,Mezcor Limited,,,,
1636,1636,,FALSE,Tridax Energy Limited,Tridax Energy Limited,,,,,,,,,Tridax Energy Limited,,,,
1635,1635,,FALSE,Mezcor SA,Mezcor SA,,,,,,,"Richard Levinson, Director
Daniel Roy Joanes, Director",2010,Mezcor SA,,,,
1634,1634,,FALSE,Sahara Energy Resource Limited,Sahara Energy Resource Limited,,,,,,,,,Sahara Energy Resource Limited,,,,
1633,1633,,FALSE,Aiteo Suisse AG,Aiteo Suisse AG,,,,,,,,,Aiteo Suisse AG,,,,
1632,1632,,FALSE,Taleveras Petroleum Trading BV,Taleveras Petroleum Trading BV,,,,,,,,,Taleveras Petroleum Trading BV,,,,
1631,1631,,FALSE,Ontario Trading SA,Ontario Trading SA,,,,,,,,,Ontario Trading SA,,,,
1630,1630,,FALSE,Socar Trading SA,Socar Trading SA,,,,,,,,,Socar Trading SA,,,,
1629,1629,,FALSE,Nimex Petroleum,Nimex Petroleum,,,,,,,,,Nimex Petroleum,,,,
1628,1628,,FALSE,Arcadia Energy,Arcadia Energy,,,,,,,,,Arcadia Energy,,,,
1627,1627,,FALSE,Taurus Petroleum,Taurus Petroleum,,,,,,,,,Taurus Petroleum,,,,
1626,1626,,FALSE,Mercuria Energy Trading SA,Mercuria Energy Trading SA,,,,,,,,,Mercuria Energy Trading SA,,,,
1625,1625,,FALSE,Mercuria Trading NV,Mercuria Trading NV,,,,,,,,,Mercuria Trading NV,,,,
1624,1624,,FALSE,Mercuria Energy Trading,Mercuria Energy Trading,,,,,,,,,Mercuria Energy Trading,,,,
1623,1623,,FALSE,Gunvor International,Gunvor International,,,,,,,,,Gunvor International,,,,
1622,1622,,FALSE,Glencore Energy UK,Glencore Energy UK,,,,,,,,,Glencore Energy UK,,,,
1621,1621,,FALSE,Calson (Bermuda) Limited,Calson (Bermuda) Limited,,,,,,,,,Calson (Bermuda) Limited,,,,
1620,1620,,FALSE,Hyson (Nigeria) Limited,Hyson (Nigeria) Limited,,,,,,,,,Hyson (Nigeria) Limited,,,,
1619,1619,,FALSE,Vitol Energy (Bermunda) Limited,Vitol Energy (Bermunda) Limited,,,,,,,,,Vitol Energy (Bermunda) Limited,,,,
1618,1618,,FALSE,Delaney Petroleum,Delaney Petroleum,,,,,,,,,Delaney Petroleum,,,,
1617,1617,,FALSE,Napoil (Bermuda) Limited,Napoil (Bermuda) Limited,,,,,,,,,Napoil (Bermuda) Limited,,,,
1616,1616,,FALSE,Trafigura Beheer BV,Trafigura Beheer BV,,,,,,,,,Trafigura Beheer BV,,,,
1615,1615,,FALSE,Elcrest Exploration and Production Nigeria Limited,Elcrest Exploration and Production Nigeria Limited,,,,,,,,,Elcrest Exploration and Production Nigeria Limited,,,,
1614,1614,,FALSE,Eland Oil and Gas Limited,Eland Oil and Gas Limited,,,,,,,,,Eland Oil and Gas Limited,,,,
1613,1613,,FALSE,Starcrest Nigeria Energy Limited,Starcrest Nigeria Energy Limited,,,,,,,,,Starcrest Nigeria Energy Limited,,,,
1612,1612,,FALSE,Morris Petroleum Limited,Morris Petroleum Limited,,,,,,,,,Morris Petroleum Limited,,,,
1611,1611,,FALSE,Walter Smith Petroman Oil Limited,Walter Smith Petroman Oil Limited,,,,,,,,,Walter Smith Petroman Oil Limited,,,,
1610,1610,,FALSE, Petroleum Development Company Limited, Petroleum Development Company Limited,,,,,,,,, Petroleum Development Company Limited,,,,
1609,1609,,FALSE,Petrolin International,Petrolin International,,,,,,,,,Petrolin International,,,,
1608,1608,,FALSE,Niger Delta Exploration and Production Plc,Niger Delta Exploration and Production Plc,,,,,,,,,Niger Delta Exploration and Production Plc,,,,
1607,1607,,FALSE,Lekoil Limited,Lekoil Limited,,,,,,,,,Lekoil Limited,,,,
1606,1606,,FALSE,Optimum Petroleum Development Limited,Optimum Petroleum Development Limited,,,,,,,,,Optimum Petroleum Development Limited,,,,
1605,1605,,FALSE,Arc Resources Limited,Arc Resources Limited,,,,,,,,,Arc Resources Limited,,,,
1604,1604,,FALSE,RFO Ventures Limited,RFO Ventures Limited,,,,,,,,,RFO Ventures Limited,,,,
1603,1603,,FALSE, Gas, Gas,,,,,,,,, Gas,,,,
1602,1602,,FALSE,Oando Exploration and Production Limited,Oando Exploration and Production Limited,,,,,,,"
Olufemi Adeyemo, Director
Boyo Omamofe, Director",,Oando Exploration and Production Limited,"Oando Plc (4,999,999)
Mrs. Oredeji Delano (1)",,,
1601,1601,,FALSE,Neconde Energy,Neconde Energy,,,,,,,,,Neconde Energy,,,,
1600,1600,,FALSE,First Hydrocarbon Nigeria Limited,First Hydrocarbon Nigeria Limited,,,,,,,,,First Hydrocarbon Nigeria Limited,,,,
1599,1599,,FALSE,Rayflosh Petroleum,Rayflosh Petroleum,,,,,,,,,Rayflosh Petroleum,,,,
1598,1598,,FALSE,Platform Petroleum Company Limited,Platform Petroleum Company Limited,,,,,,,,,Platform Petroleum Company Limited,,,,
1597,1597,,FALSE,Suntrust Oil Company Nigeria Limited,Suntrust Oil Company Nigeria Limited,,,,,,,,,Suntrust Oil Company Nigeria Limited,,,,
1596,1596,,FALSE,Midwestern Oil and Gas Company,Midwestern Oil and Gas Company,,,,,,,,,Midwestern Oil and Gas Company,,,,
1595,1595,,FALSE,Continental Oil and Gas Limited,Continental Oil and Gas Limited,,,,,,,"
Adenuga Mike, Director",,Continental Oil and Gas Limited,"
Adenuga Mike (20,000)",,,
1594,1594,,FALSE,EHRC Energy,EHRC Energy,,,,,,,,,EHRC Energy,,,,
1593,1593,,FALSE,Camac International Nigeria Limited,Camac International Nigeria Limited,,,,,,,"
Adegbemile Iyabo, Director
Busari Murhi, Director",,"Camac International Nigeria Limited, Camac International Limited","Camac Energy Ep Ltd (499,000)
Limota Lawal (1)",,,
1592,1592,,FALSE, Gas Worldwide Limited, Gas Worldwide Limited,,,,,,,,, Gas Worldwide Limited,,,,
1591,1591,,FALSE,Atlas Petroleum International Limited,Atlas Petroleum International Limited,,,,,,,"
Ibrahim Mohammed, Director",,Atlas Petroleum International Limited,"
Mr. Walter Chukwuzor Eze (8,160,000)",163530,163530,
1590,1590,,FALSE,New Tigerhead PSTI,New Tigerhead PSTI,,,,,,,,,New Tigerhead PSTI,,,,
1589,1589,,FALSE,Conoil Producing Unlimited,Conoil Producing Unlimited,,,,,,,"
Alhaji Sefiu Subair, Director
Chief (Mrs.) Oyindamola Adenuga, Director",,Conoil Producing Unlimited,"Dr. Adenuga Michael Jnr. (50,000)
Mr. Adenuga Michael (50,000)",,,
1588,1588,,FALSE,Petroleum Prospects International Limited,Petroleum Prospects International Limited,,,,,,,,,Petroleum Prospects International Limited,,,,
1587,1587,,FALSE,Allied Energy Plc,Allied Energy Plc,,,,,,,"
Uwechue-Mbanefo Sally Yuette, Director
Mortensen Martn, Director",,Allied Energy Plc,"Camac Energy Holding Limited (3,999,999,998)
Limota Asande (2)",,,
1586,1586,,FALSE, Production Company Limited, Production Company Limited,,,,,,,,, Production Company Limited,,,,
1585,1585,,FALSE,Express Petroleum and Gas Company Limited,Express Petroleum and Gas Company Limited,,,,,,,"
Alhaji Lawal Umar, Director",,Express Petroleum and Gas Company Limited,"
Ummalkahair Aminu Dantata (5,000,000)",154941,154941,
1584,1584,,FALSE,Addax Petroleum (Nigeria Offshore) Limited,Addax Petroleum (Nigeria Offshore) Limited,,,,,,,,,Addax Petroleum (Nigeria Offshore) Limited,,,,
1583,1583,,FALSE,Oriental Energy Resources Limited,Oriental Energy Resources Limited,,,,,,,,,Oriental Energy Resources Limited,,,,
1582,1582,,FALSE,Nexen Petroleum Nigeria Limited,Nexen Petroleum Nigeria Limited,,,,,,,,,Nexen Petroleum Nigeria Limited,,,,
1581,1581,,FALSE,Statoil ASA,Statoil ASA,,,,,,,,,Statoil ASA,,,,
1580,1580,,FALSE,Sapetro,Sapetro,,,,,,,,,Sapetro,,,,
1579,1579,,FALSE,Petrobras,Petrobras,,,,,,,,,Petrobras,,,,
1578,1578,,FALSE,China National Offshore Oil Corporation (CNOOC),China National Offshore Oil Corporation (CNOOC),,,,,,,,,China National Offshore Oil Corporation (CNOOC),,,,
1577,1577,,FALSE,C,C,,,,,,,,,C,,,,
1576,1576,,FALSE,AMEC Plc,AMEC Plc,,,,,,,,,AMEC Plc,,,,
1575,1575,,FALSE,Schlumberger Limited,Schlumberger Limited,,,,,,,,,Schlumberger Limited,,,,
1574,1574,,FALSE,Chevron Corporation,Chevron Corporation,,,,,,,,,Chevron Corporation,,,,
1573,1573,,FALSE,Addax Petroleum Corporation,Addax Petroleum Corporation,,,,,,,,,Addax Petroleum Corporation,,,,
1572,1572,,FALSE,Nigerian National Petroleum Corporation (NNPC),Nigerian National Petroleum Corporation (NNPC),,,,,,,,,Nigerian National Petroleum Corporation (NNPC),,,,
1571,1571,,FALSE,Nigeria LNG Limited,Nigeria LNG Limited,,,,,,,,,Nigeria LNG Limited,,,,
1570,1570,,FALSE,China Petrochemical Corporation,China Petrochemical Corporation,,,,,,,,,China Petrochemical Corporation,,,,
1569,1569,,FALSE,Total LNG Nigeria Limited,Total LNG Nigeria Limited,,,,,,,,,Total LNG Nigeria Limited,,,,
1568,1568,,FALSE, Electricite Holdings France, Electricite Holdings France,,,,,,,,, Electricite Holdings France,,,,
1567,1567,,FALSE,Total Exploration and Production Nigeria SAS,Total Exploration and Production Nigeria SAS,,,,,,,,,Total Exploration and Production Nigeria SAS,,,,
1566,1566,,FALSE,Mirror Lake Oil and Gas Company Limited,Mirror Lake Oil and Gas Company Limited,,,,,,,,,Mirror Lake Oil and Gas Company Limited,,,,
1565,1565,,FALSE, Production Corporation, Production Corporation,,,,,,,,, Production Corporation,,,,
1564,1564,,FALSE,Elf Aquitaine SA,Elf Aquitaine SA,,,,,,,,,Elf Aquitaine SA,,,,
1563,1563,,FALSE,Total Exploration and Production Holdings SAS,Total Exploration and Production Holdings SAS,,,,,,,,,Total Exploration and Production Holdings SAS,,,,
1562,1562,,FALSE,Total SA,Total SA,,,,,,,,,Total SA,,,,
1561,1561,,FALSE,The Shell Petroleum Company Limited,The Shell Petroleum Company Limited,,,,,,,,,The Shell Petroleum Company Limited,,,,
1560,1560,,FALSE,Shell International Limited,Shell International Limited,,,,,,,,,Shell International Limited,,,,
1559,1559,,FALSE,Shell Gas BV,Shell Gas BV,,,,,,,,,Shell Gas BV,,,,
1558,1558,,FALSE,Royal Dutch Shell Plc,Royal Dutch Shell Plc,,,,,,,,,Royal Dutch Shell Plc,,,,
1557,1557,,FALSE,Shell Petroleum NV,Shell Petroleum NV,,,,,,,,,Shell Petroleum NV,,,,
1556,1556,,FALSE,Eni International BV,Eni International BV,,,,,,,,,Eni International BV,,,,
1555,1555,,FALSE,Nigerian Agip Exploration (NAE),Nigerian Agip Exploration (NAE),,,,,,,,,Nigerian Agip Exploration (NAE),,,,
1554,1554,,FALSE,Eni SpA,Eni SpA,,,,,,,,,Eni SpA,,,,
1553,1553,,FALSE,Mobil Producing Nigeria Unlimited,Mobil Producing Nigeria Unlimited,,,,,,,,,Mobil Producing Nigeria Unlimited,,,,
1552,1552,,FALSE,ExxonMobil Corporation,ExxonMobil Corporation,,,,,,,,,ExxonMobil Corporation,,,,
1551,1551,,FALSE,Movido Nigeria Limited,Movido Nigeria Limited,,,,,,,,,Movido Nigeria Limited,,,,
1550,1550,,FALSE,Belbop Nigeria Limited,Belbop Nigeria Limited,,,,,,,,,Belbop Nigeria Limited,,,,
1549,1549,,FALSE,Dewayles International Limited,Dewayles International Limited,,,,,,,,,Dewayles International Limited,,,,
1548,1548,,FALSE,Newcross Petroleum Limited,Newcross Petroleum Limited,,,,,,,,,Newcross Petroleum Limited,,,,
1547,1547,,FALSE,National Petroleum Investment Management Services (NAPIMS),National Petroleum Investment Management Services (NAPIMS),,,,,,,,,National Petroleum Investment Management Services (NAPIMS),,,,
1546,1546,,FALSE,Bint and Prathel Limited,Bint and Prathel Limited,,,,,,,,,Bint and Prathel Limited,,,,
1545,1545,,FALSE,Inter Global Procurement Engineering Services Limited (IGPES),Inter Global Procurement Engineering Services Limited (IGPES),,,,,,,,,Inter Global Procurement Engineering Services Limited (IGPES),,,,
1544,1544,,FALSE,G. Cappa Plc,G. Cappa Plc,,,,,,,,,G. Cappa Plc,,,,
1543,1543,,FALSE,Nuova Cimi Montubi,Nuova Cimi Montubi,,,,,,,,,Nuova Cimi Montubi,,,,
1542,1542,,FALSE,NSKJ Nigeria Limited,NSKJ Nigeria Limited,,,,,,,,,NSKJ Nigeria Limited,,,,
