ID,Link (Data),Min or Max,mm-ssStar_Wars__Episode_I___The_Phantom_Menace,mm-ssStar_Wars__Episode_II___Attack_of_the_Clones,mm-ssStar_Wars__Episode_III___Revenge_of_the_Sith,mm-ssStar_Wars__Episode_IV___A_New_Hope,mm-ssStar_Wars__Episode_V___The_Empire_Strikes_Back,mm-ssStar_Wars__Episode_VI___Return_of_the_Jedi,mm-ssStar_Wars__Episode_VII___The_Force_Awakens,mm-ssStar_Wars__Episode_VIII___The_Last_Jedi,mm-ssStar_Wars__The_Rise_of_Skywalker,Step 1,Step 10,Step 11,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Total mm-ss,CalculationN,Path (Model),Rogue_One__A_Star_Wars_Story,Sigmoid,Solo__A_Star_Wars_Story,Star_Wars__Episode_I___The_Phantom_Menace,Star_Wars__Episode_II___Attack_of_the_Clones,Star_Wars__Episode_III___Revenge_of_the_Sith,Star_Wars__Episode_IV___A_New_Hope,Star_Wars__Episode_V___The_Empire_Strikes_Back,Star_Wars__Episode_VI___Return_of_the_Jedi,Star_Wars__Episode_VII___The_Force_Awakens,Star_Wars__Episode_VIII___The_Last_Jedi,Star_Wars__The_Rise_of_Skywalker,t (Model),Total
Thing 003,link,Max,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,50,,0.996827317,,120,255,165,1155,870,810,105,150,645,5.75,4275
Thing 002,link,Max,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,50,,0.996827317,,,,,,,,1140,915,1230,5.75,3285
Thing 001,link,Max,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,50,180,0.996827317,,1410,2880,3165,555,795,885,,,,5.75,9690
Thing 015,link,Max,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,51,,0.995929862,,210,585,705,,750,240,,120,,5.5,2610
Thing 014,link,Max,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,51,,0.995929862,,,,,,,,2580,1815,3345,5.5,7740
Thing 013,link,Max,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,51,,0.995929862,,435,315,300,1080,675,435,75,60,120,5.5,3495
Thing 012,link,Max,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,51,,0.995929862,,,,,,,,525,735,1545,5.5,2805
Thing 011,link,Max,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,51,,0.995929862,,1290,1935,1095,,,,,,,5.5,4320
Thing 010,link,Max,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,51,,0.995929862,,1275,2040,2235,1050,60,135,,,,5.5,6795
Thing 009,link,Max,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,51,,0.995929862,,,,45,2250,2085,2055,60,1275,165,5.5,7935
