Date,Price,,,,,
2020-08-02,11105.8,,,,,
2020-08-01,11803.1,,,,,
2020-07-31,11333.4,,,,,
2020-07-30,11096.2,,,,,
2020-07-29,11105.9,,,,,
2020-07-28,10908.5,,,,,
2020-07-27,11022.8,,,,,
2020-07-26,9932.5,,,,,
2020-07-25,9704.1,,,,,
2020-07-24,9546.4,,,,,
2020-07-23,9599.6,,,,,
2020-07-22,9513.7,,,,,
2020-07-21,9387.3,,,,,
2020-07-20,9162.4,,,,,
2020-07-19,9208,,,,,
2020-07-18,9170.2,,,,,
2020-07-17,9155.8,,,,,
2020-07-16,9135.3,,,,,
2020-07-15,9198.7,,,,,
2020-07-14,9253.4,,,,,
2020-07-13,9243.6,,,,,
2020-07-12,9300.8,,,,,
2020-07-11,9233.3,,,,,
2020-07-10,9285.1,,,,,
2020-07-09,9235.7,,,,,
2020-07-08,9429.9,,,,,
2020-07-07,9256,,,,,
2020-07-06,9339,,,,,
2020-07-05,9081,,,,,
2020-07-04,9134.4,,,,,
2020-07-03,9067.1,,,,,
2020-07-02,9085.1,,,,,
2020-07-01,9229.9,,,,,
2020-06-30,9135.4,,,,,
2020-06-29,9185.4,,,,,
2020-06-28,9124,,,,,
2020-06-27,9008.3,,,,,
2020-06-26,9160,,,,,
2020-06-25,9247.5,,,,,
2020-06-24,9302,,,,,
2020-06-23,9624.6,,,,,
2020-06-22,9683.7,,,,,
2020-06-21,9296.4,,,,,
2020-06-20,9358.8,,,,,
2020-06-19,9314,,,,,
2020-06-18,9388.1,,,,,
2020-06-17,9464.6,,,,,
2020-06-16,9523.5,,,,,
2020-06-15,9425.4,,,,,
2020-06-14,9345.3,,,,,
2020-06-13,9471.3,,,,,
2020-06-12,9466.6,,,,,
2020-06-11,9283.2,,,,,
2020-06-10,9878.8,,,,,
2020-06-09,9768.8,,,,,
2020-06-08,9777.9,,,,,
2020-06-07,9742.6,,,,,
2020-06-06,9669.6,,,,,
2020-06-05,9631.2,,,,,
2020-06-04,9794.4,,,,,
2020-06-03,9667.2,,,,,
2020-06-02,9527.6,,,,,
2020-06-01,10189.3,,,,,
2020-05-31,9454.8,,,,,
2020-05-30,9692.5,,,,,
2020-05-29,9424.8,,,,,
2020-05-28,9572.2,,,,,
2020-05-27,9199.1,,,,,
2020-05-26,8842.5,,,,,
2020-05-25,8898.2,,,,,
2020-05-24,8728.2,,,,,
2020-05-23,9177,,,,,
2020-05-22,9169.7,,,,,
2020-05-21,9059,,,,,
2020-05-20,9512.3,,,,,
2020-05-19,9773.3,,,,,
2020-05-18,9730.7,,,,,
2020-05-17,9677.7,,,,,
2020-05-16,9379.5,,,,,
2020-05-15,9318,,,,,
2020-05-14,9778.4,,,,,
2020-05-13,9298.7,,,,,
2020-05-12,8813.8,,,,,
2020-05-11,8579.8,,,,,
2020-05-10,8738.8,,,,,
2020-05-09,9554.6,,,,,
2020-05-08,9806.2,,,,,
2020-05-07,9979.8,,,,,
2020-05-06,9151.4,,,,,
2020-05-05,9001,,,,,
2020-05-04,8874.7,,,,,
2020-05-03,8885.5,,,,,
2020-05-02,8966.3,,,,,
2020-05-01,8821.6,,,,,
2020-04-30,8629,,,,,
2020-04-29,8770.9,,,,,
2020-04-28,7746.9,,,,,
2020-04-27,7766,,,,,
2020-04-26,7678.9,,,,,
2020-04-25,7540.4,,,,,
2020-04-24,7503.8,,,,,
2020-04-23,7488.5,,,,,
2020-04-22,7112.9,,,,,
2020-04-21,6842.5,,,,,
2020-04-20,6833.5,,,,,
2020-04-19,7122.9,,,,,
2020-04-18,7230.8,,,,,
2020-04-17,7035.8,,,,,
2020-04-16,7085.6,,,,,
2020-04-15,6629.1,,,,,
2020-04-14,6850.9,,,,,
2020-04-13,6841.3,,,,,
2020-04-12,6917.6,,,,,
2020-04-11,6867.8,,,,,
2020-04-10,6863.1,,,,,
2020-04-09,7289,,,,,
2020-04-08,7361.2,,,,,
2020-04-07,7185.2,,,,,
2020-04-06,7332.3,,,,,
2020-04-05,6772.7,,,,,
2020-04-04,6857.4,,,,,
2020-04-03,6735.9,,,,,
2020-04-02,6800.5,,,,,
2020-04-01,6638.5,,,,,
2020-03-31,6412.5,,,,,
2020-03-30,6391,,,,,
2020-03-29,5890.4,,,,,
2020-03-28,6233.7,,,,,
2020-03-27,6373.4,,,,,
2020-03-26,6725.1,,,,,
2020-03-25,6678.9,,,,,
2020-03-24,6744.6,,,,,
2020-03-23,6468.9,,,,,
2020-03-22,5822.1,,,,,
2020-03-21,6186.2,,,,,
2020-03-20,6205.3,,,,,
2020-03-19,6172,,,,,
2020-03-18,5361.4,,,,,
2020-03-17,5261.1,,,,,
2020-03-16,5030,,,,,
2020-03-15,5366.3,,,,,
2020-03-14,5182.7,,,,,
2020-03-13,5584.3,,,,,
2020-03-12,4826,,,,,
2020-03-11,7935.1,,,,,
2020-03-10,7891.2,,,,,
2020-03-09,7933,,,,,
2020-03-08,8034.1,,,,,
2020-03-07,8887.8,,,,,
2020-03-06,9134.8,,,,,
2020-03-05,9060.3,,,,,
2020-03-04,8757.9,,,,,
2020-03-03,8761.4,,,,,
2020-03-02,8904.8,,,,,
2020-03-01,8540,,,,,
2020-02-29,8543.7,,,,,
2020-02-28,8697.5,,,,,
2020-02-27,8818.6,,,,,
2020-02-26,8800.3,,,,,
2020-02-25,9317.2,,,,,
2020-02-24,9662.7,,,,,
2020-02-23,9942.7,,,,,
2020-02-22,9655.7,,,,,
2020-02-21,9684.5,,,,,
2020-02-20,9602.4,,,,,
2020-02-19,9609.4,,,,,
2020-02-18,10158.4,,,,,
2020-02-17,9701.4,,,,,
2020-02-16,9932.3,,,,,
2020-02-15,9907.7,,,,,
2020-02-14,10333,,,,,
2020-02-13,10235.1,,,,,
2020-02-12,10317.7,,,,,
2020-02-11,10229.5,,,,,
2020-02-10,9854.1,,,,,
2020-02-09,10151.5,,,,,
2020-02-08,9895.5,,,,,
2020-02-07,9818.6,,,,,
2020-02-06,9772,,,,,
2020-02-05,9611.8,,,,,
2020-02-04,9193.9,,,,,
2020-02-03,9296.6,,,,,
2020-02-02,9334.9,,,,,
2020-02-01,9381.6,,,,,
2020-01-31,9349.1,,,,,
2020-01-30,9507.3,,,,,
2020-01-29,9298.9,,,,,
2020-01-28,9377.3,,,,,
2020-01-27,8866.6,,,,,
2020-01-26,8607.8,,,,,
2020-01-25,8341.6,,,,,
2020-01-24,8439.9,,,,,
2020-01-23,8405.1,,,,,
2020-01-22,8678.5,,,,,
2020-01-21,8732.6,,,,,
2020-01-20,8641.9,,,,,
2020-01-19,8706.2,,,,,
2020-01-18,8916.3,,,,,
2020-01-17,8913.1,,,,,
2020-01-16,8726.9,,,,,
2020-01-15,8818.3,,,,,
2020-01-14,8829.2,,,,,
2020-01-13,8111.4,,,,,
2020-01-12,8187.6,,,,,
2020-01-11,8024.1,,,,,
2020-01-10,8187.1,,,,,
2020-01-09,7842.4,,,,,
2020-01-08,8059.6,,,,,
2020-01-07,8155.7,,,,,
2020-01-06,7759.1,,,,,
2020-01-05,7372.5,,,,,
2020-01-04,7376.8,,,,,
2020-01-03,7343.1,,,,,
2020-01-02,6967,,,,,
2020-01-01,7199.8,,,,,
2019-12-31,7196.4,,,,,
2019-12-30,7261.8,,,,,
2019-12-29,7397.5,,,,,
2019-12-28,7321.5,,,,,
2019-12-27,7261.7,,,,,
2019-12-26,7210.9,,,,,
2019-12-25,7224.8,,,,,
2019-12-24,7268.3,,,,,
2019-12-23,7322.8,,,,,
2019-12-22,7495.8,,,,,
2019-12-21,7156.2,,,,,
2019-12-20,7196.4,,,,,
2019-12-19,7165.5,,,,,
2019-12-18,7276,,,,,
2019-12-17,6613.3,,,,,
2019-12-16,6903.5,,,,,
2019-12-15,7128.5,,,,,
2019-12-14,7080.8,,,,,
2019-12-13,7255.2,,,,,
2019-12-12,7208,,,,,
2019-12-11,7208,,,,,
2019-12-10,7235.7,,,,,
2019-12-09,7355.8,,,,,
2019-12-08,7524.4,,,,,
2019-12-07,7510.9,,,,,
2019-12-06,7530.8,,,,,
2019-12-05,7399.2,,,,,
2019-12-04,7204.4,,,,,
2019-12-03,7291.8,,,,,
2019-12-02,7298.2,,,,,
2019-12-01,7396.4,,,,,
2019-11-30,7546.6,,,,,
2019-11-29,7742.7,,,,,
2019-11-28,7426.7,,,,,
2019-11-27,7510.6,,,,,
2019-11-26,7162.8,,,,,
2019-11-25,7115.6,,,,,
2019-11-24,6924.7,,,,,
2019-11-23,7324.1,,,,,
2019-11-22,7272.5,,,,,
2019-11-21,7627.9,,,,,
2019-11-20,8099.3,,,,,
2019-11-19,8145.7,,,,,
2019-11-18,8208.4,,,,,
2019-11-17,8509.8,,,,,
2019-11-16,8497.3,,,,,
2019-11-15,8476.3,,,,,
2019-11-14,8661.2,,,,,
2019-11-13,8783.1,,,,,
2019-11-12,8812.6,,,,,
2019-11-11,8736.9,,,,,
2019-11-10,9036.8,,,,,
2019-11-09,8804.5,,,,,
2019-11-08,8778.2,,,,,
2019-11-07,9223.5,,,,,
2019-11-06,9338.9,,,,,
2019-11-05,9310.8,,,,,
2019-11-04,9396.4,,,,,
2019-11-03,9198.3,,,,,
2019-11-02,9300.6,,,,,
2019-11-01,9230.1,,,,,
2019-10-31,9152.6,,,,,
2019-10-30,9157.9,,,,,
2019-10-29,9411.3,,,,,
2019-10-28,9207.2,,,,,
2019-10-27,9529.6,,,,,
2019-10-26,9230.6,,,,,
2019-10-25,8658.3,,,,,
2019-10-24,7422.7,,,,,
2019-10-23,7477,,,,,
2019-10-22,8031.4,,,,,
2019-10-21,8208.2,,,,,
2019-10-20,8223.4,,,,,
2019-10-19,7957.3,,,,,
2019-10-18,7948.5,,,,,
2019-10-17,8073.3,,,,,
2019-10-16,8000.4,,,,,
2019-10-15,8167.2,,,,,
2019-10-14,8353.3,,,,,
2019-10-13,8281.5,,,,,
2019-10-12,8304.4,,,,,
2019-10-11,8267.8,,,,,
2019-10-10,8562.3,,,,,
2019-10-09,8566.7,,,,,
2019-10-08,8182.9,,,,,
2019-10-07,8198.6,,,,,
2019-10-06,7881.9,,,,,
2019-10-05,8127.3,,,,,
2019-10-04,8148.1,,,,,
2019-10-03,8226.9,,,,,
2019-10-02,8364.1,,,,,
2019-10-01,8302.7,,,,,
2019-09-30,8284.3,,,,,
2019-09-29,8049.1,,,,,
2019-09-28,8208.5,,,,,
2019-09-27,8184.9,,,,,
2019-09-26,8063.8,,,,,
2019-09-25,8432.4,,,,,
2019-09-24,8513.9,,,,,
2019-09-23,9702.2,,,,,
2019-09-22,10031.6,,,,,
2019-09-21,9993,,,,,
2019-09-20,10172.7,,,,,
2019-09-19,10250.5,,,,,
2019-09-18,10164.7,,,,,
2019-09-17,10195.7,,,,,
2019-09-16,10255.5,,,,,
2019-09-15,10311.5,,,,,
2019-09-14,10337.3,,,,,
2019-09-13,10342.1,,,,,
2019-09-12,10415.1,,,,,
2019-09-11,10162.5,,,,,
2019-09-10,10105.4,,,,,
2019-09-09,10309,,,,,
2019-09-08,10402.8,,,,,
2019-09-07,10461.1,,,,,
2019-09-06,10309.3,,,,,
2019-09-05,10566.9,,,,,
2019-09-04,10568.2,,,,,
2019-09-03,10612.3,,,,,
2019-09-02,10348.8,,,,,
2019-09-01,9729.3,,,,,
2019-08-31,9594.4,,,,,
2019-08-30,9585.4,,,,,
2019-08-29,9491,,,,,
2019-08-28,9729.4,,,,,
2019-08-27,10184.8,,,,,
2019-08-26,10371.8,,,,,
2019-08-25,10136.3,,,,,
2019-08-24,10131,,,,,
2019-08-23,10388.7,,,,,
2019-08-22,10105,,,,,
2019-08-21,10141.5,,,,,
2019-08-20,10752.6,,,,,
2019-08-19,10910.7,,,,,
2019-08-18,10312.7,,,,,
2019-08-17,10218.1,,,,,
2019-08-16,10335.6,,,,,
2019-08-15,10303.4,,,,,
2019-08-14,10049.4,,,,,
2019-08-13,10892.9,,,,,
2019-08-12,11394.2,,,,,
2019-08-11,11517.2,,,,,
2019-08-10,11314.5,,,,,
2019-08-09,12089.8,,,,,
2019-08-08,12191.6,,,,,
2019-08-07,12013.9,,,,,
2019-08-06,11480.9,,,,,
2019-08-05,11816.8,,,,,
2019-08-04,10934.6,,,,,
2019-08-03,10815.7,,,,,
2019-08-02,10520.1,,,,,
2019-08-01,10380,,,,,
2019-07-31,10082,,,,,
2019-07-30,9580.7,,,,,
2019-07-29,9580.9,,,,,
2019-07-28,9727.8,,,,,
2019-07-27,9492.1,,,,,
2019-07-26,9831,,,,,
2019-07-25,9945.3,,,,,
2019-07-24,9804.3,,,,,
2019-07-23,9888.7,,,,,
2019-07-22,10412.5,,,,,
2019-07-21,10714.4,,,,,
2019-07-20,10826.7,,,,,
2019-07-19,10571.5,,,,,
2019-07-18,10651.4,,,,,
2019-07-17,9723.2,,,,,
2019-07-16,9424.8,,,,,
2019-07-15,10845.9,,,,,
2019-07-14,10200.1,,,,,
2019-07-13,11364.9,,,,,
2019-07-12,11762.1,,,,,
2019-07-11,11342.3,,,,,
2019-07-10,12110.6,,,,,
2019-07-09,12541.5,,,,,
2019-07-08,12252.6,,,,,
2019-07-07,11415.9,,,,,
2019-07-06,11268,,,,,
2019-07-05,10970.2,,,,,
2019-07-04,11163.1,,,,,
2019-07-03,11900.8,,,,,
2019-07-02,10835.9,,,,,
2019-07-01,10616.6,,,,,
2019-06-30,10818.6,,,,,
2019-06-29,11906.5,,,,,
2019-06-28,12409.1,,,,,
2019-06-27,11287.8,,,,,
2019-06-26,13063.8,,,,,
2019-06-25,11809.9,,,,,
2019-06-24,11046.4,,,,,
2019-06-23,10897.1,,,,,
2019-06-22,10721.7,,,,,
2019-06-21,10179.3,,,,,
2019-06-20,9517,,,,,
2019-06-19,9255.4,,,,,
2019-06-18,9080.6,,,,,
2019-06-17,9318.8,,,,,
2019-06-16,8962.5,,,,,
2019-06-15,8812.5,,,,,
2019-06-14,8656.1,,,,,
2019-06-13,8219,,,,,
2019-06-12,8133.1,,,,,
2019-06-11,7888,,,,,
2019-06-10,7987.8,,,,,
2019-06-09,7635,,,,,
2019-06-08,7901.4,,,,,
2019-06-07,7985.2,,,,,
2019-06-06,7784.9,,,,,
2019-06-05,7779.1,,,,,
2019-06-04,7685.5,,,,,
2019-06-03,8124.8,,,,,
2019-06-02,8728.6,,,,,
2019-06-01,8545.7,,,,,
2019-05-31,8558.3,,,,,
2019-05-30,8271.9,,,,,
2019-05-29,8647.8,,,,,
2019-05-28,8716.3,,,,,
2019-05-27,8760.1,,,,,
2019-05-26,8630.2,,,,,
2019-05-25,8027.4,,,,,
2019-05-24,7970.1,,,,,
2019-05-23,7852.1,,,,,
2019-05-22,7635.7,,,,,
2019-05-21,7930.3,,,,,
2019-05-20,7965.3,,,,,
2019-05-19,8157.2,,,,,
2019-05-18,7262.6,,,,,
2019-05-17,7359.5,,,,,
2019-05-16,7871.8,,,,,
2019-05-15,8164.6,,,,,
2019-05-14,7994.6,,,,,
2019-05-13,7806,,,,,
2019-05-12,6984.8,,,,,
2019-05-11,7190.3,,,,,
2019-05-10,6386,,,,,
2019-05-09,6191.5,,,,,
2019-05-08,5990.3,,,,,
2019-05-07,5849.5,,,,,
2019-05-06,5745.1,,,,,
2019-05-05,5774.9,,,,,
2019-05-04,5830.9,,,,,
