Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.20355988,,,,,,,,,,98.35244751,,,,,,,,,
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,69.75350952,,,,,,,,,,84.01383209,,,,,,,,,,86.54873657,,,,,,,,,90.97740173,,,,,,97.06668091,97.40389252,97.46418762,,
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.063591,,,,,,,,,96.6631012,,,,,,,,,,,98.14203644,,96.99176788,,,,,,,
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.88336945,,,,,,,,,,99.59072876,,,,,,,,,,99.6170578,,,,,,,,,99.75656128,,
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.29842377,,,,,,,,,76.90297699,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.20814896,,,,,,,,,,,,,,,,79.99176788,,,,,,,,,86.72367096,,,,,,90.74346924,90.69811249,91.16783142,,92.22615051,94.46057129,,,92.45507813,,,,,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,74.58673096,,,,,,,,,,,,,,,,,,,,86.36788177,,,,88.61624146,,89.61522675,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,,
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,99.26808167,,,,,,,,,,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,77.73549652,,,,,,,,,,87.80417633,,,,,,,,,,92.67112732,,,,,,,,,,96.08556366,,,,,,,97.21411133,,
