Current_Official_Name_of_Satellite,Country_Org_of_UN_Registry,Country_of_Operator_Owner,Operator_Owner,Users,Purpose,Detailed_Purpose,Class_of_Orbit,Type_of_Orbit,Longitude_of_GEO_in_Degrees,Perigee_in_Km,Apogee_Km,Eccentricity,Inclination_in_Degrees,Period_in_Minutes,Launch_Mass_in_Kg,Dry_Mass_in_Kg,Power_in_Watts,Date_of_Launch,Expected_Lifetime_Yrs,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Source Used for Orbital Data
1HOPSAT,NR (12/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0.00,566,576,0.00,36.90,96.08,22,,,12/11/2019,0.50,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859,JMSatcat/3_20
3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0.00,476,500,0.00,97.40,95.00,4,,,11/29/2018,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Estimated
Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,,LEO,,0.00,497,517,0.00,97.45,94.70,5,,4.5,6/23/2017,2.00,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,JMSatcat/10_17
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,442,687,0.02,98.20,95.90,1,,,4/25/2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Space50
ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,35778,35793,0.00,0.08,1436.03,6330,,"16,000",2/6/2014,15.00,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,ZARYA
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.00,35700,35700,0.00,0.00,1436.10,1800,,,6/15/2016,15.00,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,Estimated
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3.00,35788,35803,0.00,0.10,1436.00,2000,,,3/2/2015,15.00,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,
ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,35780,35793,0.00,0.01,1436.10,4143,1700,"7,400",3/13/2004,12.00,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,JM/12_08
ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.00,35777,35794,0.00,0.01,1436.08,2894,1730,"6,800 (EOL)",9/26/1999,15.00,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,JM/12_08
ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,35780,35791,0.00,0.01,1436.06,3500,1800,"4,800",9/4/1999,15.00,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,JM/12_08
USA 311,NR (12/20),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,,35700,35800,0.00,0.00,1437.60,5400,,,12/11/2020,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2020-095A,47237,Estimated
USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26.00,35560,36013,0.01,7.72,1436.14,5200,,,5/9/1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,JM/12_08
USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,68.00,35589,35984,0.00,3.20,1436.10,5200,,,9/9/2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,JM/12_08
USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44.00,35714,35937,0.00,2.89,1438.80,5400,,,1/18/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,SC - ASCR
USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.00,35500,35500,0.00,0.00,1436.00,5000,,,11/21/2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,SC - ASCR
USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60.00,35771,35805,0.00,0.00,1436.10,5000,,,6/29/2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,CalSky
USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.60,35613,35903,0.00,7.51,1437.19,5000,,,6/11/2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ZARYA
USA 235,USA,USA,US Air Force,Military,Communications,,GEO,,-120.00,35772,35801,0.00,2.34,1436.10,6169,,,5/3/2012,14.00,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,ZARYA
USA 246,NR,USA,US Air Force,Military,Communications,,GEO,,152.10,35700,35803,0.00,4.20,1436.10,6169,,,9/18/2013,14.00,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,ZARYA
USA 288,USA,USA,US Air Force,Military,Communications,,GEO,,150.20,35781,35790,0.00,0.05,1436.10,6169,,,10/17/2018,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,JMGEO/11_19)
USA 292,USA,USA,US Air Force,Military,Communications,,GEO,,-94.39,35780,35810,0.00,6.40,1436.20,6169,,,8/8/2019,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,JMGEO/11_19)
USA 298,USA,USA,US Air Force ,Military,Communications,,GEO,,0.00,35780,35780,0.00,0.00,1436.00,6169,,,3/26/2020,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,Estimated
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0.00,480,790,0.02,0.02,97.40,3,,,9/13/2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,ZARYA
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0.00,314,317,0.00,96.70,92.40,1367,,,8/22/2018,3.00,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,JMSatcat/11_18
Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,469,481,0.00,51.60,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,JMSatcat/11_19
Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,471,483,0.00,51.60,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,JMSatcat/11_19
Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.00,495,511,0.00,85.03,94.60,4,,,12/17/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,JMSatcat/3_19
Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.00,492,511,0.00,85.30,94.60,4,,,12/17/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,JMSatcat/3_19
Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,481,487,0.00,51.60,94.20,4,,,7/16/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,JMSatcat/3_19
Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,481,487,0.00,51.60,94.20,4,,,7/16/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,JMSatcat/3_19
Aerocube 14A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.00,459,474,0.00,51.60,93.90,,,,1/31/2020,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114,JMSatcat/3_20
Aerocube 14B,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.00,459,474,0.00,51.60,93.90,,,,1/31/2020,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116,JMSatcat/3_20
Aerocube 15A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.00,458,474,0.00,51.60,93.90,,,,1/31/2020,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117,JMSatcat/3_20
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,500,802,0.02,64.78,97.74,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,JR/12_15
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,614,700,0.01,97.98,97.88,5,,,6/19/2014,3.00,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,ZARYA
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,614,700,0.01,97.98,97.88,5,,,6/19/2014,3.00,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,ZARYA
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,500,802,0.02,64.60,97.40,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,JM/12_15
Aerocube 7B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,432,437,0.00,53.60,93.20,2,,,11/12/2017,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071F,43042,JMSatcat/7_20
Aerocube 7C,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,432,437,0.00,53.60,93.20,2,,,11/12/2017,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071G,43043,JMSatcat/7_20
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,356,700,0.02,55.00,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,JM/8_15
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,356,700,0.02,55.00,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,JM/8_15
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,569,584,0.00,97.90,96.20,5,,,11/11/2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067F,41853,JMSatcat/7_20
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,572,584,0.00,98.00,96.23,2,,,11/11/2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,prehled druzic
Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,48.00,35764,35808,0.00,0.12,1436.08,3460,1555,"7,000",12/20/2008,15.00,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,JM/12_08
AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.00,544,552,0.00,97.90,96.20,215,197,216,4/25/2007,2.00,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,www.satellitedebris.net 12/12
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,643,660,0.00,98.25,97.76,14,,,6/30/2014,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,ZARYA
AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,615,632,0.00,98.00,97.20,6,,,7/12/2010,3.00,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,www.satellitedebris.net 12/12
AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,625,631,0.00,98.40,97.27,6,,,7/8/2014,3.00,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,ZARYA
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Polar,0.00,599,626,0.00,82.40,96.90,,,,12/28/2013,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,ZARYA
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Non-Polar Inclined,0.00,558,582,0.00,64.88,96.06,53,,,4/19/2013,3.00,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,
AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Sun-Synchronous,0.00,471,486,0.00,97.28,94.18,531,,,4/27/2016,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,Space50
AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,574,592,0.00,97.80,96.40,3,,,12/3/2018,,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,JMSatcat/3_19
AISTechSat-3,Spain,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,490,506,0.00,97.50,94.60,2,,,4/1/2019,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,JMSatcat/11_19
Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,GEO,,-20.00,35777,35796,0.00,0.00,1436.00,3795,,,1/25/2018,15.00,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,JMGEO/5_18
Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,,GEO,,-24.80,35744,35798,0.00,0.04,1436.10,5225,,,12/10/2017,15.00,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,JMGEO/3_18
ALE-2,NR (12/20),Japan,Astro Live Experiences,Commercial,Earth Science,,LEO,Sun-Synchronous,0.00,397,414,0.00,97.01,92.06,75,,,12/6/2019,,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,JMSatcat/3_20
Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,573,589,0.00,97.70,96.20,4,,,12/3/2018,,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,JMSatcat/3_19
ALiCE,NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0.00,443,886,0.03,120.30,98.00,5,,,12/6/2013,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,ZARYA estimated
Alsat-2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,646,660,0.00,98.20,97.70,117,,,9/26/2016,5.00,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,JMSatcat/12_16
Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,661,704,0.00,98.20,98.40,103,,,9/26/2016,5.00,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,JMSatcat/12_16
AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0.00,661,698,0.00,98.20,98.30,10,,,9/26/2016,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,JMSatcat/12_16
Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,672,674,0.00,98.10,98.20,130,,,7/12/2010,5.00,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,www.satellitedebris.net 12/12
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,35767,35805,0.00,0.03,1436.08,5465,,"15,300",10/1/2009,15.00,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,JM/12_09
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,35781,35791,0.00,0.03,1436.05,6265,2778,"14,000",2/7/2013,15.00,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,SC - ASCR
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,35784,35795,0.00,0.08,1436.24,2938,,,3/22/2014,15.00,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,SC - ASCR
Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.00,35785,35789,0.00,0.04,1436.11,5900,,,9/12/2017,15.00,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,JM/3_18
AMC-1,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-129.15,35772,35800,0.00,0.03,1436.10,2783,1600,"6,500 (EOL)",9/8/1996,15.00,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,JM/12_08
AMC-11,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-130.93,35774,35797,0.00,0.04,1436.07,2340,2316,"6,500 (EOL)",5/19/2004,15.00,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,JM/12_08
AMC-15,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-105.04,35777,35795,0.00,0.04,1436.08,4200,,,10/14/2004,15.00,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,JM/12_08
AMC-16,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-84.98,35780,35793,0.00,0.02,1436.10,4312,,,12/17/2004,15.00,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,JM/12_08
AMC-18,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-104.97,35773,35800,0.00,0.06,1436.10,2081,918,,12/8/2006,15.00,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,JM/12_08
AMC-2,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-100.98,35774,35798,0.00,0.05,1436.10,2648,1600,"6,500 (EOL)",1/30/1997,15.00,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,JM/12_08
AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,,GEO,,-124.86,35778,35793,0.00,3.00,1436.10,2500,,"5,000",8/14/2008,15.00,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,JM/12_08
AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communications,,GEO,,-100.99,35781,35791,0.00,0.01,1436.10,3909,2500,,11/13/1999,15.00,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,JM/12_08
AMC-6,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-71.98,35778,35795,0.00,0.05,1436.12,3901,2500,,10/22/2000,15.00,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,JM/12_08
AMC-8,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-139.00,35773,35798,0.00,0.03,1436.07,2015,919,"3,300",12/19/2000,15.00,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,JM/12_08
AmGU-1,Russia,Russia,Moscow State University,Civil,Space Science,,LEO,Sun-Synchronous,0.00,514,547,0.00,97.50,95.20,4,,,7/5/2019,,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,
Amos 17,NR (12/20),Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,17.00,35777,35793,0.00,0.00,1436.04,6500,,,8/6/2019,20.00,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,JMGEO/11_19)
Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,-3.99,35783,35789,0.00,0.04,1436.10,,,,4/28/2008,12.00,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,JM/12_08
Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,65.00,35633,35796,0.00,0.01,1432.00,,,,8/31/2013,12.00,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,
Amsat-Oscar 7,USA,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,0.00,1440,1459,0.00,101.40,114.90,29,,,11/15/1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,www.satellitedebris.net 12/12
ANASIS-II,NR (12/20),South Korea,Agency for Defense Development,Military,Communications,,GEO,,115.90,35781,35792,0.00,0.01,1436.10,,,,7/20/2020,15.00,Airbus Defense and Space,France/UK/Germany/Spain,Cape Canaveral,Falcon 9,2020-048A,45920,ZARYA
ANDESITE Mule,USA,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,LEO,Sun-Synchronous,0.00,582,600,0.00,97.70,96.50,9,,,6/13/2020,,Boston University,USA,Rocket Lab Launch Complex 1,Electron,2020-037D,45726,JMSatcat/7_20
ANGELS,France,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,LEO,Sun-Synchronous,0.00,509,524,0.00,97.40,94.90,18,,,12/18/2019,,CNES ,ESA,Guiana Space Center,Soyuz,2019-092D,44876,JMSatcat/3_20
Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,35778,35793,0.00,0.02,1436.08,4710,2950,"15,500 (EOL)",11/21/2000,15.00,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,JM/12_08
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.30,35777,35795,0.00,0.02,1436.10,4500,,"10,000",9/9/2005,15.00,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,JM/12_08
Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,35781,35790,0.00,0.01,1436.08,5910,3805,"16,000",7/18/2004,15.00,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,JM/12_08
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,35778,35794,0.00,0.01,1436.10,4715,,"17,500",4/9/2007,15.00,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,JM/12_08
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.30,35773,35799,0.00,0.01,1436.08,4905,,"17,500",4/15/2013,15.00,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,SC - ASCR
Aoba-VELOX 4,NR,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,LEO,Sun-Synchronous,0.00,481,513,0.00,97.30,94.60,3,,,1/18/2019,,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon,2019-003J,43940,JMSatcat/3_19
AprizeSat 1,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0.00,696,764,0.00,98.00,99.40,12,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025G,28372,www.satellitedebris.net 12/12
AprizeSat 10,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,613,733,0.01,97.90,98.00,12,12,,6/19/2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,ZARYA
AprizeSat 2,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0.00,694,850,0.01,98.20,100.30,12,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025A,28366,www.satellitedebris.net 12/12
AprizeSat 3,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,559,662,0.01,98.18,97.00,12,12,,7/29/2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,www.satellitedebris.net 12/12
AprizeSat 4,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,604,674,0.00,98.10,97.50,12,12,,7/29/2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,www.satellitedebris.net 12/12
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,610,694,0.01,98.20,97.80,12,12,,8/17/2011,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2011-044E,37792,www.satellitedebris.net 12/12
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,594,653,0.00,97.80,97.17,12,12,,11/21/2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,ZARYA
AprizeSat 8,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,594,669,0.01,97.80,97.99,12,12,,11/21/2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,ZARYA
