"symbol","date","price","pmms30","year"
"MORTGAGE30US",2010-01-07,5.09,5.09,2010
"MORTGAGE30US",2010-01-14,5.06,5.06,2010
"MORTGAGE30US",2010-01-21,4.99,4.99,2010
"MORTGAGE30US",2010-01-28,4.98,4.98,2010
"MORTGAGE30US",2010-02-04,5.01,5.01,2010
"MORTGAGE30US",2010-02-11,4.97,4.97,2010
"MORTGAGE30US",2010-02-18,4.93,4.93,2010
"MORTGAGE30US",2010-02-25,5.05,5.05,2010
"MORTGAGE30US",2010-03-04,4.97,4.97,2010
"MORTGAGE30US",2010-03-11,4.95,4.95,2010
"MORTGAGE30US",2010-03-18,4.96,4.96,2010
"MORTGAGE30US",2010-03-25,4.99,4.99,2010
"MORTGAGE30US",2010-04-01,5.08,5.08,2010
"MORTGAGE30US",2010-04-08,5.21,5.21,2010
"MORTGAGE30US",2010-04-15,5.07,5.07,2010
"MORTGAGE30US",2010-04-22,5.07,5.07,2010
"MORTGAGE30US",2010-04-29,5.06,5.06,2010
"MORTGAGE30US",2010-05-06,5,5,2010
"MORTGAGE30US",2010-05-13,4.93,4.93,2010
"MORTGAGE30US",2010-05-20,4.84,4.84,2010
"MORTGAGE30US",2010-05-27,4.78,4.78,2010
"MORTGAGE30US",2010-06-03,4.79,4.79,2010
"MORTGAGE30US",2010-06-10,4.72,4.72,2010
"MORTGAGE30US",2010-06-17,4.75,4.75,2010
"MORTGAGE30US",2010-06-24,4.69,4.69,2010
"MORTGAGE30US",2010-07-01,4.58,4.58,2010
"MORTGAGE30US",2010-07-08,4.57,4.57,2010
"MORTGAGE30US",2010-07-15,4.57,4.57,2010
"MORTGAGE30US",2010-07-22,4.56,4.56,2010
"MORTGAGE30US",2010-07-29,4.54,4.54,2010
"MORTGAGE30US",2010-08-05,4.49,4.49,2010
"MORTGAGE30US",2010-08-12,4.44,4.44,2010
"MORTGAGE30US",2010-08-19,4.42,4.42,2010
"MORTGAGE30US",2010-08-26,4.36,4.36,2010
"MORTGAGE30US",2010-09-02,4.32,4.32,2010
"MORTGAGE30US",2010-09-09,4.35,4.35,2010
"MORTGAGE30US",2010-09-16,4.37,4.37,2010
"MORTGAGE30US",2010-09-23,4.37,4.37,2010
"MORTGAGE30US",2010-09-30,4.32,4.32,2010
"MORTGAGE30US",2010-10-07,4.27,4.27,2010
"MORTGAGE30US",2010-10-14,4.19,4.19,2010
"MORTGAGE30US",2010-10-21,4.21,4.21,2010
"MORTGAGE30US",2010-10-28,4.23,4.23,2010
"MORTGAGE30US",2010-11-04,4.24,4.24,2010
"MORTGAGE30US",2010-11-11,4.17,4.17,2010
"MORTGAGE30US",2010-11-18,4.39,4.39,2010
"MORTGAGE30US",2010-11-24,4.4,4.4,2010
"MORTGAGE30US",2010-12-02,4.46,4.46,2010
"MORTGAGE30US",2010-12-09,4.61,4.61,2010
"MORTGAGE30US",2010-12-16,4.83,4.83,2010
"MORTGAGE30US",2010-12-23,4.81,4.81,2010
"MORTGAGE30US",2010-12-30,4.86,4.86,2010
"MORTGAGE30US",2011-01-06,4.77,4.77,2011
"MORTGAGE30US",2011-01-13,4.71,4.71,2011
"MORTGAGE30US",2011-01-20,4.74,4.74,2011
"MORTGAGE30US",2011-01-27,4.8,4.8,2011
"MORTGAGE30US",2011-02-03,4.81,4.81,2011
"MORTGAGE30US",2011-02-10,5.05,5.05,2011
"MORTGAGE30US",2011-02-17,5,5,2011
"MORTGAGE30US",2011-02-24,4.95,4.95,2011
"MORTGAGE30US",2011-03-03,4.87,4.87,2011
"MORTGAGE30US",2011-03-10,4.88,4.88,2011
"MORTGAGE30US",2011-03-17,4.76,4.76,2011
"MORTGAGE30US",2011-03-24,4.81,4.81,2011
"MORTGAGE30US",2011-03-31,4.86,4.86,2011
"MORTGAGE30US",2011-04-07,4.87,4.87,2011
"MORTGAGE30US",2011-04-14,4.91,4.91,2011
"MORTGAGE30US",2011-04-21,4.8,4.8,2011
"MORTGAGE30US",2011-04-28,4.78,4.78,2011
"MORTGAGE30US",2011-05-05,4.71,4.71,2011
"MORTGAGE30US",2011-05-12,4.63,4.63,2011
"MORTGAGE30US",2011-05-19,4.61,4.61,2011
"MORTGAGE30US",2011-05-26,4.6,4.6,2011
"MORTGAGE30US",2011-06-02,4.55,4.55,2011
"MORTGAGE30US",2011-06-09,4.49,4.49,2011
"MORTGAGE30US",2011-06-16,4.5,4.5,2011
"MORTGAGE30US",2011-06-23,4.5,4.5,2011
"MORTGAGE30US",2011-06-30,4.51,4.51,2011
"MORTGAGE30US",2011-07-07,4.6,4.6,2011
"MORTGAGE30US",2011-07-14,4.51,4.51,2011
"MORTGAGE30US",2011-07-21,4.52,4.52,2011
"MORTGAGE30US",2011-07-28,4.55,4.55,2011
"MORTGAGE30US",2011-08-04,4.39,4.39,2011
"MORTGAGE30US",2011-08-11,4.32,4.32,2011
"MORTGAGE30US",2011-08-18,4.15,4.15,2011
"MORTGAGE30US",2011-08-25,4.22,4.22,2011
"MORTGAGE30US",2011-09-01,4.22,4.22,2011
"MORTGAGE30US",2011-09-08,4.12,4.12,2011
"MORTGAGE30US",2011-09-15,4.09,4.09,2011
