"","Continent","Country","ISO_Code","Country_Code","Metric","Region","Date","Year","Population"
"836","Europe","Andorra","AND",20,"No access to sanitation","Southern Europe",1990-01-01,1990,54.511
"837","Africa","Angola","AGO",24,"No access to sanitation","Middle Africa",1990-01-01,1990,11127.87
"838","North America","Anguilla","AIA",660,"No access to sanitation","Caribbean",1990-01-01,1990,8.334
"839","North America","Antigua and Barbuda","ATG",28,"No access to sanitation","Caribbean",1990-01-01,1990,61.906
"840","South America","Argentina","ARG",32,"No access to sanitation","South America",1990-01-01,1990,32729.74
"841","Asia","Armenia","ARM",51,"No access to sanitation","Western Asia",1990-01-01,1990,3544.695
"842","North America","Aruba","ABW",533,"No access to sanitation","Caribbean",1990-01-01,1990,62.148
"843","Oceania","Australia","AUS",36,"No access to sanitation","Australia and New Zealand",1990-01-01,1990,17096.869
"844","Europe","Austria","AUT",40,"No access to sanitation","Western Europe",1990-01-01,1990,7706.571
"845","Asia","Azerbaijan","AZE",31,"No access to sanitation","Western Asia",1990-01-01,1990,7216.503
"846","North America","Bahamas","BHS",44,"No access to sanitation","Caribbean",1990-01-01,1990,256.338
"847","Asia","Bahrain","BHR",48,"No access to sanitation","Western Asia",1990-01-01,1990,495.944
"848","Asia","Bangladesh","BGD",50,"No access to sanitation","Southern Asia",1990-01-01,1990,105983.136
"849","North America","Barbados","BRB",52,"No access to sanitation","Caribbean",1990-01-01,1990,260.374
"850","Europe","Belarus","BLR",112,"No access to sanitation","Eastern Europe",1990-01-01,1990,10231.983
"851","Europe","Belgium","BEL",56,"No access to sanitation","Western Europe",1990-01-01,1990,9978.241
"852","North America","Belize","BLZ",84,"No access to sanitation","Central America",1990-01-01,1990,187.552
"853","Africa","Benin","BEN",204,"No access to sanitation","Western Africa",1990-01-01,1990,5001.271
"854","North America","Bermuda","BMU",60,"No access to sanitation","Northern America",1990-01-01,1990,60.931
"855","Asia","Bhutan","BTN",64,"No access to sanitation","Southern Asia",1990-01-01,1990,535.505
"856","South America","Bolivia","BOL",68,"No access to sanitation","South America",1990-01-01,1990,6856.246
"857","Europe","Bosnia and Herzegovina","BIH",70,"No access to sanitation","Southern Europe",1990-01-01,1990,4526.996
"858","Africa","Botswana","BWA",72,"No access to sanitation","Southern Africa",1990-01-01,1990,1379.814
"859","South America","Brazil","BRA",76,"No access to sanitation","South America",1990-01-01,1990,150393.143
"860","North America","British Virgin Islands","VGB",92,"No access to sanitation","Caribbean",1990-01-01,1990,16.459
"861","Asia","Brunei Darussalam","BRN",96,"No access to sanitation","South-eastern Asia",1990-01-01,1990,256.939
"862","Europe","Bulgaria","BGR",100,"No access to sanitation","Eastern Europe",1990-01-01,1990,8821.111
"863","Africa","Burkina Faso","BFA",854,"No access to sanitation","Western Africa",1990-01-01,1990,8811.033
"864","Africa","Burundi","BDI",108,"No access to sanitation","Eastern Africa",1990-01-01,1990,5613.141
"865","Asia","Cambodia","KHM",116,"No access to sanitation","South-eastern Asia",1990-01-01,1990,9008.856
"866","Africa","Cameroon","CMR",120,"No access to sanitation","Middle Africa",1990-01-01,1990,12070.359
"867","North America","Canada","CAN",124,"No access to sanitation","Northern America",1990-01-01,1990,27662.44
"868","Africa","Cape Verde","CPV",132,"No access to sanitation","Western Africa",1990-01-01,1990,341.256
"869","Africa","Central African Republic","CAF",140,"No access to sanitation","Middle Africa",1990-01-01,1990,2937.832
"870","Africa","Chad","TCD",148,"No access to sanitation","Middle Africa",1990-01-01,1990,5958.022
"871","South America","Chile","CHL",152,"No access to sanitation","South America",1990-01-01,1990,13141.202
"872","Asia","China","CHN",156,"No access to sanitation","Eastern Asia",1990-01-01,1990,1154605.773
"873","South America","Colombia","COL",170,"No access to sanitation","South America",1990-01-01,1990,34271.563
"874","Africa","Comoros","COM",174,"No access to sanitation","Eastern Africa",1990-01-01,1990,415.144
"875","Africa","Congo","COG",178,"No access to sanitation","Middle Africa",1990-01-01,1990,2386.467
"876","Oceania","Cook Islands","COK",184,"No access to sanitation","Polynesia",1990-01-01,1990,17.613
"877","North America","Costa Rica","CRI",188,"No access to sanitation","Central America",1990-01-01,1990,3095.994
"878","Africa","Cote d'Ivoire","CIV",384,"No access to sanitation","Western Africa",1990-01-01,1990,12165.909
"879","Europe","Croatia","HRV",191,"No access to sanitation","Southern Europe",1990-01-01,1990,4776.374
"880","North America","Cuba","CUB",192,"No access to sanitation","Caribbean",1990-01-01,1990,10582.082
"881","Asia","Cyprus","CYP",196,"No access to sanitation","Western Asia",1990-01-01,1990,766.611
"882","Europe","Czech Republic","CZE",203,"No access to sanitation","Eastern Europe",1990-01-01,1990,10323.701
"883","Africa","Democratic Republic of the Congo","COD",180,"No access to sanitation","Middle Africa",1990-01-01,1990,34962.676
"884","Europe","Denmark","DNK",208,"No access to sanitation","Northern Europe",1990-01-01,1990,5140.332
"885","Africa","Djibouti","DJI",262,"No access to sanitation","Eastern Africa",1990-01-01,1990,588.356
"886","North America","Dominica","DMA",212,"No access to sanitation","Caribbean",1990-01-01,1990,70.928
"887","North America","Dominican Republic","DOM",214,"No access to sanitation","Caribbean",1990-01-01,1990,7183.646
"888","South America","Ecuador","ECU",218,"No access to sanitation","South America",1990-01-01,1990,10218.085
"889","Africa","Egypt","EGY",818,"No access to sanitation","Northern Africa",1990-01-01,1990,56397.273
"890","North America","El Salvador","SLV",222,"No access to sanitation","Central America",1990-01-01,1990,5252.082
"891","Africa","Equatorial Guinea","GNQ",226,"No access to sanitation","Middle Africa",1990-01-01,1990,377.363
"892","Africa","Eritrea","ERI",232,"No access to sanitation","Eastern Africa",1990-01-01,1990,3139.083
"893","Europe","Estonia","EST",233,"No access to sanitation","Northern Europe",1990-01-01,1990,1565.32
"894","Africa","Ethiopia","ETH",231,"No access to sanitation","Eastern Africa",1990-01-01,1990,48057.094
"895","Oceania","Fiji","FJI",242,"No access to sanitation","Melanesia",1990-01-01,1990,728.626
"896","Europe","Finland","FIN",246,"No access to sanitation","Northern Europe",1990-01-01,1990,4986.705
"897","Europe","France","FRA",250,"No access to sanitation","Western Europe",1990-01-01,1990,56943.299
"898","Oceania","French Polynesia","PYF",258,"No access to sanitation","Polynesia",1990-01-01,1990,198.37
"899","Africa","Gabon","GAB",266,"No access to sanitation","Middle Africa",1990-01-01,1990,952.269
"900","Africa","Gambia","GMB",270,"No access to sanitation","Western Africa",1990-01-01,1990,916.811
"901","Asia","Georgia","GEO",268,"No access to sanitation","Western Asia",1990-01-01,1990,5460.309
"902","Europe","Germany","DEU",276,"No access to sanitation","Western Europe",1990-01-01,1990,78958.237
"903","Africa","Ghana","GHA",288,"No access to sanitation","Western Africa",1990-01-01,1990,14628.26
"904","Europe","Gibraltar","GIB",292,"No access to sanitation","Southern Europe",1990-01-01,1990,26.833
"905","Europe","Greece","GRC",300,"No access to sanitation","Southern Europe",1990-01-01,1990,10131.737
"906","North America","Grenada","GRD",308,"No access to sanitation","Caribbean",1990-01-01,1990,96.286
"907","North America","Guadeloupe","GLP",312,"No access to sanitation","Caribbean",1990-01-01,1990,389.907
"908","Oceania","Guam","GUM",316,"No access to sanitation","Micronesia",1990-01-01,1990,130.482
"909","North America","Guatemala","GTM",320,"No access to sanitation","Central America",1990-01-01,1990,9158.547
"910","Africa","Guinea-Bissau","GNB",624,"No access to sanitation","Western Africa",1990-01-01,1990,1056.208
"911","Africa","Guinea-Conakry","GIN",324,"No access to sanitation","Western Africa",1990-01-01,1990,6034.082
"912","South America","Guyana","GUY",328,"No access to sanitation","South America",1990-01-01,1990,720.282
"913","North America","Haiti","HTI",332,"No access to sanitation","Caribbean",1990-01-01,1990,7099.733
"914","North America","Honduras","HND",340,"No access to sanitation","Central America",1990-01-01,1990,4903.363
"915","Europe","Hungary","HUN",348,"No access to sanitation","Eastern Europe",1990-01-01,1990,10385.061
"916","Europe","Iceland","ISL",352,"No access to sanitation","Northern Europe",1990-01-01,1990,254.83
"917","Asia","India","IND",356,"No access to sanitation","Southern Asia",1990-01-01,1990,870601.776
"918","Asia","Indonesia","IDN",360,"No access to sanitation","South-eastern Asia",1990-01-01,1990,181436.821
"919","Asia","Iran","IRN",364,"No access to sanitation","Southern Asia",1990-01-01,1990,56169.196
"920","Asia","Iraq","IRQ",368,"No access to sanitation","Western Asia",1990-01-01,1990,17478.455
"921","Europe","Ireland","IRL",372,"No access to sanitation","Northern Europe",1990-01-01,1990,3563.106
"922","Asia","Israel","ISR",376,"No access to sanitation","Western Asia",1990-01-01,1990,4499.161
"923","Europe","Italy","ITA",380,"No access to sanitation","Southern Europe",1990-01-01,1990,57007.577
"924","North America","Jamaica","JAM",388,"No access to sanitation","Caribbean",1990-01-01,1990,2385.806
"925","Asia","Japan","JPN",392,"No access to sanitation","Eastern Asia",1990-01-01,1990,122249.285
"926","Asia","Jordan","JOR",400,"No access to sanitation","Western Asia",1990-01-01,1990,3358.453
"927","Asia","Kazakhstan","KAZ",398,"No access to sanitation","Central Asia",1990-01-01,1990,16530.027
"928","Africa","Kenya","KEN",404,"No access to sanitation","Eastern Africa",1990-01-01,1990,23446.229
"929","Oceania","Kiribati","KIR",296,"No access to sanitation","Micronesia",1990-01-01,1990,72.411
"930","Asia","Kuwait","KWT",414,"No access to sanitation","Western Asia",1990-01-01,1990,2058.832
"931","Asia","Kyrgyzstan","KGZ",417,"No access to sanitation","Central Asia",1990-01-01,1990,4394.502
"932","Asia","Laos","LAO",418,"No access to sanitation","South-eastern Asia",1990-01-01,1990,4247.839
"933","Europe","Latvia","LVA",428,"No access to sanitation","Northern Europe",1990-01-01,1990,2663.985
"934","Asia","Lebanon","LBN",422,"No access to sanitation","Western Asia",1990-01-01,1990,2703.019
"935","Africa","Lesotho","LSO",426,"No access to sanitation","Southern Africa",1990-01-01,1990,1597.534
"936","Africa","Liberia","LBR",430,"No access to sanitation","Western Africa",1990-01-01,1990,2102.877
"937","Africa","Libya","LBY",434,"No access to sanitation","Northern Africa",1990-01-01,1990,4398.419
"938","Europe","Lithuania","LTU",440,"No access to sanitation","Northern Europe",1990-01-01,1990,3697.393
"939","Europe","Luxembourg","LUX",442,"No access to sanitation","Western Europe",1990-01-01,1990,381.787
"940","Europe","Macedonia","MKD",807,"No access to sanitation","Southern Europe",1990-01-01,1990,1996.227
"941","Africa","Madagascar","MDG",450,"No access to sanitation","Eastern Africa",1990-01-01,1990,11545.782
"942","Africa","Malawi","MWI",454,"No access to sanitation","Eastern Africa",1990-01-01,1990,9408.998
"943","Asia","Malaysia","MYS",458,"No access to sanitation","South-eastern Asia",1990-01-01,1990,18211.097
"944","Asia","Maldives","MDV",462,"No access to sanitation","Southern Asia",1990-01-01,1990,223.179
"945","Africa","Mali","MLI",466,"No access to sanitation","Western Africa",1990-01-01,1990,8482.075
"946","Europe","Malta","MLT",470,"No access to sanitation","Southern Europe",1990-01-01,1990,355.707
"947","Oceania","Marshall Islands","MHL",584,"No access to sanitation","Micronesia",1990-01-01,1990,47.3
"948","Africa","Mauritania","MRT",478,"No access to sanitation","Western Africa",1990-01-01,1990,2023.665
"949","Africa","Mauritius","MUS",480,"No access to sanitation","Eastern Africa",1990-01-01,1990,1055.865
"950","North America","Mexico","MEX",484,"No access to sanitation","Central America",1990-01-01,1990,85609.404
"951","Oceania","Micronesia","FSM",583,"No access to sanitation","Micronesia",1990-01-01,1990,96.331
"952","Europe","Moldova","MDA",498,"No access to sanitation","Eastern Europe",1990-01-01,1990,4364.114
"953","Europe","Monaco","MCO",492,"No access to sanitation","Western Europe",1990-01-01,1990,29.438
"954","Asia","Mongolia","MNG",496,"No access to sanitation","Eastern Asia",1990-01-01,1990,2184.145
"955","Europe","Montenegro","MNE",499,"No access to sanitation","Southern Europe",1990-01-01,1990,614.999
"956","Africa","Morocco","MAR",504,"No access to sanitation","Northern Africa",1990-01-01,1990,24950.128
"957","Africa","Mozambique","MOZ",508,"No access to sanitation","Eastern Africa",1990-01-01,1990,13371.971
"958","Asia","Myanmar","MMR",104,"No access to sanitation","South-eastern Asia",1990-01-01,1990,42007.309
"959","Africa","Namibia","NAM",516,"No access to sanitation","Southern Africa",1990-01-01,1990,1415.447
"960","Oceania","Nauru","NRU",520,"No access to sanitation","Micronesia",1990-01-01,1990,9.157
"961","Asia","Nepal","NPL",524,"No access to sanitation","Southern Asia",1990-01-01,1990,18741.688
"962","Europe","Netherlands","NLD",528,"No access to sanitation","Western Europe",1990-01-01,1990,14915.139
"963","Oceania","New Zealand","NZL",554,"No access to sanitation","Australia and New Zealand",1990-01-01,1990,3397.534
"964","North America","Nicaragua","NIC",558,"No access to sanitation","Central America",1990-01-01,1990,4144.564
"965","Africa","Niger","NER",562,"No access to sanitation","Western Africa",1990-01-01,1990,7911.884
"966","Africa","Nigeria","NGA",566,"No access to sanitation","Western Africa",1990-01-01,1990,95617.345
"967","Oceania","Niue","NIU",570,"No access to sanitation","Polynesia",1990-01-01,1990,2.332
"968","Asia","North Korea","PRK",408,"No access to sanitation","Eastern Asia",1990-01-01,1990,20194.354
"969","Oceania","Northern Mariana Islands","MNP",580,"No access to sanitation","Micronesia",1990-01-01,1990,43.972
"970","Europe","Norway","NOR",578,"No access to sanitation","Northern Europe",1990-01-01,1990,4240.375
"971","Asia","Occupied Palestinian Territory","PSE",275,"No access to sanitation","Western Asia",1990-01-01,1990,2101.156
"972","Asia","Oman","OMN",512,"No access to sanitation","Western Asia",1990-01-01,1990,1812.159
"973","Asia","Pakistan","PAK",586,"No access to sanitation","Southern Asia",1990-01-01,1990,107607.639
"974","Oceania","Palau","PLW",585,"No access to sanitation","Micronesia",1990-01-01,1990,15.089
"975","North America","Panama","PAN",591,"No access to sanitation","Central America",1990-01-01,1990,2471.01
"976","Oceania","Papua New Guinea","PNG",598,"No access to sanitation","Melanesia",1990-01-01,1990,4157.903
"977","South America","Paraguay","PRY",600,"No access to sanitation","South America",1990-01-01,1990,4213.74
"978","South America","Peru","PER",604,"No access to sanitation","South America",1990-01-01,1990,21826.658
"979","Asia","Philippines","PHL",608,"No access to sanitation","South-eastern Asia",1990-01-01,1990,61947.34
"980","Europe","Poland","POL",616,"No access to sanitation","Eastern Europe",1990-01-01,1990,38195.258
"981","Europe","Portugal","PRT",620,"No access to sanitation","Southern Europe",1990-01-01,1990,9890.319
"982","North America","Puerto Rico","PRI",630,"No access to sanitation","Caribbean",1990-01-01,1990,3517.984
"983","Asia","Qatar","QAT",634,"No access to sanitation","Western Asia",1990-01-01,1990,476.478
"984","Europe","Romania","ROU",642,"No access to sanitation","Eastern Europe",1990-01-01,1990,23489.361
"985","Europe","Russia","RUS",643,"No access to sanitation","Eastern Europe",1990-01-01,1990,147568.552
"986","Africa","Rwanda","RWA",646,"No access to sanitation","Eastern Africa",1990-01-01,1990,7259.74
"987","North America","Saint Kitts and Nevis","KNA",659,"No access to sanitation","Caribbean",1990-01-01,1990,40.833
"988","North America","Saint Lucia","LCA",662,"No access to sanitation","Caribbean",1990-01-01,1990,138.18
"989","North America","Saint Vincent and the Grenadines","VCT",670,"No access to sanitation","Caribbean",1990-01-01,1990,107.509
"990","Oceania","Samoa","WSM",882,"No access to sanitation","Polynesia",1990-01-01,1990,162.865
"991","Europe","San Marino","SMR",674,"No access to sanitation","Southern Europe",1990-01-01,1990,24.045
"992","Africa","Sao Tome and Principe","STP",678,"No access to sanitation","Middle Africa",1990-01-01,1990,113.575
"993","Asia","Saudi Arabia","SAU",682,"No access to sanitation","Western Asia",1990-01-01,1990,16361.453
"994","Africa","Senegal","SEN",686,"No access to sanitation","Western Africa",1990-01-01,1990,7514.201
"995","Europe","Serbia","SRB",688,"No access to sanitation","Southern Europe",1990-01-01,1990,9517.67
"996","Africa","Seychelles","SYC",690,"No access to sanitation","Eastern Africa",1990-01-01,1990,70.627
"997","Africa","Sierra Leone","SLE",694,"No access to sanitation","Western Africa",1990-01-01,1990,3931.208
"998","Asia","Singapore","SGP",702,"No access to sanitation","South-eastern Asia",1990-01-01,1990,3016.4
"999","Europe","Slovakia","SVK",703,"No access to sanitation","Eastern Europe",1990-01-01,1990,5277.709
"1000","Europe","Slovenia","SVN",705,"No access to sanitation","Southern Europe",1990-01-01,1990,2006.52
"1001","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1990-01-01,1990,25912.364
"1002","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1990-01-01,1990,56397.273
"1003","Africa","Libya","LBY",434,"Access to water","Northern Africa",1990-01-01,1990,4398.419
"1004","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1990-01-01,1990,24950.128
"1005","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1990-01-01,1990,20008.804
"1006","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1990-01-01,1990,8232.797
"1007","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1990-01-01,1990,216.828
"1008","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1991-01-01,1991,26554.277
"1009","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1991-01-01,1991,57689.828
"1010","Africa","Libya","LBY",434,"Access to water","Northern Africa",1991-01-01,1991,4499.21
"1011","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1991-01-01,1991,25410.178
"1012","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1991-01-01,1991,20861.117
"1013","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1991-01-01,1991,8417.689
"1014","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1991-01-01,1991,223.795
"1015","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1992-01-01,1992,27180.921
"1016","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1992-01-01,1992,58922.018
"1017","Africa","Libya","LBY",434,"Access to water","Northern Africa",1992-01-01,1992,4596.811
"1018","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1992-01-01,1992,25866.445
"1019","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1992-01-01,1992,21820.588
"1020","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1992-01-01,1992,8603.226
"1021","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1992-01-01,1992,230.948
"1022","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1993-01-01,1993,27785.977
"1023","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1993-01-01,1993,60108.373
"1024","Africa","Libya","LBY",434,"Access to water","Northern Africa",1993-01-01,1993,4691.934
"1025","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1993-01-01,1993,26314.339
"1026","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1993-01-01,1993,22829.227
"1027","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1993-01-01,1993,8784.888
"1028","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1993-01-01,1993,238.261
"1029","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1994-01-01,1994,28362.015
"1030","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1994-01-01,1994,61272.847
"1031","Africa","Libya","LBY",434,"Access to water","Northern Africa",1994-01-01,1994,4785.488
"1032","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1994-01-01,1994,26747.66
"1033","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1994-01-01,1994,23805.536
"1034","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1994-01-01,1994,8956.59
"1035","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1994-01-01,1994,245.691
"1036","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1995-01-01,1995,29411.839
"1037","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1995-01-01,1995,63595.629
"1038","Africa","Libya","LBY",434,"Access to water","Northern Africa",1995-01-01,1995,4970.391
"1039","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1995-01-01,1995,27556.892
"1040","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1995-01-01,1995,25466.387
"1041","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1995-01-01,1995,9256.036
"1042","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1995-01-01,1995,260.803
"1043","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1996-01-01,1996,28904.3
"1044","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1996-01-01,1996,62434.527
"1045","Africa","Libya","LBY",434,"Access to water","Northern Africa",1996-01-01,1996,4878.202
"1046","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1996-01-01,1996,27161.889
"1047","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1996-01-01,1996,24691.97
"1048","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1996-01-01,1996,9113.972
"1049","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1996-01-01,1996,253.302
"1050","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1997-01-01,1997,29887.717
"1051","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1997-01-01,1997,64754.566
"1052","Africa","Libya","LBY",434,"Access to water","Northern Africa",1997-01-01,1997,5062.16
"1053","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1997-01-01,1997,27934.014
"1054","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1997-01-01,1997,26149.124
"1055","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1997-01-01,1997,9384.151
"1056","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1997-01-01,1997,268.445
"1057","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1998-01-01,1998,30336.88
"1058","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1998-01-01,1998,65922.626
"1059","Africa","Libya","LBY",434,"Access to water","Northern Africa",1998-01-01,1998,5153.764
"1060","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1998-01-01,1998,28292.299
"1061","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1998-01-01,1998,26777.059
"1062","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1998-01-01,1998,9499.387
"1063","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1998-01-01,1998,277.466
"1064","Africa","Algeria","DZA",12,"Access to water","Northern Africa",1999-01-01,1999,30766.551
"1065","Africa","Egypt","EGY",818,"Access to water","Northern Africa",1999-01-01,1999,67112.877
"1066","Africa","Libya","LBY",434,"Access to water","Northern Africa",1999-01-01,1999,5245.414
"1067","Africa","Morocco","MAR",504,"Access to water","Northern Africa",1999-01-01,1999,28630.973
"1068","Africa","Sudan","SDN",729,"Access to water","Northern Africa",1999-01-01,1999,27406.808
"1069","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",1999-01-01,1999,9603.733
"1070","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",1999-01-01,1999,289.509
"1071","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2000-01-01,2000,31183.658
"1072","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2000-01-01,2000,68334.905
"1073","Africa","Libya","LBY",434,"Access to water","Northern Africa",2000-01-01,2000,5337.264
"1074","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2000-01-01,2000,28950.553
"1075","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2000-01-01,2000,28079.664
"1076","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",2000-01-01,2000,9699.192
"1077","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",2000-01-01,2000,305.615
"1078","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2001-01-01,2001,31590.32
"1079","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2001-01-01,2001,69599.945
"1080","Africa","Libya","LBY",434,"Access to water","Northern Africa",2001-01-01,2001,5428.303
"1081","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2001-01-01,2001,29250.983
"1082","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2001-01-01,2001,28805.142
"1083","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",2001-01-01,2001,9785.665
"1084","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",2001-01-01,2001,326.344
"1085","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2002-01-01,2002,31990.387
"1086","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2002-01-01,2002,70908.71
"1087","Africa","Libya","LBY",434,"Access to water","Northern Africa",2002-01-01,2002,5518.341
"1088","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2002-01-01,2002,29535.591
"1089","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2002-01-01,2002,29569.978
"1090","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",2002-01-01,2002,9864.207
"1091","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",2002-01-01,2002,350.976
"1092","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2003-01-01,2003,32394.886
"1093","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2003-01-01,2003,72247.626
"1094","Africa","Libya","LBY",434,"Access to water","Northern Africa",2003-01-01,2003,5609.166
"1095","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2003-01-01,2003,29812.685
"1096","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2003-01-01,2003,30365.586
"1097","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",2003-01-01,2003,9939.478
"1098","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",2003-01-01,2003,377.69
"1099","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2004-01-01,2004,32817.225
"1100","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2004-01-01,2004,73596.068
"1101","Africa","Libya","LBY",434,"Access to water","Northern Africa",2004-01-01,2004,5703.224
"1102","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2004-01-01,2004,30093.109
"1103","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2004-01-01,2004,31176.209
"1104","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",2004-01-01,2004,10017.439
"1105","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",2004-01-01,2004,403.92
"1106","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2005-01-01,2005,33267.887
"1107","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2005-01-01,2005,74942.115
"1108","Africa","Libya","LBY",434,"Access to water","Northern Africa",2005-01-01,2005,5801.543
"1109","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2005-01-01,2005,30385.479
"1110","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2005-01-01,2005,31990.003
"1111","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",2005-01-01,2005,10102.477
"1112","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",2005-01-01,2005,427.782
"1113","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2006-01-01,2006,33749.328
"1114","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2006-01-01,2006,76274.285
"1115","Africa","Libya","LBY",434,"Access to water","Northern Africa",2006-01-01,2006,5907.149
"1116","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2006-01-01,2006,30691.434
"1117","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2006-01-01,2006,32809.056
"1118","Africa","Tunisia","TUN",788,"Access to water","Northern Africa",2006-01-01,2006,10196.441
"1119","Africa","Western Sahara","ESH",732,"Access to water","Northern Africa",2006-01-01,2006,448.666
"1120","Africa","Algeria","DZA",12,"Access to water","Northern Africa",2007-01-01,2007,34261.971
"1121","Africa","Egypt","EGY",818,"Access to water","Northern Africa",2007-01-01,2007,77605.327
"1122","Africa","Libya","LBY",434,"Access to water","Northern Africa",2007-01-01,2007,6017.794
"1123","Africa","Morocco","MAR",504,"Access to water","Northern Africa",2007-01-01,2007,31011.322
"1124","Africa","Sudan","SDN",729,"Access to water","Northern Africa",2007-01-01,2007,33637.96
