node,label,type,symbol
1,UNSUB,person,bust_in_silhouette
2,UNSUB,person,bust_in_silhouette
3,UNSUB,person,bust_in_silhouette
4,UNSUB,person,bust_in_silhouette
5,UNSUB,person,bust_in_silhouette
6,UNSUB,person,bust_in_silhouette
7,UNSUB,person,bust_in_silhouette
8,UNSUB,person,bust_in_silhouette
9,UNSUB,person,bust_in_silhouette
10,UNSUB,person,bust_in_silhouette
11,UNSUB,person,bust_in_silhouette
West Coast Frozen Fish SA,West Coast Frozen Fish,company,office
Fishing & Cargo Services SA,Fishing & Cargo Services,company,office
Sea Group SL,Sea Group SL,company,office
Gabu Reefer,Gabu Reefer,vessel,ship
Silver Ice,Silver Ice,vessel,ship
Saly Reefer,Saly Reefer,vessel,ship
Geril & Co,Geril & Co,company,office
