id,unit,name,start,end,agency,acres,cause
BDU-7525,Los Angeles LAC162392,Yucca,09-13-2000,09-13-2000,CC,868,Under Invest.
BDU-7525,Los Angeles LAC162392,Yucca,09-13-2000,09-13-2000,CC,868,Under Invest.
BDU-8329,Los Angeles,Paradise,09-13-2000,09-13-2000,USFS,427,Under Invest.
BDU-8329,Los Angeles,Paradise,09-13-2000,09-13-2000,USFS,427,Under Invest.
MVU-6514,San Diego,Lyons,09-13-2000,09-14-2000,USFS,400,Arson
MVU-6514,San Diego,Lyons,09-13-2000,09-14-2000,USFS,400,Arson
BTU-10476,Butte,Concow,09-19-2000,09-22-2000,CDF,1835,Equip. Use
BTU-10476,Butte,Concow,09-19-2000,09-22-2000,CDF,1835,Equip. Use
LNU-6288,Yolo,Sixteen,09-21-2000,07-09-2002,CDF,400,Arson
LNU-6288,Yolo,Sixteen,09-21-2000,07-09-2002,CDF,400,Arson
TGU-3715,Tehama (3 exp),Weinstein,09-29-2000,10-02-2000,CDF,8284,escape control
TGU-3715,Tehama (3 exp),Weinstein,09-29-2000,10-02-2000,CDF,8284,escape control
FKU-10923,Fresno,Worsham,10-06-2000,10-06-2000,LOCAL,500,Vehicle
FKU-10923,Fresno,Worsham,10-06-2000,10-06-2000,LOCAL,500,Vehicle
LNU-7151,Lake,Hidden,10-21-2000,10-27-2000,CDF,4500,Elec. Power
LNU-7151,Lake,Hidden,10-21-2000,10-27-2000,CDF,4500,Elec. Power
AEU-14243,El Dorado,Latrobe,10-21-2000,10-21-2000,CDF,750,Elec. Power
AEU-14243,El Dorado,Latrobe,10-21-2000,10-21-2000,CDF,750,Elec. Power
FKU-19,Sequoia NF,USFS #1,01-01-2001,01-04-2001,USFS,303,na
MVU-53,San Diego,Viejas,01-03-2001,01-08-2001,CDF,10353,Smoking
SKU-1500,Siskiyou,Jones,05-09-2001,05-14-2001,USFS,1440,Debris
TGU-2166,Tehama,M-9 Fire,05-09-2001,05-09-2001,USFS,351,Under Invest.
