New York (Central Park), New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2000
Missing: -99
Date,Value,Anomaly
190210,56.1,-0.2
190211,49.3,4.1
190212,30.6,-4.2
190301,28.6,-2.2
190302,31.5,0.1
190303,46.4,6.6
190304,50.9,0.5
190305,62.2,1.0
190306,63.0,-7.2
190307,73.8,-1.8
190308,67.9,-5.9
190309,65.6,-1.4
190310,56.4,0.1
190311,39.9,-5.3
190312,29.8,-5.0
190401,23.4,-7.4
190402,23.0,-8.4
190403,34.4,-5.4
190404,45.2,-5.2
190405,62.8,1.6
190406,68.8,-1.4
190407,73.3,-2.3
190408,71.0,-2.8
190409,65.0,-2.0
190410,51.5,-4.8
190411,39.6,-5.6
190412,27.8,-7.0
190501,26.7,-4.1
190502,22.2,-9.2
190503,38.1,-1.7
190504,48.0,-2.4
190505,59.4,-1.8
190506,68.3,-1.9
190507,75.8,0.2
190508,72.8,-1.0
190509,67.5,0.5
190510,57.0,0.7
190511,41.1,-4.1
190512,36.4,1.6
190601,35.8,5.0
190602,29.9,-1.5
190603,33.4,-6.4
190604,50.1,-0.3
190605,61.2,0.0
190606,72.2,2.0
190607,76.0,0.4
190608,75.5,1.7
190609,68.1,1.1
190610,55.0,-1.3
190611,43.1,-2.1
190612,31.8,-3.0
190701,32.3,1.5
190702,23.3,-8.1
190703,40.2,0.4
190704,44.8,-5.6
190705,54.5,-6.7
190706,67.0,-3.2
190707,75.6,0.0
190708,71.8,-2.0
190709,67.6,0.6
190710,50.2,-6.1
190711,43.2,-2.0
190712,36.3,1.5
190801,30.4,-0.4
190802,27.0,-4.4
190803,40.1,0.3
190804,50.3,-0.1
190805,61.2,0.0
190806,70.9,0.7
190807,76.7,1.1
190808,71.3,-2.5
190809,66.8,-0.2
190810,57.9,1.6
190811,42.5,-2.7
190812,34.1,-0.7
190901,31.4,0.6
190902,35.4,4.0
190903,35.8,-4.0
190904,46.5,-3.9
190905,59.3,-1.9
190906,70.4,0.2
190907,71.9,-3.7
190908,70.4,-3.4
190909,65.1,-1.9
190910,52.4,-3.9
190911,46.9,1.7
190912,30.1,-4.7
191001,28.9,-1.9
191002,27.0,-4.4
191003,41.2,1.4
191004,53.3,2.9
191005,59.7,-1.5
191006,67.0,-3.2
191007,75.5,-0.1
191008,70.3,-3.5
191009,67.4,0.4
191010,57.1,0.8
191011,39.8,-5.4
191012,27.3,-7.5
191101,33.7,2.9
191102,29.8,-1.6
191103,33.6,-6.2
191104,46.9,-3.5
191105,63.7,2.5
191106,69.4,-0.8
191107,77.0,1.4
191108,72.4,-1.4
191109,66.7,-0.3
191110,54.8,-1.5
191111,40.7,-4.5
191112,38.4,3.6
191201,22.4,-8.4
191202,27.4,-4.0
191203,36.4,-3.4
191204,49.4,-1.0
191205,61.4,0.2
191206,69.0,-1.2
191207,74.9,-0.7
191208,70.8,-3.0
191209,65.5,-1.5
191210,58.0,1.7
191211,46.2,1.0
191212,38.1,3.3
191301,39.5,8.7
191302,29.9,-1.5
191303,43.6,3.8
191304,51.5,1.1
191305,59.8,-1.4
191306,69.8,-0.4
191307,75.4,-0.2
191308,72.4,-1.4
191309,63.5,-3.5
191310,57.4,1.1
191311,45.7,0.5
191312,37.5,2.7
191401,30.1,-0.7
191402,24.0,-7.4
191403,35.3,-4.5
191404,46.9,-3.5
191405,63.7,2.5
191406,68.1,-2.1
191407,71.3,-4.3
191408,73.7,-0.1
191409,65.6,-1.4
191410,58.2,1.9
191411,42.8,-2.4
191412,30.4,-4.4
191501,33.1,2.3
191502,34.4,3.0
191503,35.5,-4.3
191504,53.4,3.0
191505,58.1,-3.1
191506,67.3,-2.9
191507,73.1,-2.5
191508,70.7,-3.1
191509,68.9,1.9
191510,56.4,0.1
191511,44.6,-0.6
191512,32.3,-2.5
191601,34.6,3.8
191602,26.5,-4.9
191603,31.2,-8.6
191604,47.4,-3.0
191605,60.5,-0.7
191606,65.0,-5.2
191607,74.7,-0.9
191608,73.9,0.1
191609,66.4,-0.6
191610,56.4,0.1
191611,43.8,-1.4
191612,32.8,-2.0
191701,31.5,0.7
191702,26.9,-4.5
191703,38.0,-1.8
191704,47.4,-3.0
191705,53.5,-7.7
191706,69.6,-0.6
191707,75.2,-0.4
191708,75.2,1.4
191709,62.5,-4.5
191710,51.7,-4.6
191711,40.0,-5.2
191712,23.8,-11.0
191801,20.3,-10.5
191802,29.0,-2.4
191803,40.9,1.1
191804,49.8,-0.6
191805,64.4,3.2
191806,67.0,-3.2
191807,73.8,-1.8
191808,75.6,1.8
191809,62.8,-4.2
191810,57.8,1.5
191811,44.9,-0.3
191812,38.2,3.4
191901,34.2,3.4
191902,33.5,2.1
191903,42.0,2.2
191904,49.0,-1.4
191905,61.1,-0.1
191906,70.2,0.0
191907,74.4,-1.2
191908,70.2,-3.6
191909,66.6,-0.4
191910,58.0,1.7
191911,43.6,-1.6
191912,29.0,-5.8
192001,22.7,-8.1
192002,27.7,-3.7
192003,39.3,-0.5
192004,47.7,-2.7
192005,58.5,-2.7
192006,69.0,-1.2
192007,73.6,-2.0
192008,73.9,0.1
192009,68.0,1.0
192010,60.4,4.1
192011,43.3,-1.9
192012,36.6,1.8
192101,32.5,1.7
192102,33.1,1.7
192103,47.8,8.0
192104,55.7,5.3
192105,60.9,-0.3
192106,71.0,0.8
192107,77.1,1.5
192108,71.3,-2.5
192109,71.6,4.6
192110,55.6,-0.7
192111,43.7,-1.5
192112,31.7,-3.1
192201,27.4,-3.4
192202,32.8,1.4
192203,40.4,0.6
192204,51.0,0.6
192205,64.3,3.1
192206,71.6,1.4
192207,73.5,-2.1
192208,72.0,-1.8
192209,67.2,0.2
192210,56.9,0.6
192211,44.2,-1.0
192212,32.4,-2.4
192301,28.6,-2.2
