"country","Life_expectancy","Fertility"
"Antigua and Barbuda",76.6,2.13
"Azerbaijan",69.3,1.96
"Bahamas",73.4,1.87
"Bangladesh",69.5,2.28
"Belize",73.6,2.72
"Bhutan",71.6,2.38
"Central African Republic",48,5.22
"Colombia",78.1,2.01
"Congo, Dem. Rep.",57.9,6.47
"Congo, Rep.",59.8,4.95
"Djibouti",63.8,3.3
"Estonia",76,1.64
"Eswatini",46,3.53
"France",81.4,1.99
"Gambia",63.6,5.71
