COUNTRY_DATA,Free_Speech_Index
United States,78
United Kingdom,74
France,66
Germany,66
Spain,73
Denmark,79
Norway,80
Sweden,78
Poland,66
Hungary,75
Czech Republic,68
Turkey,47
Russia,50
Argentina,70
Brazil,61
Mexico,65
Venezuela,74
Pakistan,38
India,48
Japan,71
South Korea,68
Taiwan,66
Indonesia,45
Philippines,56
Malaysia,44
Australia,69
Egypt,41
Tunisia,43
Lebanon,54
Israel,63
Nigeria,45
Kenya,42
South Africa,58
