"expISO3","exporter","slongitude","slatitude","impISO3","importer","tlongitude","tlatitude","tot_val_usd","tot-weight-kg"
"ABW","Aruba",-69.97564122076227,12.515627383711797,"BEL","Belgium",4.663989187136796,50.64285116363035,18.779,26.116
"ABW","Aruba",-69.97564122076227,12.515627383711797,"CAN","Canada",-98.26532943367135,61.39201724015727,42301.438,23165.61
"ABW","Aruba",-69.97564122076227,12.515627383711797,"CHL","Chile",-71.37398043999183,-37.85248982134252,12544.664,26658.332
"ABW","Aruba",-69.97564122076227,12.515627383711797,"CHN","China",103.90405603171992,36.567908702290914,124.581,92.5
"ABW","Aruba",-69.97564122076227,12.515627383711797,"CIV","Cote d'Ivoire",-5.555619464120099,7.631533614372455,355.767,835.783
"ABW","Aruba",-69.97564122076227,12.515627383711797,"COL","Colombia",-73.07336881924755,3.901155840147147,21088.268,38891.221
"ABW","Aruba",-69.97564122076227,12.515627383711797,"DEU","Germany",10.393661554752809,51.10659218573434,406.904,76.331
"ABW","Aruba",-69.97564122076227,12.515627383711797,"DOM","Dominican Rep.",-70.48463350234039,18.894446925055853,44910.858,53969.451
"ABW","Aruba",-69.97564122076227,12.515627383711797,"ECU","Ecuador",-78.76707226737844,-1.4274197656233802,32536.54,58664.089
"ABW","Aruba",-69.97564122076227,12.515627383711797,"ESP","Spain",-3.6495649604289517,40.22682992875578,1.355,2.422
"ABW","Aruba",-69.97564122076227,12.515627383711797,"FRA","France",2.551955216777798,46.5645020539879,7784.009,13454.258
"ABW","Aruba",-69.97564122076227,12.515627383711797,"HKG","China, Hong Kong SAR",114.11005816189576,22.377361714278617,,
"ABW","Aruba",-69.97564122076227,12.515627383711797,"IND","India",79.38600861425813,22.32612228404536,67.12,195
"ABW","Aruba",-69.97564122076227,12.515627383711797,"JOR","Jordan",36.786730210621045,31.25331588826587,3395.552,1660.458
"ABW","Aruba",-69.97564122076227,12.515627383711797,"KOR","Korea, Rep.",127.83477207666992,36.37508873369245,56109.32399999999,154172.829
"ABW","Aruba",-69.97564122076227,12.515627383711797,"KWT","Kuwait",47.59087621282213,29.340791326705347,5.934,3.8289999999999997
"ABW","Aruba",-69.97564122076227,12.515627383711797,"MEX","Mexico",-102.53288549746279,23.950463865568704,6796.9659526000005,3694.4268102999995
"ABW","Aruba",-69.97564122076227,12.515627383711797,"MOZ","Mozambique",35.551421918377756,-17.259323521694824,144.44400000000002,89.90899999999999
"ABW","Aruba",-69.97564122076227,12.515627383711797,"NIC","Nicaragua",-85.03478332256003,12.839905878385617,296.883,561.989
"ABW","Aruba",-69.97564122076227,12.515627383711797,"NLD","Netherlands",5.6034180269466205,52.24926328962551,4871.899488,3680.665321
"ABW","Aruba",-69.97564122076227,12.515627383711797,"PER","Peru",-74.37562774311915,-9.163759818255448,2584.115,6268.857
"ABW","Aruba",-69.97564122076227,12.515627383711797,"PRY","Paraguay",-58.391023526278055,-23.23621116210156,1754.771,2399.489
"ABW","Aruba",-69.97564122076227,12.515627383711797,"SDN","Sudan",29.958036241009193,16.01933683155426,12150.545,31435.358999999997
"ABW","Aruba",-69.97564122076227,12.515627383711797,"SGP","Singapore",103.8080509453779,1.3516148228449165,2044.688,8106.01
"ABW","Aruba",-69.97564122076227,12.515627383711797,"SLV","El Salvador",-88.8665121068615,13.736897105301775,1044.071,2280.484
"ABW","Aruba",-69.97564122076227,12.515627383711797,"SVN","Slovenia",14.826537489203574,46.123563763533994,101.461,4351.809
"ABW","Aruba",-69.97564122076227,12.515627383711797,"SYC","Seychelles",52.229899400495455,-6.354369979634144,0.202,0.01
"ABW","Aruba",-69.97564122076227,12.515627383711797,"THA","Thailand",101.0173609470801,15.127035821032173,113.45,308.535
"ABW","Aruba",-69.97564122076227,12.515627383711797,"USA","United States",-112.49175075933852,45.69574378023075,33663.671179,96498.38948
"ABW","Aruba",-69.97564122076227,12.515627383711797,"VEN","Venezuela",-66.16956396322297,7.122448779792319,147.917,47.126999999999995
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"ARE","United Arab Emirates",54.34073373155668,23.9031933433165,31537.7852,18043.735721
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"ARG","Argentina",-65.16772724090062,-35.37643634090827,1.126,0.075
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"AUS","Australia",134.48956247309874,-25.734968241934748,1073.3846469999999,466.4341274
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"AUT","Austria",14.140193488795244,47.59290260691518,27.813000000000002,52.942
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"AZE","Azerbaijan",48.81987923035787,40.296915659338495,,
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"BEL","Belgium",4.663989187136796,50.64285116363035,2343.326327,212.4323287
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"BFA","Burkina Faso",-1.740141131898327,12.277929850509192,2.882,2.655
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"BGD","Bangladesh",90.26849814842923,23.843232452391405,618.7,250.167
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"BGR","Bulgaria",25.231506244029564,42.76137671439207,8.17637898,2.27618688
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"BHR","Bahrain",50.55964318352661,26.022409517037772,146.782,52.608
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"BIH","Bosnia Herzegovina",17.786530696807294,44.16811522452028,0.79,0.178
"AFG","Afghanistan",66.02647066772893,33.838805716206714,"BLR","Belarus",28.046787741199477,53.53999776468982,440.4,254.538
