"",Andre,Beverly,Ed,Carol,Diane,Garth,Fred,Ike,Jane,Lee,Kate
Andre,1,1,1,0,0,0,0,0,0,0,0
Beverly,1,1,1,0,0,0,0,0,0,0,0
Ed,1,1,1,0,0,0,0,0,0,0,0
Carol,0,0,0,1,1,0,0,0,0,0,0
Diane,0,0,0,1,1,0,0,0,0,0,0
Garth,0,0,0,0,0,1,1,0,0,0,0
Fred,0,0,0,0,0,1,1,0,0,0,0
Ike,0,0,0,0,0,0,0,1,1,0,0
Jane,0,0,0,0,0,0,0,1,1,0,0
Lee,0,0,0,0,0,0,0,0,0,1,1
Kate,0,0,0,0,0,0,0,0,0,1,1
