Event,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Indirectly Affected,Directly affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,Damages in roads Mts
Building slide,1,,,,,,3,,,,,,,,,,
CONFLICT,347,1610,770,210,267615,18118,775786,,659448,,,,,,9112,759,
DROUGHT,3983,3920,,,,10,76642721,,637,,,,,,265527,2553647,
EARTHQUAKE,6,5,7,,12,,19544,,,,,,,,,1369,
FIRE,792,854,537,,3668,1613,76717,,5259,,,,,,195560,1138,
FLOOD,1419,3272,768,,54432,496,10359967,,1359513,,,2429535,8,1,537113,357974,
FOREST FIRE,31,4,,,905,,750660,,2230,,,,,,100084,11,
FROST,7,,,,,,7560,,,,,,,,10372,,
HAILSTORM,249,63,11,,1347,14,287623,,39121,,,,,,84445,3523,
HEAT WAVE,2,,,,,,8,,,,,,,,,,
Land slide,181,407,34,,1556,711,96871,,133209,,,,,,13715,1143,
OTHER,122,378,220,,,,10004,,,,,,,,2495880,35699,
PLAGUE,7467,196,22335,,,,363355,,,,,,,,5305852,293962,
RAIN,39,32,,,,,77895,,,,,,,,2870,122,
SNOWSTORM,1,,,,,,763,,,,,,,,,,
STORM,5,,,,,,3900,,,,,,,,115,150,
THUNDERSTORM,32,47,17,,13,,,,,,,,,,10,217,
WINDSTORM,22,3,,,199,,3473,,,,,,,,600,13,
