"animals","unit","geo","time","values"
"A3100","THS_HD","AT","2017-01-01",2820.08
"A3100","THS_HD","AT1","2017-01-01",801.57
"A3100","THS_HD","AT11","2017-01-01",44.71
"A3100","THS_HD","AT12","2017-01-01",756.65
"A3100","THS_HD","AT13","2017-01-01",0.22
"A3100","THS_HD","AT2","2017-01-01",872.47
"A3100","THS_HD","AT21","2017-01-01",129.15
"A3100","THS_HD","AT22","2017-01-01",743.32
"A3100","THS_HD","AT3","2017-01-01",1146.04
"A3100","THS_HD","AT31","2017-01-01",1120.63
"A3100","THS_HD","AT32","2017-01-01",8.39
"A3100","THS_HD","AT33","2017-01-01",12.61
"A3100","THS_HD","AT34","2017-01-01",4.41
"A3100","THS_HD","BA","2017-01-01",548
"A3100","THS_HD","BE","2017-01-01",6108.08
"A3100","THS_HD","BE1","2017-01-01",0
"A3100","THS_HD","BE10","2017-01-01",0
"A3100","THS_HD","BE2","2017-01-01",5738.15
"A3100","THS_HD","BE21","2017-01-01",968.05
"A3100","THS_HD","BE22","2017-01-01",395.97
"A3100","THS_HD","BE23","2017-01-01",960.4
"A3100","THS_HD","BE24","2017-01-01",151.28
"A3100","THS_HD","BE25","2017-01-01",3262.45
"A3100","THS_HD","BE3","2017-01-01",369.92
"A3100","THS_HD","BE31","2017-01-01",23.07
"A3100","THS_HD","BE32","2017-01-01",141.78
"A3100","THS_HD","BE33","2017-01-01",101.54
"A3100","THS_HD","BE34","2017-01-01",26.14
"A3100","THS_HD","BE35","2017-01-01",77.4
"A3100","THS_HD","BG","2017-01-01",593.15
"A3100","THS_HD","BG3","2017-01-01",544.89
"A3100","THS_HD","BG31","2017-01-01",35.11
"A3100","THS_HD","BG32","2017-01-01",194.65
"A3100","THS_HD","BG33","2017-01-01",196.18
"A3100","THS_HD","BG34","2017-01-01",118.94
"A3100","THS_HD","BG4","2017-01-01",48.27
"A3100","THS_HD","BG41","2017-01-01",10.46
"A3100","THS_HD","BG42","2017-01-01",37.81
"A3100","THS_HD","CH","2017-01-01",1419.2
"A3100","THS_HD","CH01","2017-01-01",40.48
"A3100","THS_HD","CH02","2017-01-01",351.17
"A3100","THS_HD","CH03","2017-01-01",102.67
"A3100","THS_HD","CH04","2017-01-01",35.75
"A3100","THS_HD","CH05","2017-01-01",403.68
"A3100","THS_HD","CH06","2017-01-01",482.76
"A3100","THS_HD","CH07","2017-01-01",2.69
"A3100","THS_HD","CY","2017-01-01",350.15
"A3100","THS_HD","CY0","2017-01-01",350.01
"A3100","THS_HD","CY00","2017-01-01",350.01
"A3100","THS_HD","CZ","2017-01-01",1531.69
"A3100","THS_HD","CZ0","2017-01-01",1531.69
"A3100","THS_HD","CZ01","2017-01-01",4.7
"A3100","THS_HD","CZ02","2017-01-01",304.38
"A3100","THS_HD","CZ03","2017-01-01",218.57
"A3100","THS_HD","CZ04","2017-01-01",110.57
"A3100","THS_HD","CZ05","2017-01-01",248.17
"A3100","THS_HD","CZ06","2017-01-01",459.79
"A3100","THS_HD","CZ07","2017-01-01",155.34
"A3100","THS_HD","CZ08","2017-01-01",30.18
"A3100","THS_HD","DE","2017-01-01",27552.79
"A3100","THS_HD","DE1","2017-01-01",1770.2
"A3100","THS_HD","DE2","2017-01-01",3303.43
"A3100","THS_HD","DE4","2017-01-01",782.51
"A3100","THS_HD","DE7","2017-01-01",550.13
"A3100","THS_HD","DE8","2017-01-01",844.55
"A3100","THS_HD","DE9","2017-01-01",8702.28
"A3100","THS_HD","DEA","2017-01-01",7278.3
"A3100","THS_HD","DEB","2017-01-01",173.78
"A3100","THS_HD","DEC","2017-01-01",4.43
"A3100","THS_HD","DED","2017-01-01",680.46
"A3100","THS_HD","DEE","2017-01-01",1201.1
"A3100","THS_HD","DEF","2017-01-01",1510.28
"A3100","THS_HD","DEG","2017-01-01",751.35
"A3100","THS_HD","DK","2017-01-01",12832
"A3100","THS_HD","DK0","2017-01-01",12832
"A3100","THS_HD","DK01","2017-01-01",324
"A3100","THS_HD","DK02","2017-01-01",1329
"A3100","THS_HD","DK03","2017-01-01",3831
"A3100","THS_HD","DK04","2017-01-01",4551
"A3100","THS_HD","DK05","2017-01-01",2797
"A3100","THS_HD","EE","2017-01-01",289.1
"A3100","THS_HD","EE0","2017-01-01",284.5
"A3100","THS_HD","EE00","2017-01-01",284.5
"A3100","THS_HD","EL","2017-01-01",743.6
"A3100","THS_HD","EL3","2017-01-01",1.9
"A3100","THS_HD","EL30","2017-01-01",3.2
"A3100","THS_HD","EL4","2017-01-01",64.1
"A3100","THS_HD","EL41","2017-01-01",6.1
"A3100","THS_HD","EL42","2017-01-01",12.3
"A3100","THS_HD","EL43","2017-01-01",45.7
"A3100","THS_HD","EL5","2017-01-01",306
"A3100","THS_HD","EL51","2017-01-01",61
"A3100","THS_HD","EL52","2017-01-01",94.3
"A3100","THS_HD","EL53","2017-01-01",15.4
"A3100","THS_HD","EL54","2017-01-01",135.3
"A3100","THS_HD","EL6","2017-01-01",371.6
"A3100","THS_HD","EL61","2017-01-01",132.4
"A3100","THS_HD","EL62","2017-01-01",1.8
"A3100","THS_HD","EL63","2017-01-01",98.6
"A3100","THS_HD","EL64","2017-01-01",73
"A3100","THS_HD","EL65","2017-01-01",65.9
"A3100","THS_HD","ES","2017-01-01",29971.36
"A3100","THS_HD","ES1","2017-01-01",1107.7
