"animals","unit","geo","time","values"
"A2000","THS_HD","AT","2017-01-01",1943.48
"A2000","THS_HD","AT1","2017-01-01",456.4
"A2000","THS_HD","AT11","2017-01-01",19.88
"A2000","THS_HD","AT12","2017-01-01",436.44
"A2000","THS_HD","AT13","2017-01-01",0.08
"A2000","THS_HD","AT2","2017-01-01",507.91
"A2000","THS_HD","AT21","2017-01-01",188.33
"A2000","THS_HD","AT22","2017-01-01",319.58
"A2000","THS_HD","AT3","2017-01-01",979.17
"A2000","THS_HD","AT31","2017-01-01",566.61
"A2000","THS_HD","AT32","2017-01-01",165.72
"A2000","THS_HD","AT33","2017-01-01",181.51
"A2000","THS_HD","AT34","2017-01-01",65.33
"A2000","THS_HD","BA","2017-01-01",445
"A2000","THS_HD","BE","2017-01-01",2385.99
"A2000","THS_HD","BE1","2017-01-01",0.73
"A2000","THS_HD","BE10","2017-01-01",0.73
"A2000","THS_HD","BE2","2017-01-01",1278.92
"A2000","THS_HD","BE21","2017-01-01",332.54
"A2000","THS_HD","BE22","2017-01-01",129.83
"A2000","THS_HD","BE23","2017-01-01",318.02
"A2000","THS_HD","BE24","2017-01-01",98.78
"A2000","THS_HD","BE25","2017-01-01",399.74
"A2000","THS_HD","BE3","2017-01-01",1106.34
"A2000","THS_HD","BE31","2017-01-01",44.56
"A2000","THS_HD","BE32","2017-01-01",287.31
"A2000","THS_HD","BE33","2017-01-01",247.66
"A2000","THS_HD","BE34","2017-01-01",306.99
"A2000","THS_HD","BE35","2017-01-01",219.82
"A2000","THS_HD","BG","2017-01-01",552.92
"A2000","THS_HD","BG3","2017-01-01",307.97
"A2000","THS_HD","BG31","2017-01-01",67.21
"A2000","THS_HD","BG32","2017-01-01",60.35
"A2000","THS_HD","BG33","2017-01-01",76.23
"A2000","THS_HD","BG34","2017-01-01",104.18
"A2000","THS_HD","BG4","2017-01-01",244.96
"A2000","THS_HD","BG41","2017-01-01",68.61
"A2000","THS_HD","BG42","2017-01-01",176.35
"A2000","THS_HD","CH","2017-01-01",1558.46
"A2000","THS_HD","CH01","2017-01-01",146.23
"A2000","THS_HD","CH02","2017-01-01",587.12
"A2000","THS_HD","CH03","2017-01-01",113.94
"A2000","THS_HD","CH04","2017-01-01",95.49
"A2000","THS_HD","CH05","2017-01-01",349.95
"A2000","THS_HD","CH06","2017-01-01",255.41
"A2000","THS_HD","CH07","2017-01-01",10.32
"A2000","THS_HD","CY","2017-01-01",67.03
"A2000","THS_HD","CY0","2017-01-01",66.94
"A2000","THS_HD","CY00","2017-01-01",66.94
"A2000","THS_HD","CZ","2017-01-01",1366.36
"A2000","THS_HD","CZ0","2017-01-01",1366.36
"A2000","THS_HD","CZ01","2017-01-01",1.68
"A2000","THS_HD","CZ02","2017-01-01",148.34
"A2000","THS_HD","CZ03","2017-01-01",367.02
"A2000","THS_HD","CZ04","2017-01-01",83.77
"A2000","THS_HD","CZ05","2017-01-01",260.05
"A2000","THS_HD","CZ06","2017-01-01",274.73
"A2000","THS_HD","CZ07","2017-01-01",150.36
"A2000","THS_HD","CZ08","2017-01-01",80.42
"A2000","THS_HD","DE","2017-01-01",12281.2
"A2000","THS_HD","DE1","2017-01-01",976.63
"A2000","THS_HD","DE2","2017-01-01",3134.26
"A2000","THS_HD","DE3","2017-01-01",0.89
"A2000","THS_HD","DE4","2017-01-01",533.4
"A2000","THS_HD","DE5","2017-01-01",9.93
"A2000","THS_HD","DE6","2017-01-01",6.3
"A2000","THS_HD","DE7","2017-01-01",444.16
"A2000","THS_HD","DE8","2017-01-01",535.41
"A2000","THS_HD","DE9","2017-01-01",2605.41
"A2000","THS_HD","DEA","2017-01-01",1419.45
"A2000","THS_HD","DEB","2017-01-01",344.04
"A2000","THS_HD","DEC","2017-01-01",46.13
"A2000","THS_HD","DED","2017-01-01",483.5
"A2000","THS_HD","DEE","2017-01-01",335.29
"A2000","THS_HD","DEF","2017-01-01",1084.43
"A2000","THS_HD","DEG","2017-01-01",322
"A2000","THS_HD","DK","2017-01-01",1558
"A2000","THS_HD","DK0","2017-01-01",1558
"A2000","THS_HD","DK01","2017-01-01",29
"A2000","THS_HD","DK02","2017-01-01",76
"A2000","THS_HD","DK03","2017-01-01",609
"A2000","THS_HD","DK04","2017-01-01",478
"A2000","THS_HD","DK05","2017-01-01",365
"A2000","THS_HD","EE","2017-01-01",250.9
"A2000","THS_HD","EE0","2017-01-01",251.3
"A2000","THS_HD","EE00","2017-01-01",251.3
"A2000","THS_HD","EL","2017-01-01",555.7
"A2000","THS_HD","EL3","2017-01-01",2.2
"A2000","THS_HD","EL30","2017-01-01",2.7
"A2000","THS_HD","EL4","2017-01-01",25.5
"A2000","THS_HD","EL41","2017-01-01",7.8
"A2000","THS_HD","EL42","2017-01-01",16.4
"A2000","THS_HD","EL43","2017-01-01",1.3
"A2000","THS_HD","EL5","2017-01-01",322.5
"A2000","THS_HD","EL51","2017-01-01",88.6
"A2000","THS_HD","EL52","2017-01-01",143
"A2000","THS_HD","EL53","2017-01-01",35.7
"A2000","THS_HD","EL54","2017-01-01",55.2
"A2000","THS_HD","EL6","2017-01-01",205.4
