continent,Country Or Region,Zoo Name,zoo point?,# point,CurveX,CurveY,Lat,Lon,Point,sigmoid,sigmoid EXP,startX,startX offset ,startY,Zoo Order
AP,Singapore,Wildlife Reserves Singapore,False,80,103.788696204,4.010064679,1.405198811,103.790463066,4,0.999925732,0.3,80,120,70,13
AP,Malaysia,Zoo Negara Malaysia,False,80,101.754246868,5.746764813,3.210452898,101.759183697,4,0.999904619,0.3,50,120,70,12
AP,Thailand,Chiang Mai Zoo,False,80,98.888593176,20.749880429,18.805796762,98.945666710,4,0.999172195,0.3,30,120,70,11
EU,Russia,Moscow Zoo,False,80,37.576532453,57.063507008,55.763382285,37.576469152,4,0.999999344,0.9,134,40,90,10
EU,Austria,Tiergarten Schönbrunn,False,80,16.302776539,49.770273486,48.182257966,16.302773769,4,0.999999972,0.9,115,40,90,9
EU,Germany,Zoo Berlin,False,80,13.337745901,53.931820240,52.508076303,13.337733240,4,0.999999830,0.9,88,40,90,8
EU,Demark,Zoo København,False,80,12.521453749,56.976099264,55.672524235,12.521422471,4,0.999999368,0.9,62,40,90,7
EU,Finland,Ähtäri Zoo,False,80,24.185116820,63.579435848,62.536518842,24.184888389,4,0.999989026,0.9,45,40,90,6
EU,Netherlands,Ouwehands Dierenpark,False,80,5.590269113,53.402223755,51.957574693,5.590267169,4,0.999999865,0.9,20,40,90,5
EU,Belgium,Pairi Daiza,False,80,3.887314760,52.081860232,50.585091557,3.887316200,4,0.999999924,0.9,-15,40,90,4
EU,France,ZooParc de Beauval,False,80,1.347928024,48.869677367,47.246112,1.347929,4,0.999999981,0.9,-50,40,90,3
EU,UK,Edinburgh Zoo,False,80,-3.268612346,57.235788175,55.942464024,-3.268561615,4,0.999999293,0.9,-75,40,90,2
EU,Spain,Zoo Madrid,False,80,-3.763636860,42.300273311,40.417389363,-3.763636756,4,0.999999999,0.9,-97,40,90,1
AM,USA,Smithsonian's National Zoo,False,80,-77.047639277,41.009255492,38.929749118,-77.049805860,5,0.999901741,0.5,-55,-50,80,24
AM,USA,Zoo Atlanta,False,80,-84.372497239,36.076861746,33.734294372,-84.372325147,5,0.999969420,0.5,-90,-50,80,23
AM,USA,Memphis Zoo,False,80,-89.995579462,37.421037949,35.150159973,-89.994318242,5,0.999957967,0.5,-120,-50,80,22
AM,Canada,Calgary Zoo,False,80,-114.077385660,52.512020391,51.045994812,-114.023673802,5,0.998507022,0.5,-150,-50,80,21
AM,Mexico,Chapultepec Zoo,False,80,-99.189667710,22.490589528,19.423420970,-99.189568518,5,0.999998773,0.5,-180,-50,80,20
AP,Australia,Adelaide Zoo,False,80,138.606195610,-29.602282972,-34.914404731,138.606100240,5,0.999999280,0.3,271,120,70,19
AP,Japan,Ueno Zoo,False,80,140.786494790,37.452509692,35.716643542,139.771324791,5,0.990260166,0.3,244,120,70,18
AP,Japan,Adventure World,False,80,135.816863741,35.506970657,33.667342425,135.375273784,5,0.992593845,0.3,195,120,70,17
AP,Japan,Kobe Oji Zoo,False,80,135.366689315,36.496517720,34.709665332,135.215270355,5,0.991486013,0.3,153,120,70,16
AP,South Korea,Everland Resort,False,80,127.200142129,38.950125596,37.294132295,127.202577126,5,0.987979901,0.3,127,120,70,15
AP,Indonesia,Taman Safari,False,80,106.951342554,-2.833989998,-6.718469464,106.951469929,5,0.999967765,0.3,103,120,70,14
AP,Singapore,Wildlife Reserves Singapore,False,80,103.788170504,4.878353302,1.405198811,103.790463066,5,0.999903635,0.3,80,120,70,13
AP,Malaysia,Zoo Negara Malaysia,False,80,101.752821798,6.592202118,3.210452898,101.759183697,5,0.999877087,0.3,50,120,70,12
AP,Thailand,Chiang Mai Zoo,False,80,98.876357954,21.397908318,18.805796762,98.945666710,5,0.998994734,0.3,30,120,70,11
EU,Russia,Moscow Zoo,False,80,37.576562649,57.496881916,55.763382285,37.576469152,5,0.999999030,0.9,134,40,90,10
EU,Austria,Tiergarten Schönbrunn,False,80,16.302778229,50.299611993,48.182257966,16.302773769,5,0.999999955,0.9,115,40,90,9
EU,Germany,Zoo Berlin,False,80,13.337752647,54.406401553,52.508076303,13.337733240,5,0.999999740,0.9,88,40,90,8
EU,Demark,Zoo København,False,80,12.521468717,57.410624274,55.672524235,12.521422471,5,0.999999065,0.9,62,40,90,7
EU,Finland,Ähtäri Zoo,False,80,24.185200734,63.927074850,62.536518842,24.184888389,5,0.999984994,0.9,45,40,90,6
EU,Netherlands,Ouwehands Dierenpark,False,80,5.590270167,53.883773443,51.957574693,5.590267169,5,0.999999792,0.9,20,40,90,5
EU,Belgium,Pairi Daiza,False,80,3.887313944,52.580783124,50.585091557,3.887316200,5,0.999999881,0.9,-15,40,90,4
EU,France,ZooParc de Beauval,False,80,1.347927411,49.410865823,47.246112,1.347929,5,0.999999969,0.9,-50,40,90,3
EU,UK,Edinburgh Zoo,False,80,-3.268636394,57.666896225,55.942464024,-3.268561615,5,0.999998958,0.9,-75,40,90,2
EU,Spain,Zoo Madrid,False,80,-3.763636938,42.927901294,40.417389363,-3.763636756,5,0.999999998,0.9,-97,40,90,1
AM,USA,Smithsonian's National Zoo,False,80,-77.046996209,41.529132085,38.929749118,-77.049805860,6,0.999872577,0.5,-55,-50,80,24
AM,USA,Zoo Atlanta,False,80,-84.372555784,36.662503589,33.734294372,-84.372325147,6,0.999959017,0.5,-90,-50,80,23
AM,USA,Memphis Zoo,False,80,-89.995993429,37.988757443,35.150159973,-89.994318242,6,0.999944171,0.5,-120,-50,80,22
