actural return date,additional info,Birth Place,Birthday,Gender,loan expire date,name in chinese,name in english,name meaning,panda order,Resident Since,Status,Tooltip - age month,Tooltip - age year,Tooltip - gender,Tooltip - meaning,Tooltip - return date,Zoo,age,age when loan expires,age when residence starts,leaf X,leaf Y
,,"Chengdu, China",9/1/2000,M,9/7/2023,冰星,Bing Xing,Ice star,1,9/7/2007,in,-3-month,20-year,male,means 'Ice star',Expected to return in 2023,Zoo Madrid,20.317808219,23.030136986,7.019178082,0.31,8.269178082
,,"Chengdu, China",9/16/2003,F,9/7/2023,花嘴巴,Hua Zui Ba,Cutie lips,2,9/7/2007,in,-3-month,17-year,female,means 'Cutie lips',Expected to return in 2023,Zoo Madrid,17.276712329,19.989041096,3.978082192,2.65,4.878082192
,,Zoo Madrid,8/31/2016,F,9/7/2023,竹莉娜,Chulina,Treasure of Bamboo,3,8/31/2016,in,-4-month,4-year,female,means 'Treasure of Bamboo',Expected to return in 2023,Zoo Madrid,4.309589041,7.021917808,0,3.65,0.9
,,"Wolong, China",8/14/2003,M,12/4/2021,阳光,Yang Guang,Sunshine,4,12/4/2011,in,-4-month,17-year,male,means 'Sunshine',Expected to return in 2021,Edinburgh Zoo,17.367123288,18.320547945,8.312328767,3.31,9.562328767
,,"Beijing, China",8/24/2003,F,12/4/2021,甜甜,Tian Tian,Sweetie,5,12/4/2011,in,-4-month,17-year,female,means 'Sweetie',Expected to return in 2021,Edinburgh Zoo,17.339726027,18.293150685,8.284931507,5.65,9.184931507
,,"Chengdu, China",9/6/2008,M,1/15/2022,园子,Yuan Zi,Chubby,6,1/15/2012,in,-3-month,12-year,male,means 'Chubby',Expected to return in 2022,ZooParc de Beauval,12.298630137,13.367123288,3.358904110,5.31,4.608904110
,,"Chengdu, China",8/10/2008,F,1/15/2022,欢欢,Huan Huan,Joy,7,1/15/2012,in,-4-month,12-year,female,means 'Joy',Expected to return in 2022,ZooParc de Beauval,12.372602740,13.441095890,3.432876712,7.65,4.332876712
,,ZooParc de Beauval,8/4/2017,M,8/4/2021,圆梦,Yuan Meng,Accomplishment of a dream,8,8/4/2017,in,-4-month,3-year,male,means 'Accomplishment of a dream',Expected to return in 2021,ZooParc de Beauval,3.383561644,4.002739726,0,7.31,1.25
,,"Ya'an Bi Feng Xia, China",7/22/2009,M,2/23/2029,星徽,Xing Hui,Twinkling star,9,2/23/2014,in,-5-month,11-year,male,means 'Twinkling star',Expected to return in 2029,Pairi Daiza,11.424657534,19.605479452,4.594520548,8.31,5.844520548
,,"Ya'an Bi Feng Xia, China",7/7/2009,F,2/23/2029,好好,Hao Hao,Cute,10,2/23/2014,in,-5-month,11-year,female,means 'Cute',Expected to return in 2029,Pairi Daiza,11.465753425,19.646575342,4.635616438,10.65,5.535616438
