year,global_sea_level_mm
1700,-81.4388
1701,-87.4388
1702,-61.4388
1703,-101.439
1704,-64.4388
1705,-96.4388
1706,-121.439
1707,-82.4388
1708,-78.4388
1709,-116.439
1710,-97.4388
1711,-69.4388
1712,-58.4388
1713,-80.4388
1714,-35.4388
1715,-101.439
1716,-97.4388
1717,-93.4388
1718,-114.439
1719,-111.439
1720,-38.4388
1721,-75.4388
1722,-70.4388
1723,-28.4388
1724,-74.4388
1725,-95.4388
1726,-37.4388
1727,-65.4388
1728,-124.439
1729,-105.439
1730,-77.4388
1731,-37.4388
1732,-63.4388
1733,-89.4388
1734,-94.4388
1735,-110.439
1736,-38.4388
1737,-21.4388
1738,-81.4388
1739,-52.4388
1740,-53.4388
1741,-51.4388
1742,-83.4388
1743,-73.4388
1744,-77.4388
1745,-107.439
1746,-107.439
1747,-71.4388
1748,-76.4388
1749,-96.4388
1750,-82.2258
1751,-51.2244
1752,-91.8953
1753,-96.1385
1754,-83.3756
1755,-87.3258
1756,-86.5954
1757,-69.0502
1758,-82.2127
1759,-57.9981
1760,-84.7411
1761,-51.0304
1762,-63.2849
1763,-51.7474
1764,-54.2954
1765,-90.6117
1766,-104.439
1767,-40.4388
1768,-49.7958
1769,-46.2303
1770,-50.9593
1771,-34.0373
1772,-57.1838
1773,-65.7728
1774,-144.248
1775,-51.1911
1776,-127.663
1777,-100.184
1778,-75.4058
1779,-59.0143
1780,-60.3283
1781,-64.7703
1782,-77.6598
1783,-76.3123
1784,-112.144
1785,-119.27
1786,-107.798
1787,-95.2748
1788,-140.662
1789,-148.199
1790,-84.3148
1791,-84.7321
1792,-84.2268
1793,-119.338
1794,-47.4388
1795,-50.4388
1796,-86.4388
1797,-63.4388
1798,-64.4388
1799,-106.439
1800,-104.439
1801,-46.8388
1802,-58.3888
1803,-131.939
1804,-162.989
1805,-116.039
1806,-59.5888
1807,-23.6388
1808,-78.2797
1809,-92.6451
1810,-57.485
1811,-61.2795
1812,-25.2874
1813,-35.5029
1814,-56.3135
1815,-39.3358
1816,-19.5492
1817,-2.48127
1818,-27.8652
1819,-34.0363
1820,-61.9477
1821,-18.6332
1822,-10.5167
1823,-37.2995
1824,-14.5788
1825,-11.5952
1826,-88.2522
1827,-76.2657
1828,-58.8857
1829,-85.174
1830,-89.4566
1831,-71.4467
1832,-71.4055
1833,-62.2091
1834,-13.9956
1835,-30.5805
1836,-8.58775
1837,-17.3172
1838,-30.4765
1839,-38.8978
1840,-63.1533
1841,-55.7826
1842,-78.3982
1843,-38.4352
1844,-19.7799
1845,-69.3761
1846,-28.1355
1847,-82.3322
1848,-89.3959
1849,-41.9707
1850,-16.8322
1851,0.324905
1852,7.64163
1853,21.5616
1854,-21.0851
1855,-22.2601
1856,-62.209
1857,-71.0078
1858,-77.2144
1859,-49.0719
1860,-67.4491
1861,-90.3132
1862,-38.6814
1863,-44.1792
1864,-50.3869
1865,-46.6027
1866,-43.5413
1867,0.999268
1868,2.61428
1869,2.76637
1870,-13.7335
1871,-33.2184
1872,-20.9371
1873,-14.3885
1874,-43.8033
1875,-58.494
1876,-34.0333
1877,13.4044
1878,24.2367
1879,23.4183
1880,-18.1841
1881,12.7506
1882,-15.1221
1883,-0.781425
1884,7.89008
1885,13.3755
1886,26.1952
1887,11.3784
1888,7.82946
1889,16.7022
1890,26.1127
1891,20.2078
1892,19.3625
1893,19.984
1894,22.2874
1895,29.5024
1896,30.9983
1897,37.3477
1898,29.5263
1899,33.9948
1900,38.4165
1901,35.9352
1902,44.8535
1903,52.0712
1904,42.9069
1905,25.5561
1906,26.8925
1907,29.6407
1908,25.7071
1909,21.669
1910,22.4076
1911,27.8575
1912,38.1605
1913,36.2966
1914,49.8895
1915,70.2844
1916,51.9299
1917,36.4161
1918,30.6798
1919,41.7175
1920,58.7921
1921,58.3715
1922,58.2133
1923,47.7019
1924,43.15
1925,37.6636
1926,49.615
1927,46.947
1928,40.3484
1929,28.4339
1930,51.5227
1931,49.675
1932,52.7599
1933,58.1734
1934,49.825
1935,52.297
1936,66.0014
1937,73.1265
1938,75.023
1939,76.9617
1940,81.0405
1941,84.4624
1942,84.9657
1943,88.951
1944,79.7708
1945,71.9336
1946,81.8989
1947,81.9995
1948,92.4639
1949,102.589
1950,105.668
1951,117.811
1952,117.421
1953,119.389
1954,123.55
1955,124.063
1956,116.13
1957,121.181
1958,138.549
1959,134.647
1960,139.89
1961,153.932
1962,147.277
1963,148.952
1964,152.342
1965,154.071
1966,149.129
1967,140.229
1968,146.578
1969,146.943
1970,149.945
1971,155.544
1972,153.508
1973,153.11
1974,144.65
1975,150.707
1976,149.706
1977,151.804
1978,147.718
1979,150.653
1980,168.732
1981,165.831
1982,160.38
1983,181.742
1984,183.678
1985,158.836
1986,160.291
1987,170.41
1988,172.15
1989,163.7
1990,172.382
1991,168.151
1992,182.86
1993,175.455
1994,182.068
1995,198.1
1996,202.153
1997,206.557
1998,210.349
1999,211.903
2000,206.787
2001,210.94
2002,211.713
