"CMA_UID","GEOUID","CSD_NAME","CSD_AREA_SQKM","CSD_POPULATION","CSD_DWELLINGS","CSD_HOUSEHOLDS","CSD_LANGUAGE_TOTAL","CSD_LDI","CMA_NAME","CMA_AREA_SQKM","CMA_POPULATION","CMA_DWELLINGS","CMA_HOUSEHOLDS"
46602,4614015,"Rosser",443.31647,1372,481,453,1375,0.248105785123967,"Winnipeg",5410.82907,778489,321484,306550
48825,4806014,"Rocky View County",3936.82553,39407,13620,13042,39365,0.110089310120015,"Calgary",5241.70103,1392609,544870,519693
48825,4806016,"Calgary",849.05033,1239220,489650,466725,1227995,0.324755014614519,"Calgary",5241.70103,1392609,544870,519693
48825,4806017,"Chestermere",36.95569,19887,6250,6112,19885,0.24558283299705,"Calgary",5241.70103,1392609,544870,519693
48825,4806019,"Cochrane",30.44301,25853,10225,9757,25850,0.0648843012619299,"Calgary",5241.70103,1392609,544870,519693
48825,4806021,"Airdrie",85.75551,61581,22398,21661,61580,0.105655601213091,"Calgary",5241.70103,1392609,544870,519693
48825,4806022,"Irricana",3.23354,1216,479,473,1215,0.0162915544717099,"Calgary",5241.70103,1392609,544870,519693
48825,4806024,"Beiseker",2.88248,819,338,331,820,0.0479997025580012,"Calgary",5241.70103,1392609,544870,519693
48825,4806026,"Crossfield",12.1029,2983,1168,1101,2985,0.0331809802782758,"Calgary",5241.70103,1392609,544870,519693
48825,4806804,"Tsuu T'ina Nation 145",284.45206,1643,742,491,1645,0.0477637863656101,"Calgary",5241.70103,1392609,544870,519693
48835,4810066,"Bruderheim",7.16488,1308,622,502,1305,0.0152522716930168,"Edmonton",9857.77908,1321426,537634,502143
48835,4811012,"Leduc County",2682.52897,13780,5960,5101,13780,0.0548932952197184,"Edmonton",9857.77908,1321426,537634,502143
48835,4811013,"Beaumont",10.51008,17396,5980,5633,17350,0.112160386682059,"Edmonton",9857.77908,1321426,537634,502143
48835,4811016,"Leduc",43.48928,29993,12264,11319,29660,0.0796091088983758,"Edmonton",9857.77908,1321426,537634,502143
48835,4811018,"Devon",14.32133,6578,2493,2415,6565,0.036160162972768,"Edmonton",9857.77908,1321426,537634,502143
48835,4811019,"Calmar",4.67855,2228,861,842,2230,0.0572603511029781,"Edmonton",9857.77908,1321426,537634,502143
48835,4811020,"Sundance Beach",0.44043,73,148,31,75,0.128888888888889,"Edmonton",9857.77908,1321426,537634,502143
48835,4811021,"Thorsby",3.85625,985,428,394,985,0.0400680254580122,"Edmonton",9857.77908,1321426,537634,502143
