"CMA_UID","GEOUID","CSD_NAME","CSD_AREA_SQKM","CSD_POPULATION","CSD_DWELLINGS","CSD_HOUSEHOLDS","CSD_LANGUAGE_TOTAL","CSD_LDI","CMA_NAME","CMA_AREA_SQKM","CMA_POPULATION","CMA_DWELLINGS","CMA_HOUSEHOLDS"
48835,4811806,"Wabamun 133A",63.65505,1592,369,345,1595,0.055188136909032,"Edmonton",9857.77908,1321426,537634,502143
48835,4811807,"Wabamun 133B",2.05236,30,5,5,NA,NA,"Edmonton",9857.77908,1321426,537634,502143
505,2480050,"Thurso",7.36986,2818,1308,1228,2815,0.0500995365477381,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2480055,"Lochaber",69.77497,415,183,162,415,0.174190738859051,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2480060,"Lochaber-Partie-Ouest",66.17888,856,339,324,855,0.138572552238296,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2480065,"Mayo",77.65254,601,403,259,600,0.438680555555556,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2480140,"Val-des-Bois",245.30075,865,851,452,865,0.0759464064953724,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2480145,"Bowman",166.74669,658,546,312,655,0.199055999067653,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2481017,"Gatineau",381.39039,276245,125608,118385,273265,0.333504438506398,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2482005,"L'Ange-Gardien",223.89941,5464,2058,1960,5465,0.172702609720512,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2482010,"Notre-Dame-de-la-Salette",118.16531,727,473,328,725,0.15281807372176,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2482015,"Val-des-Monts",479.20665,11582,6418,4564,11580,0.200399488726021,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2482020,"Cantley",133.45818,10699,3988,3768,10700,0.233547034675518,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2482025,"Chelsea",121.61247,6909,2898,2610,6910,0.481763672271776,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2482030,"Pontiac",503.61809,5850,2664,2252,5835,0.482802196067374,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2482035,"La Pêche",615.78781,7863,4665,3274,7740,0.479042308488405,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,2483005,"Denholm",198.85661,505,556,224,505,0.431330261739045,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,3502036,"Clarence-Rockland",309.57828,24512,9537,9329,24205,0.468800054072319,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,3502048,"Russell",200.07554,16520,6008,5873,16410,0.452328008552922,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,3506008,"Ottawa",2892.07371,934243,395985,373756,923370,0.352697478468243,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
505,3507065,"North Grenville",358.2208,16451,6658,6439,16285,0.0433342643873533,"Ottawa - Gatineau",7168.96442,1323783,571146,535499
59933,5915001,"Langley",314.76313,117285,43720,41982,116315,0.164364326025846,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915002,"Langley",10.222,25888,12264,11840,25510,0.137964013159381,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915004,"Surrey",324.14646,517887,181159,169964,513405,0.488635864656026,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915007,"White Rock",5.12413,19952,10856,10005,19505,0.156581821512845,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915011,"Delta",195.47396,102238,37590,35758,101415,0.304661761995875,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915015,"Richmond",151.74256,198309,77478,73457,197250,0.628215981790172,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915020,"Greater Vancouver A",869.11446,16133,8542,6103,15995,0.585379770034028,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915022,"Vancouver",116.34847,631486,309418,283916,622630,0.445289319973994,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915025,"Burnaby",91.95612,232755,98030,92201,230930,0.555781390844458,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915029,"New Westminster",18.20297,70996,34235,32708,70230,0.334133049017012,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915034,"Coquitlam",129.69784,139284,54393,51325,138335,0.480890751582864,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915036,"Belcarra",5.46254,643,292,253,640,0.11944580078125,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915038,"Anmore",29.28807,2210,723,688,2210,0.230743637517659,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915039,"Port Coquitlam",33.72219,58612,22586,21753,58315,0.292775897155041,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915043,"Port Moody",26.3453,33551,13318,12976,33470,0.295340850347457,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915046,"North Vancouver",163.39359,85935,32624,31116,85495,0.236360542711262,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915051,"North Vancouver",11.87779,52898,26426,24645,52515,0.31317352607071,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915055,"West Vancouver",88.75433,42473,18649,16933,42055,0.38716027402165,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915062,"Bowen Island",50.53494,3680,1915,1495,3680,0.053421107041588,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915065,"Lions Bay",2.53457,1334,547,495,1335,0.122880107730506,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915070,"Pitt Meadows",95.98686,18573,7356,7194,18565,0.154554400799805,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915075,"Maple Ridge",284.51005,82256,31400,30262,81280,0.129087474727684,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915801,"Semiahmoo",1.37134,120,64,58,120,0.0798611111111109,"Vancouver",3040.41532,2463431,1027613,960894
